Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Ghana,Accra,Republic Bank - Accra Central Branch,+233 30 268 3756,"31 Kwame Nkrumah Avenue, SIC Building, Okaishie, Accra 12345, Ghana",Not available,Sheriff Sammo,4,L'expérience bancaire a été excellente ici et on y a passé moins de temps. Ils disposent ici d'un système de notation de l'expérience client qui les aide à suivre et à surveiller les services offerts. …,il y a 6 ans,2,https://www.google.com/maps/contrib/116008827729846354997/reviews?hl=fr,NAN,NAN
Ghana,Accra,Republic Bank - Accra Central Branch,+233 30 268 3756,"31 Kwame Nkrumah Avenue, SIC Building, Okaishie, Accra 12345, Ghana",Not available,Richmond Agyapong Ntow,1,Les numéros de téléphone ne sont pas corrects pour être contacté. Veuillez le corriger afin que les clients puissent contacter la banque.,il y a 2 ans,0,https://www.google.com/maps/contrib/116951960704501998478/reviews?hl=fr,NAN,NAN
Ghana,Accra,Republic Bank - Accra Central Branch,+233 30 268 3756,"31 Kwame Nkrumah Avenue, SIC Building, Okaishie, Accra 12345, Ghana",Not available,Ebenezer Antwi-Boadi,5,La qualité du service est unique. Ils sont ouverts du lundi au samedi et les distributeurs automatiques ont toujours de l'argent liquide.,il y a 5 ans,2,https://www.google.com/maps/contrib/115630187732334534267/reviews?hl=fr,NAN,NAN
Ghana,Accra,Republic Bank - Accra Central Branch,+233 30 268 3756,"31 Kwame Nkrumah Avenue, SIC Building, Okaishie, Accra 12345, Ghana",Not available,George Ayitey Okine,5,Bonne expérience bancaire,il y a 4 ans,0,https://www.google.com/maps/contrib/100896487648298568862/reviews?hl=fr,NAN,NAN
Ghana,Accra,Republic Bank - Accra Central Branch,+233 30 268 3756,"31 Kwame Nkrumah Avenue, SIC Building, Okaishie, Accra 12345, Ghana",Not available,Atiku Ashad152,3,Bonne hospitalité,il y a 6 ans,3,https://www.google.com/maps/contrib/102513651311835925524/reviews?hl=fr,NAN,NAN
Ghana,Accra,Republic Bank - Accra Central Branch,+233 30 268 3756,"31 Kwame Nkrumah Avenue, SIC Building, Okaishie, Accra 12345, Ghana",Not available,Jonathan Danquah,4,NAN,il y a 8 mois,0,https://www.google.com/maps/contrib/102530086113854573969/reviews?hl=fr,NAN,NAN
Ghana,Accra,Republic Bank - Accra Central Branch,+233 30 268 3756,"31 Kwame Nkrumah Avenue, SIC Building, Okaishie, Accra 12345, Ghana",Not available,abu jamal,5,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/111754754619355238042/reviews?hl=fr,NAN,NAN
Ghana,Accra,Republic Bank - Accra Central Branch,+233 30 268 3756,"31 Kwame Nkrumah Avenue, SIC Building, Okaishie, Accra 12345, Ghana",Not available,Ted Dumakor,3,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/111304509035556206596/reviews?hl=fr,NAN,NAN
Ghana,Accra,Republic Bank - Accra Central Branch,+233 30 268 3756,"31 Kwame Nkrumah Avenue, SIC Building, Okaishie, Accra 12345, Ghana",Not available,ASR,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/100363749725946017920/reviews?hl=fr,NAN,NAN
Ghana,Accra,Republic Bank - Accra Central Branch,+233 30 268 3756,"31 Kwame Nkrumah Avenue, SIC Building, Okaishie, Accra 12345, Ghana",Not available,Owusu Ernest Nii Amu,5,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/115982979196862639143/reviews?hl=fr,NAN,NAN
Ghana,Accra,UBA Banque,+233 26 393 1278,"JQJ7+F43, Accra, Ghana",Not available,David Michel,4,"Uba Achimota bénéficie d'un bel emplacement, juste après le carrefour ABC.
Vous pouvez venir du lundi au vendredi
Ils ne travaillent plus le samedi y compris les autres banques …",il y a 3 ans,2,https://www.google.com/maps/contrib/105858945395157764634/reviews?hl=fr,NAN,NAN
Ghana,Accra,UBA Banque,+233 26 393 1278,"JQJ7+F43, Accra, Ghana",Not available,Eugene Boadi,1,"UBA est maintenant une banque inutile, j'ai envoyé de l'argent à un momo et il n'est pas allé mais ils l'ont déduit et au lieu de rembourser l'argent, ils n'ont remboursé que 80 cedis, c'est absurde",il y a 2 ans,1,https://www.google.com/maps/contrib/101646757448939567350/reviews?hl=fr,NAN,NAN
Ghana,Accra,UBA Banque,+233 26 393 1278,"JQJ7+F43, Accra, Ghana",Not available,DjmeritGH,4,Vous devez mettre à jour le numéro de service client de votre succursale. » Le numéro là-bas ne fonctionne pas.,il y a 2 ans,3,https://www.google.com/maps/contrib/102283008509222005581/reviews?hl=fr,NAN,NAN
Ghana,Accra,UBA Banque,+233 26 393 1278,"JQJ7+F43, Accra, Ghana",Not available,Adwoa Addo-Brako (Beebe Brako),5,"Pas de longues files d'attente, rapide et fiable",il y a 4 ans,0,https://www.google.com/maps/contrib/106649890230411387839/reviews?hl=fr,NAN,NAN
Ghana,Accra,UBA Banque,+233 26 393 1278,"JQJ7+F43, Accra, Ghana",Not available,Abdulai Sumaila (Saveguy),1,"S'il vous plaît, ils ne travaillent pas le samedi.",il y a 5 ans,2,https://www.google.com/maps/contrib/103235471338769285702/reviews?hl=fr,NAN,NAN
