Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Morocco,Al Hoceima,Banque Populaire,Not available,"80 Av. Mohamed V, Al Hoceïma",http://www.gbp.ma/,Sally Ana,1,Je vous déconseille cette banque ... c'est des voleurs ... A fuir et vite ...,il y a 4 ans,4,https://www.google.com/maps/contrib/113559181210149021535/reviews?hl=fr,NAN,NAN
Morocco,Al Hoceima,Banque Populaire,Not available,"80 Av. Mohamed V, Al Hoceïma",http://www.gbp.ma/,Hmmm mmm,1,"Femme/réalisatrice extrêmement irrespectueuse. Refuse de me servir après une heure d'attente. Éloignez-vous de la banque située dans le port d'Alhoceima. Très mauvais service, le canapé lui-même sent le poisson puant. Canapé insalubre ! Si …",il y a un an,2,https://www.google.com/maps/contrib/115415195168397453198/reviews?hl=fr,NAN,NAN
Morocco,Al Hoceima,Banque Populaire,Not available,"80 Av. Mohamed V, Al Hoceïma",http://www.gbp.ma/,x x,1,"Vérifiez très attentivement votre argent ici, y compris votre compte bancaire",il y a un mois,0,https://www.google.com/maps/contrib/103728981761359140308/reviews?hl=fr,NAN,NAN
Morocco,Al Hoceima,Banque Populaire,Not available,"80 Av. Mohamed V, Al Hoceïma",http://www.gbp.ma/,منير دحميش,5,Émir,il y a 7 ans,0,https://www.google.com/maps/contrib/102328096929518875196/reviews?hl=fr,NAN,NAN
Morocco,Al Hoceima,Banque Populaire,Not available,"80 Av. Mohamed V, Al Hoceïma",http://www.gbp.ma/,تورية اللباري,5,NAN,il y a 11 mois,0,https://www.google.com/maps/contrib/112340489246058601401/reviews?hl=fr,NAN,NAN
Morocco,Al Hoceima,Banque Populaire,Not available,"80 Av. Mohamed V, Al Hoceïma",http://www.gbp.ma/,Said B,1,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/101231273164445568683/reviews?hl=fr,NAN,NAN
Morocco,Al Hoceima,Banque Populaire,Not available,"80 Av. Mohamed V, Al Hoceïma",http://www.gbp.ma/,Karim fikri,5,NAN,il y a 8 ans,0,https://www.google.com/maps/contrib/107382046298283325921/reviews?hl=fr,NAN,NAN
Morocco,Al Hoceima,Banque Al-Maghrib,Not available,"63V9+RX7, Av. Mohamed V, Al Hoceïma",https://www.bkam.ma/,Digitamed,3,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/106043195828798588055/reviews?hl=fr,NAN,NAN
Morocco,Al Hoceima,Banque Al-Maghrib,Not available,"63V9+RX7, Av. Mohamed V, Al Hoceïma",https://www.bkam.ma/,Tadeas Rusnok,4,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/118369091525967240767/reviews?hl=fr,NAN,NAN
Morocco,Al Hoceima,Banque Al-Maghrib,Not available,"63V9+RX7, Av. Mohamed V, Al Hoceïma",https://www.bkam.ma/,LOUN 0,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/103133562351401534023/reviews?hl=fr,NAN,NAN
Morocco,Al Hoceima,Banque Al-Maghrib,Not available,"63V9+RX7, Av. Mohamed V, Al Hoceïma",https://www.bkam.ma/,Wulan Eka Maya Sari,5,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/102460614592784448624/reviews?hl=fr,NAN,NAN
Morocco,Al Hoceima,Banque Populaire,Not available,"80 Av. Mohamed V, Al Hoceïma",http://www.gbp.ma/,Sally Ana,1,Je vous déconseille cette banque ... c'est des voleurs ... A fuir et vite ...,il y a 4 ans,4,https://www.google.com/maps/contrib/113559181210149021535/reviews?hl=fr,NAN,NAN
Morocco,Al Hoceima,Banque Populaire,Not available,"80 Av. Mohamed V, Al Hoceïma",http://www.gbp.ma/,Hmmm mmm,1,"Femme/réalisatrice extrêmement irrespectueuse. Refuse de me servir après une heure d'attente. Éloignez-vous de la banque située dans le port d'Alhoceima. Très mauvais service, le canapé lui-même sent le poisson puant. Canapé insalubre ! Si …",il y a un an,2,https://www.google.com/maps/contrib/115415195168397453198/reviews?hl=fr,NAN,NAN
Morocco,Al Hoceima,Banque Populaire,Not available,"80 Av. Mohamed V, Al Hoceïma",http://www.gbp.ma/,x x,1,"Vérifiez très attentivement votre argent ici, y compris votre compte bancaire",il y a un mois,0,https://www.google.com/maps/contrib/103728981761359140308/reviews?hl=fr,NAN,NAN
Morocco,Al Hoceima,Banque Populaire,Not available,"80 Av. Mohamed V, Al Hoceïma",http://www.gbp.ma/,منير دحميش,5,Émir,il y a 7 ans,0,https://www.google.com/maps/contrib/102328096929518875196/reviews?hl=fr,NAN,NAN
Morocco,Al Hoceima,Banque Populaire,Not available,"80 Av. Mohamed V, Al Hoceïma",http://www.gbp.ma/,تورية اللباري,5,NAN,il y a 11 mois,0,https://www.google.com/maps/contrib/112340489246058601401/reviews?hl=fr,NAN,NAN
Morocco,Al Hoceima,Banque Populaire,Not available,"80 Av. Mohamed V, Al Hoceïma",http://www.gbp.ma/,Said B,1,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/101231273164445568683/reviews?hl=fr,NAN,NAN
Morocco,Al Hoceima,Banque Populaire,Not available,"80 Av. Mohamed V, Al Hoceïma",http://www.gbp.ma/,Karim fikri,5,NAN,il y a 8 ans,0,https://www.google.com/maps/contrib/107382046298283325921/reviews?hl=fr,NAN,NAN
Morocco,Al Hoceima,Banque Populaire,Not available,"Bd Tarik Ibn Ziyad, Al Hoceïma",http://www.gbp.ma/,Abdelillah Nasri,5,Bien ☺️,il y a 2 ans,0,https://www.google.com/maps/contrib/114368831297532966769/reviews?hl=fr,NAN,NAN
