Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Uganda,Arua,PostBank | Arua Branch,Not available,"Plot 76/84 Avenue Street Gulu-Arua Rd, Arua, Ouganda",Not available,Everything Required,5,Une des banques commerciales d'Arua. Mais il ouvre à 8h00. Il ferme à 17h00. Il dispose d'un guichet automatique ouvert 24h/24 pour ceux qui souhaiteraient effectuer leurs opérations bancaires de cette façon. …,il y a 3 ans,0,https://www.google.com/maps/contrib/104768266461749293534/reviews?hl=fr,NAN,NAN
Uganda,Arua,PostBank | Arua Branch,Not available,"Plot 76/84 Avenue Street Gulu-Arua Rd, Arua, Ouganda",Not available,Kitu Francis,5,C'est vraiment formidable de faire partie de tout cela. Aider les gens est une drogue sans laquelle je ne peux pas vivre.,il y a 3 ans,1,https://www.google.com/maps/contrib/112658974970334441368/reviews?hl=fr,NAN,NAN
Uganda,Arua,PostBank | Arua Branch,Not available,"Plot 76/84 Avenue Street Gulu-Arua Rd, Arua, Ouganda",Not available,Xylem Vanfred,5,Je l'adore parce que son personnel est rapide et sympathique.,il y a 2 ans,0,https://www.google.com/maps/contrib/109647224478826052673/reviews?hl=fr,NAN,NAN
Uganda,Arua,PostBank | Arua Branch,Not available,"Plot 76/84 Avenue Street Gulu-Arua Rd, Arua, Ouganda",Not available,musema hamzah,5,NAN,il y a un an,0,https://www.google.com/maps/contrib/109836864714083113659/reviews?hl=fr,NAN,NAN
Uganda,Arua,PostBank | Arua Branch,Not available,"Plot 76/84 Avenue Street Gulu-Arua Rd, Arua, Ouganda",Not available,CHiCKY -BAHDO,4,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/118092786726768118359/reviews?hl=fr,NAN,NAN
Uganda,Arua,PostBank | Arua Branch,Not available,"Plot 76/84 Avenue Street Gulu-Arua Rd, Arua, Ouganda",Not available,DENIS FELIX DROTI,4,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/116168262039506842351/reviews?hl=fr,NAN,NAN
Uganda,Arua,PostBank | Arua Branch,Not available,"Plot 76/84 Avenue Street Gulu-Arua Rd, Arua, Ouganda",Not available,Authentic Impressions,4,NAN,il y a 11 ans,0,https://www.google.com/maps/contrib/109497158841330374860/reviews?hl=fr,NAN,NAN
Uganda,Arua,Equity Bank | Arua Branch,Not available,"2WC6+M6H, Kaya Hwy, Arua, Ouganda",Not available,Tobias Sidhe,2,"La pire succursale de toutes parmi celles que j'ai jamais visitées. Mais encore une fois, d’une manière générale, Equity Bank offre le pire service de ce secteur bancaire.",il y a un an,0,https://www.google.com/maps/contrib/105492102392493941997/reviews?hl=fr,NAN,NAN
Uganda,Arua,Equity Bank | Arua Branch,Not available,"2WC6+M6H, Kaya Hwy, Arua, Ouganda",Not available,Azabo Kennedy (Chemistry & Math Teacher),4,"Bonne banque, aide facilement ses clients",il y a 10 mois,0,https://www.google.com/maps/contrib/111475858960876448653/reviews?hl=fr,NAN,NAN
Uganda,Arua,Equity Bank | Arua Branch,Not available,"2WC6+M6H, Kaya Hwy, Arua, Ouganda",Not available,CHANDIA JAFATI,3,Institution bancaire fiable à Arua et en Ouganda en général. Excellent service client !,il y a un an,1,https://www.google.com/maps/contrib/103747721032774704905/reviews?hl=fr,NAN,NAN
Uganda,Arua,Equity Bank | Arua Branch,Not available,"2WC6+M6H, Kaya Hwy, Arua, Ouganda",Not available,Chandia Jafati,4,"Une institution financière située au cœur de la ville d'Arua, supervisée par la Banque centrale de l'Ouganda",il y a un an,2,https://www.google.com/maps/contrib/115615069923825547224/reviews?hl=fr,NAN,NAN
Uganda,Arua,Equity Bank | Arua Branch,Not available,"2WC6+M6H, Kaya Hwy, Arua, Ouganda",Not available,TOM KIDULI Amwata,5,"Plus rapide, fiable et vous ne perdez pas de temps lorsque vous visitez cette succursale. Continuez comme ça",il y a 3 ans,0,https://www.google.com/maps/contrib/103359017898798151793/reviews?hl=fr,NAN,NAN
Uganda,Arua,Equity Bank | Arua Branch,Not available,"2WC6+M6H, Kaya Hwy, Arua, Ouganda",Not available,Agaba Michael Chris,3,"Je ne l'ai pas utilisé, mais je pense que les services sont excellents",il y a 2 ans,0,https://www.google.com/maps/contrib/108862456847844520667/reviews?hl=fr,NAN,NAN
Uganda,Arua,Equity Bank | Arua Branch,Not available,"2WC6+M6H, Kaya Hwy, Arua, Ouganda",Not available,james asiimwe (Jmc),5,Pas d'encombrement,il y a 7 mois,0,https://www.google.com/maps/contrib/114682006188303127403/reviews?hl=fr,NAN,NAN
Uganda,Arua,Equity Bank | Arua Branch,Not available,"2WC6+M6H, Kaya Hwy, Arua, Ouganda",Not available,CHiCKY -BAHDO,4,Pour des services bancaires rapides,il y a 3 ans,0,https://www.google.com/maps/contrib/118092786726768118359/reviews?hl=fr,NAN,NAN
Uganda,Arua,Equity Bank | Arua Branch,Not available,"2WC6+M6H, Kaya Hwy, Arua, Ouganda",Not available,Azandu Owen Ronald,5,Pas de longues files d'attente,il y a 3 ans,0,https://www.google.com/maps/contrib/117860400554353620062/reviews?hl=fr,NAN,NAN
Uganda,Arua,Equity Bank | Arua Branch,Not available,"2WC6+M6H, Kaya Hwy, Arua, Ouganda",Not available,neem godwin,5,A proximité du centre ville,il y a un an,0,https://www.google.com/maps/contrib/109172933777278410267/reviews?hl=fr,NAN,NAN
Uganda,Arua,Equity Bank | Arua Branch,Not available,"2WC6+M6H, Kaya Hwy, Arua, Ouganda",Not available,Eva Baguma,2,Trop petit,il y a 3 ans,0,https://www.google.com/maps/contrib/102265249538023856763/reviews?hl=fr,NAN,NAN
Uganda,Arua,Equity Bank | Arua Branch,Not available,"2WC6+M6H, Kaya Hwy, Arua, Ouganda",Not available,Songa David,4,Améliorer,il y a 3 ans,0,https://www.google.com/maps/contrib/117431728673735201950/reviews?hl=fr,NAN,NAN
Uganda,Arua,Equity Bank | Arua Branch,Not available,"2WC6+M6H, Kaya Hwy, Arua, Ouganda",Not available,Nancy Ezabuku,4,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/113786518160578138617/reviews?hl=fr,NAN,NAN
Uganda,Arua,Equity Bank | Arua Branch,Not available,"2WC6+M6H, Kaya Hwy, Arua, Ouganda",Not available,ANDRUALE ARNOLD,3,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/107660647746946828610/reviews?hl=fr,NAN,NAN
Uganda,Arua,Equity Bank | Arua Branch,Not available,"2WC6+M6H, Kaya Hwy, Arua, Ouganda",Not available,Opinira Joshua,3,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/106138137749359254561/reviews?hl=fr,NAN,NAN
Uganda,Arua,Equity Bank | Arua Branch,Not available,"2WC6+M6H, Kaya Hwy, Arua, Ouganda",Not available,FRED ANZIKO,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/110070154694306396265/reviews?hl=fr,NAN,NAN
Uganda,Arua,Equity Bank | Arua Branch,Not available,"2WC6+M6H, Kaya Hwy, Arua, Ouganda",Not available,hamil suleiman,5,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/114684590196006689662/reviews?hl=fr,NAN,NAN
Uganda,Arua,KCB BANK | Arua Branch,Not available,"2WF5+WGR, Adumi Rd, Arua, Ouganda",Not available,Kajoyingi Evans,4,Bon service client,il y a 5 ans,0,https://www.google.com/maps/contrib/113176271988104093510/reviews?hl=fr,NAN,NAN
Uganda,Arua,KCB BANK | Arua Branch,Not available,"2WF5+WGR, Adumi Rd, Arua, Ouganda",Not available,Oketayot Michael,5,Excellent,il y a 3 ans,0,https://www.google.com/maps/contrib/110457083227188616393/reviews?hl=fr,NAN,NAN
Uganda,Arua,KCB BANK | Arua Branch,Not available,"2WF5+WGR, Adumi Rd, Arua, Ouganda",Not available,Taban Riak,5,NAN,il y a 7 mois,0,https://www.google.com/maps/contrib/100468556739585238126/reviews?hl=fr,NAN,NAN
Uganda,Arua,KCB BANK | Arua Branch,Not available,"2WF5+WGR, Adumi Rd, Arua, Ouganda",Not available,CHiCKY -BAHDO,4,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/118092786726768118359/reviews?hl=fr,NAN,NAN
Uganda,Arua,KCB BANK | Arua Branch,Not available,"2WF5+WGR, Adumi Rd, Arua, Ouganda",Not available,Stanley Kombe,4,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/115155379290436717534/reviews?hl=fr,NAN,NAN
Uganda,Arua,Bank Of Africa | Arua Branch,Not available,"2WC6+G8C, Kaya Hwy, Arua, Ouganda",Not available,CHiCKY -BAHDO,5,Des services bancaires plus rapides ici,il y a 3 ans,0,https://www.google.com/maps/contrib/118092786726768118359/reviews?hl=fr,NAN,NAN
Uganda,Arua,Bank Of Africa | Arua Branch,Not available,"2WC6+G8C, Kaya Hwy, Arua, Ouganda",Not available,Azandu Owen Ronald,4,Ouvertement situé,il y a 3 ans,0,https://www.google.com/maps/contrib/117860400554353620062/reviews?hl=fr,NAN,NAN
Uganda,Arua,Bank Of Africa | Arua Branch,Not available,"2WC6+G8C, Kaya Hwy, Arua, Ouganda",Not available,Arthur Isiko,5,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/105238774038800260531/reviews?hl=fr,NAN,NAN
Uganda,Arua,Bank of Baroda | Arua Branch,Not available,"42 Adumi Rd, Arua, Ouganda",Not available,Drate Yassin Jaffar,5,Bel endroit pour être,il y a 2 mois,0,https://www.google.com/maps/contrib/110694347368660166271/reviews?hl=fr,NAN,NAN
Uganda,Arua,Bank of Baroda | Arua Branch,Not available,"42 Adumi Rd, Arua, Ouganda",Not available,Odiria Peter,3,Bien,il y a 2 mois,0,https://www.google.com/maps/contrib/112846602846309500615/reviews?hl=fr,NAN,NAN
Uganda,Arua,Bank of Baroda | Arua Branch,Not available,"42 Adumi Rd, Arua, Ouganda",Not available,Drani Patrick,3,Bien,il y a 4 mois,0,https://www.google.com/maps/contrib/116157463679609191164/reviews?hl=fr,NAN,NAN
Uganda,Arua,Bank of Baroda | Arua Branch,Not available,"42 Adumi Rd, Arua, Ouganda",Not available,ujjwal sharma,5,NAN,il y a un an,0,https://www.google.com/maps/contrib/113217338558725576126/reviews?hl=fr,NAN,NAN
Uganda,Arua,Stanbic Bank | Arua Branch,+256 31 2224900,"Plot 25 Avenue Road / 0000, Ouganda",https://www.stanbicbank.co.ug/,Twinamatsiiko John Arthur,5,Les longues files d'attente ont été réduites et la banque a créé une bonne zone d'attente.,il y a 5 ans,1,https://www.google.com/maps/contrib/107972228443249411409/reviews?hl=fr,NAN,NAN
Uganda,Arua,Stanbic Bank | Arua Branch,+256 31 2224900,"Plot 25 Avenue Road / 0000, Ouganda",https://www.stanbicbank.co.ug/,Ojara Benson,4,L'introduction du service ATM USD a réduit le temps d'attente au guichet.,il y a un an,0,https://www.google.com/maps/contrib/114844739168641813847/reviews?hl=fr,NAN,NAN
