Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Ghana,Atebubu,Agricultural Development Bank,Not available,"Q237+G7R, Atebubu, Ghana",Not available,Eve Zak,5,Il y a le bus OA ici d'Atebubu à Accra il circule uniquement le soir vers 19h-20h ce n'est pas loin du marché mais il faudra attendre une éternité avant de partir ils vont charger tout Atebubu dans le bus …,il y a un an,0,https://www.google.com/maps/contrib/116693148306723707328/reviews?hl=fr,NAN,NAN
Ghana,Atebubu,Agricultural Development Bank,Not available,"Q237+G7R, Atebubu, Ghana",Not available,Fred Kwadwo Aazore,5,Première et plus ancienne banque d'Atebubu avec des services bancaires sympas.,il y a 6 ans,0,https://www.google.com/maps/contrib/104933710763265419358/reviews?hl=fr,NAN,NAN
Ghana,Atebubu,Agricultural Development Bank,Not available,"Q237+G7R, Atebubu, Ghana",Not available,Eze Kenneth,4,Ils sont tous professionnels,il y a 2 ans,0,https://www.google.com/maps/contrib/103309820253613161387/reviews?hl=fr,NAN,NAN
Ghana,Atebubu,Agricultural Development Bank,Not available,"Q237+G7R, Atebubu, Ghana",Not available,OkuJet Henry,4,Bon emplacement,il y a 6 ans,0,https://www.google.com/maps/contrib/107557796466635661247/reviews?hl=fr,NAN,NAN
Ghana,Atebubu,Agricultural Development Bank,Not available,"Q237+G7R, Atebubu, Ghana",Not available,Oti Ernest,4,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/105399834209038849933/reviews?hl=fr,NAN,NAN
Ghana,Atebubu,Agricultural Development Bank,Not available,"Q237+G7R, Atebubu, Ghana",Not available,FRANK OFORI-KUMAH,4,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/112607585203224879621/reviews?hl=fr,NAN,NAN
Ghana,Atebubu,Yapra Rural Bank,+233 20 207 7406,"Q247+7GC, Atebubu, Ghana",Not available,Obeng Christian,1,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/108883601691370425947/reviews?hl=fr,NAN,NAN
Ghana,Atebubu,Dalex Sales Point Atebubu,+233 24 320 0041,"Q247+CH4, Ejura Road, Atebubu, Ghana",Not available,Martin Kundi Anataba,5,Très précise,il y a 4 ans,0,https://www.google.com/maps/contrib/101813988302888138160/reviews?hl=fr,NAN,NAN
Ghana,Atebubu,Dalex Sales Point Atebubu,+233 24 320 0041,"Q247+CH4, Ejura Road, Atebubu, Ghana",Not available,DABLRE BONOUZOUR,5,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/112313698424366945119/reviews?hl=fr,NAN,NAN
Ghana,Atebubu,AKAO VENTURES,+233 54 296 9999,"Q238+J6V, Atebubu, Ghana",Not available,Awudu Akao,5,Très sympathique avec les clients,il y a 6 ans,1,https://www.google.com/maps/contrib/114732637947627617472/reviews?hl=fr,NAN,NAN
Ghana,Atebubu,GCB Bank,+233 50 049 8311,"Salaga - Atebubu Rd, Yeji, Ghana",http://www.gcbbank.com.gh/,Maswud abdullahi,5,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/103478632439069001621/reviews?hl=fr,NAN,NAN
Ghana,Atebubu,Ghana Commercial Bank,Not available,"GFWH+44M, Salaga - Atebubu Rd, Salaga, Ghana",Not available,ABDUL-RASHID ADAM,4,"La seule banque du canton de Salaga a été récemment transférée dans le vieux marché juste en face de la gare de Salaga. Elle propose Western Union, Money Gram et transfert d'argent.",il y a un an,1,https://www.google.com/maps/contrib/107365046447065164107/reviews?hl=fr,NAN,NAN
Ghana,Atebubu,Ghana Commercial Bank,Not available,"GFWH+44M, Salaga - Atebubu Rd, Salaga, Ghana",Not available,Pick Up,5,Meilleure banque,il y a 2 mois,0,https://www.google.com/maps/contrib/116804577872230465406/reviews?hl=fr,NAN,NAN
Ghana,Atebubu,Ghana Commercial Bank,Not available,"GFWH+44M, Salaga - Atebubu Rd, Salaga, Ghana",Not available,Hafiz Sule,2,Très,il y a 2 mois,0,https://www.google.com/maps/contrib/109784624104769351952/reviews?hl=fr,NAN,NAN
Ghana,Atebubu,Ghana Commercial Bank,Not available,"GFWH+44M, Salaga - Atebubu Rd, Salaga, Ghana",Not available,روائع الترحال,4,C'est bon,il y a un an,0,https://www.google.com/maps/contrib/107827870506824711544/reviews?hl=fr,NAN,NAN
Ghana,Atebubu,Ghana Commercial Bank,Not available,"GFWH+44M, Salaga - Atebubu Rd, Salaga, Ghana",Not available,Mohammedawaljaarah Haruna,5,C'est plus pratique,il y a 4 ans,0,https://www.google.com/maps/contrib/115988209113533955718/reviews?hl=fr,NAN,NAN
Ghana,Atebubu,Ghana Commercial Bank,Not available,"GFWH+44M, Salaga - Atebubu Rd, Salaga, Ghana",Not available,Abdul-Razak Iddrisu,4,j'ai été bien servi,il y a un an,0,https://www.google.com/maps/contrib/112995060668473596359/reviews?hl=fr,NAN,NAN
Ghana,Atebubu,Ghana Commercial Bank,Not available,"GFWH+44M, Salaga - Atebubu Rd, Salaga, Ghana",Not available,Ali Saidou,1,Dehors,il y a 3 ans,1,https://www.google.com/maps/contrib/109759208778573902877/reviews?hl=fr,NAN,NAN
Ghana,Atebubu,Ghana Commercial Bank,Not available,"GFWH+44M, Salaga - Atebubu Rd, Salaga, Ghana",Not available,Aminu Usman (CHAIRMAN),5,Lieu intéressé,il y a 4 ans,1,https://www.google.com/maps/contrib/102316791395586236120/reviews?hl=fr,NAN,NAN
Ghana,Atebubu,Ghana Commercial Bank,Not available,"GFWH+44M, Salaga - Atebubu Rd, Salaga, Ghana",Not available,Msduangy T,5,NAN,il y a un an,0,https://www.google.com/maps/contrib/111680965868760008296/reviews?hl=fr,NAN,NAN
Ghana,Atebubu,"GCB Bank Ltd, Agogo Asante Akyem",Not available,"QWV6+VG2, Konongo-Atebubu Rd, Agogo, Ghana",http://www.gcbbank.com.gh/,captain rabah,3,Gardez l’esprit d’amélioration,il y a 7 ans,0,https://www.google.com/maps/contrib/105346414978281378836/reviews?hl=fr,NAN,NAN
Ghana,Atebubu,Asante Akyem Rural Bank Ltd,+233 50 133 3453,"QWX8+6WJ, Konongo-Atebubu Rd, Agogo, Ghana",Not available,DJ Lloyd,5,NAN,il y a un an,0,https://www.google.com/maps/contrib/100607218608692709590/reviews?hl=fr,NAN,NAN
Ghana,Atebubu,"Ghana Commercial Bank, Agogo",Not available,"QWW6+3QJ, Konongo-Atebubu Rd, Agogo, Ghana",http://www.gcbbank.com.gh/,Nathaniel Abugri,5,Accès facile au service,il y a 3 ans,0,https://www.google.com/maps/contrib/112403295747348556000/reviews?hl=fr,NAN,NAN
Ghana,Atebubu,"Ghana Commercial Bank, Agogo",Not available,"QWW6+3QJ, Konongo-Atebubu Rd, Agogo, Ghana",http://www.gcbbank.com.gh/,Ilga Neiman,5,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/115407877150998516950/reviews?hl=fr,NAN,NAN
Ghana,Atebubu,"Ghana Commercial Bank, Agogo",Not available,"QWW6+3QJ, Konongo-Atebubu Rd, Agogo, Ghana",http://www.gcbbank.com.gh/,Prince Bortier,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/102887265636916095973/reviews?hl=fr,NAN,NAN
Ghana,Atebubu,"Ghana Commercial Bank, Agogo",Not available,"QWW6+3QJ, Konongo-Atebubu Rd, Agogo, Ghana",http://www.gcbbank.com.gh/,Nana Yaw Danso,3,NAN,il y a 8 ans,0,https://www.google.com/maps/contrib/105164259584920576088/reviews?hl=fr,NAN,NAN
