Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Bénin,Bassila,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",http://www.societegenerale.bj/,simon Attolou,1,"Bonjour,
J'ai un compte PEL dans cette banque depuis 2016.
Aujourd'hui je demande à le clôturer depuis le 28/10 car je suis dans l'urgence. …",il y a un an,4,https://www.google.com/maps/contrib/106114450638272817752/reviews?hl=fr,NAN,NAN
Bénin,Bassila,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",http://www.societegenerale.bj/,Juste Aivohozin,1,"Si je pouvais, je mettrai un zéro. Vos agents de sécurité à l'extérieur sont d'une nullité sans pareil. Nous les avons vu faire entrer des gens contre des billets alors qu'il y a des gens qui attendent depuis des heures. Quand je passe le …",il y a 2 ans,6,https://www.google.com/maps/contrib/103919983247886808064/reviews?hl=fr,NAN,NAN
Bénin,Bassila,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",http://www.societegenerale.bj/,Assah Martial E C TMA / ECOVID / Bureau Bénin,1,"Ou est le professionnalisme si le seul guichetier opérationnel à Togoudo, au moment où je poste, laisse plus d'une dizaine de clients soit disant qu'il va aux toilettes ? …",il y a 2 ans,5,https://www.google.com/maps/contrib/103138012613803569870/reviews?hl=fr,NAN,NAN
Bénin,Bassila,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",http://www.societegenerale.bj/,AGUESSY Ornela,2,Bonjour je voulais notifier que l’agence société générale calavi n’est plus au niveau de la descente dDiita mais dans l’enceinte du surper U calavi akassato car ce n’est pas notifier sur leurs sites et j’ai été peiné des allées retours …,il y a un an,9,https://www.google.com/maps/contrib/108805497525307100549/reviews?hl=fr,NAN,NAN
Bénin,Bassila,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",http://www.societegenerale.bj/,Julin LEMETAYER,1,"Je suis arrivé pour échanger des Francs cfa contre des euros à 15h, il est 18h20 je suis toujours en train d'attendre. Un manque énorme de personnel et d'organisation.",il y a un an,2,https://www.google.com/maps/contrib/111047102526079208935/reviews?hl=fr,NAN,NAN
Bénin,Bassila,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",http://www.societegenerale.bj/,Benoît Sambeni,3,J'apprécie énormément la Banque 🏦 BGF....... mais seulement ils ont limiter le prix de la transaction de retrait au guichet afin d'avoir la main sur certains dépenses obscure. …,il y a un an,0,https://www.google.com/maps/contrib/118215960848432275737/reviews?hl=fr,NAN,NAN
Bénin,Bassila,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",http://www.societegenerale.bj/,Finagnon Pascal DEDEWANOU,5,"Cette banque mérite que je lui accorde la dernière étoile. Leur service reste rapide et efficace. Les agents sont très accueillants.
Merci à eux",il y a un an,1,https://www.google.com/maps/contrib/115920608397610112190/reviews?hl=fr,NAN,NAN
Bénin,Bassila,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",http://www.societegenerale.bj/,Firmin Codjia,2,"Je donne 2 étoiles :  file d' attente interminable. Lenteur...! Et pourtant j' ai conseillé cette banque à une proche...Mesdames, messieurs le employé.e.s, le temps, c' est de l' argent. Un virement international  met plus de 8 jours impensable pour une banque internationale !  A l'ere de l' internet  !!!!",il y a 5 ans,1,https://www.google.com/maps/contrib/112093690201297950853/reviews?hl=fr,NAN,NAN
Bénin,Bassila,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",http://www.societegenerale.bj/,Etienne Lerch,1,"Temps d'attente stratosphérique pour une opération minime, comme d'habitude... Et pas de progrès en vue. 2 caisses sur 5 d'ouvertes alors que les gens attendent jusqu'au dehors. Et ils ont pas l'air d'avoir honte",il y a 2 ans,2,https://www.google.com/maps/contrib/105839281864294983649/reviews?hl=fr,NAN,NAN
Bénin,Bassila,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",http://www.societegenerale.bj/,Prosper Togbonon,1,"Une étoile parce que quand vous êtes en contentieux, faute de l'employeur, c'est la croix et la bannière à SGB Bénin. Vous êtes traités à la limite comme un mendiant et le salaire fracassé comme si vous en aviez fait cession.  Je regrette …",il y a 4 ans,1,https://www.google.com/maps/contrib/111141772191204585036/reviews?hl=fr,NAN,NAN
Bénin,Bassila,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",http://www.societegenerale.bj/,Serge Armand P. DAGBA,1,"J ai rarement vu aussi peu de professionnalisme.
La banque ne respecte pas ses engagements.
Et le client n est pas respecté !
Quelle gâchis !!! Honteux",il y a 6 ans,5,https://www.google.com/maps/contrib/103453556060169718009/reviews?hl=fr,NAN,NAN
Bénin,Bassila,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",http://www.societegenerale.bj/,Marie Joanne Jane Casimir Auguste,5,"Mr François rousel et William hounou ma arnacque il mon dit que je pourrai avoir un pret voila le resulta 2000eur j,ai leur cordonne et leur mail et tout je voudrai avoir un contact dans leur pays pour qu,il ne peux puis arnacque d,autres person societe generale la banque de benin",il y a 9 ans,4,https://www.google.com/maps/contrib/110960475841634021828/reviews?hl=fr,NAN,NAN
Bénin,Bassila,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",http://www.societegenerale.bj/,Sylvain Zinsou,2,La qualité des services d'accueil et de gestion des attentes a sérieusement baissé dernièrement...,il y a 4 ans,1,https://www.google.com/maps/contrib/117286504649662449014/reviews?hl=fr,NAN,NAN
Bénin,Bassila,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",http://www.societegenerale.bj/,Fernando Djossou,4,"Banque. Institution financière de retrait, de dépôt d'argent et d'épargne. Moins de fil durant certaines heures. …",il y a 2 ans,1,https://www.google.com/maps/contrib/105980032028756453061/reviews?hl=fr,NAN,NAN
Bénin,Bassila,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",http://www.societegenerale.bj/,AKAWBA 225,1,Réponse pour des appels téléphoniques rentrant inexistants selon les informations Google de l'agence société Générale meme en période de non affluence ils ne décrochent pas après plusieurs tentatives c est un échec de l'accueil client,il y a 3 ans,1,https://www.google.com/maps/contrib/109857082020491398549/reviews?hl=fr,NAN,NAN
Bénin,Bassila,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",http://www.societegenerale.bj/,RÉUSSIR AU PLURIEL,3,Il s'agit du siège de la Société Générale des Banques au Bénin...un cadre agréable avec du personnel a l'écoute et aux services du client,il y a 3 ans,0,https://www.google.com/maps/contrib/116667826225015982963/reviews?hl=fr,NAN,NAN
Bénin,Bassila,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",http://www.societegenerale.bj/,Florent Medemosso,1,votre guichet viens d'avaler mes 130000fr c'est vraiment du n'importe quoi,il y a un an,0,https://www.google.com/maps/contrib/112694989819257131468/reviews?hl=fr,NAN,NAN
Bénin,Bassila,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",http://www.societegenerale.bj/,Pat34 pat34,3,Une banque parmi tant d'autres. Sans commentaire c'est la SG,il y a un an,0,https://www.google.com/maps/contrib/106009314894867903432/reviews?hl=fr,NAN,NAN
Bénin,Bassila,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",http://www.societegenerale.bj/,Marco Boss,1,"Service nul des heures pour un versement
Juste degueu",il y a 2 ans,1,https://www.google.com/maps/contrib/102111052617997945757/reviews?hl=fr,NAN,NAN
Bénin,Bassila,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",http://www.societegenerale.bj/,Whislande ODJO,1,"Nul. Attente de plus d'une heure pour faire simplement du change
Incapacité à vous donner des renseignements fiables. N'importe quoi",il y a 2 ans,4,https://www.google.com/maps/contrib/101277311531050944140/reviews?hl=fr,NAN,NAN
Bénin,Bassila,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",http://www.societegenerale.bj/,Raoul CHAKOUN,5,J'ai apprécié ce lieu de par la qualité et la rapidité du travail de ceux qui y travaillent,il y a 2 ans,0,https://www.google.com/maps/contrib/108403403391103953391/reviews?hl=fr,NAN,NAN
Bénin,Bassila,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",http://www.societegenerale.bj/,Yves BAKINDE,4,Je suis agent Trade Finance actuellement en poste à la Société Générale Bénin.,il y a 2 ans,0,https://www.google.com/maps/contrib/112699485471625215643/reviews?hl=fr,NAN,NAN
