Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Bénin,Bembèrèkè,BOA BENIN (Bank Of Africa) - Agence Centrale,+229 21 31 32 28,"9C2J+RRC Benin city, Ave Jean-Paul II, Cotonou, Bénin",https://www.bank-of-africa.net/fr/activity-reports/boa-benin,Kevin Bogble,1,"Pire service bancaire jamais rencontré, votre numéro fixe ne sert à rien, vous êtes très mal organisé pour recevoir les clients dans vos bureaux, du favoritisme à ne pas en finir, les délais pour les cartes et chéquiers non respectés à …",il y a un an,2,https://www.google.com/maps/contrib/109623732116762830109/reviews?hl=fr,NAN,NAN
Bénin,Bembèrèkè,BOA BENIN (Bank Of Africa) - Agence Centrale,+229 21 31 32 28,"9C2J+RRC Benin city, Ave Jean-Paul II, Cotonou, Bénin",https://www.bank-of-africa.net/fr/activity-reports/boa-benin,Nikchou,1,Je vais à la BOA de Ganhi pour faire la monnaie et avoir des pièces et on me dit d'aller à l'agence élite. Je vais à l'agence élite et la caissière commence par rire de moi et me dit d'aller à la BCEAO. Dans un pays qui se respecte comment …,il y a un an,2,https://www.google.com/maps/contrib/118070936868897762883/reviews?hl=fr,NAN,NAN
Bénin,Bembèrèkè,BOA BENIN (Bank Of Africa) - Agence Centrale,+229 21 31 32 28,"9C2J+RRC Benin city, Ave Jean-Paul II, Cotonou, Bénin",https://www.bank-of-africa.net/fr/activity-reports/boa-benin,Eliane AWOUNOU,1,Très mauvaise expérience ce jour à l’agence BOA de Ganhi. Les agents de sécurité privé sont loin d’être cordiales avec les usagers. Cela ne donne pas une bonne image à l’institution. J’ai du repartir sans faire mes opérations.,il y a un an,2,https://www.google.com/maps/contrib/107843139911447081604/reviews?hl=fr,NAN,NAN
Bénin,Bembèrèkè,BOA BENIN (Bank Of Africa) - Agence Centrale,+229 21 31 32 28,"9C2J+RRC Benin city, Ave Jean-Paul II, Cotonou, Bénin",https://www.bank-of-africa.net/fr/activity-reports/boa-benin,Lucya JOHN,4,J'ai pas aimé que les distributeurs de tickets ne marchent mais le service est bien organisé et on est vite servi,il y a 8 mois,0,https://www.google.com/maps/contrib/104378445110585709018/reviews?hl=fr,NAN,NAN
Bénin,Bembèrèkè,BOA BENIN (Bank Of Africa) - Agence Centrale,+229 21 31 32 28,"9C2J+RRC Benin city, Ave Jean-Paul II, Cotonou, Bénin",https://www.bank-of-africa.net/fr/activity-reports/boa-benin,Marius Hounkpatin,2,"Bonjour
J'aimerais savoir si la note concernant le changement du compte épargne prend en compte les aspirants au métier d'enseignement. Sinon moi je viens de faire …",il y a 4 ans,0,https://www.google.com/maps/contrib/101637915923045527403/reviews?hl=fr,NAN,NAN
Bénin,Bembèrèkè,BOA BENIN (Bank Of Africa) - Agence Centrale,+229 21 31 32 28,"9C2J+RRC Benin city, Ave Jean-Paul II, Cotonou, Bénin",https://www.bank-of-africa.net/fr/activity-reports/boa-benin,E-POLE,1,"Dans cette agence cciale  , de la Direction Générale BOA , le service clientèle est vraiment passable , voire archaïque  au point où la dite  banque , incapable de gérer cette crise d'incapacité notoire dont font quotidiennement preuve …",il y a 5 ans,4,https://www.google.com/maps/contrib/103873311573613739867/reviews?hl=fr,NAN,NAN
Bénin,Bembèrèkè,BOA BENIN (Bank Of Africa) - Agence Centrale,+229 21 31 32 28,"9C2J+RRC Benin city, Ave Jean-Paul II, Cotonou, Bénin",https://www.bank-of-africa.net/fr/activity-reports/boa-benin,Nicaise Lokossou,4,Service de qualité,il y a un mois,0,https://www.google.com/maps/contrib/108799369990999911484/reviews?hl=fr,NAN,NAN
Bénin,Bembèrèkè,BOA BENIN (Bank Of Africa) - Agence Centrale,+229 21 31 32 28,"9C2J+RRC Benin city, Ave Jean-Paul II, Cotonou, Bénin",https://www.bank-of-africa.net/fr/activity-reports/boa-benin,Moubine Moutairou,5,"J'ai occupé divers postes en passant Guichetier payeur polyvalent  à Chargé de Clientèle particuliers, ensuite spécialiste Mesofinance et enfin Analyste risque crédit",il y a 2 ans,3,https://www.google.com/maps/contrib/104169290886252434415/reviews?hl=fr,NAN,NAN
Bénin,Bembèrèkè,BOA BENIN (Bank Of Africa) - Agence Centrale,+229 21 31 32 28,"9C2J+RRC Benin city, Ave Jean-Paul II, Cotonou, Bénin",https://www.bank-of-africa.net/fr/activity-reports/boa-benin,Hervé Vénance OUSSOU,2,La qualité de service reste à améliorer. Mais c'est une grande banque,il y a un an,0,https://www.google.com/maps/contrib/112591499501015603757/reviews?hl=fr,NAN,NAN
Bénin,Bembèrèkè,BOA BENIN (Bank Of Africa) - Agence Centrale,+229 21 31 32 28,"9C2J+RRC Benin city, Ave Jean-Paul II, Cotonou, Bénin",https://www.bank-of-africa.net/fr/activity-reports/boa-benin,Abra Dofé ODZUKPA,5,Siège de BOA au Bénin. Tous les problèmes liés à votre compte bancaire sont résolus sur place. Je préfère souvent m’y rendre pour être mieux servi,il y a 5 ans,2,https://www.google.com/maps/contrib/115287100789750938046/reviews?hl=fr,NAN,NAN
