Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Morocco,Berkane,Banque Populaire,Not available,"24 Av. Ibn Sina, Berkane",Not available,Rida Abouacem,1,employée incompétent,il y a un an,0,https://www.google.com/maps/contrib/102052133951378978662/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Banque Populaire,Not available,"24 Av. Ibn Sina, Berkane",Not available,AHMED TAHRI,4,Top Services ....,il y a 4 ans,0,https://www.google.com/maps/contrib/100356737132548312608/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Banque Populaire,Not available,"24 Av. Ibn Sina, Berkane",Not available,Jaouad Tabib,5,Banque centrale,il y a 7 ans,0,https://www.google.com/maps/contrib/118177422103014434262/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Banque Populaire,Not available,"24 Av. Ibn Sina, Berkane",Not available,Med Wissal,5,NAN,il y a 5 mois,0,https://www.google.com/maps/contrib/104148616787175755489/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Banque Populaire,Not available,"24 Av. Ibn Sina, Berkane",Not available,Oussama Bouras,5,NAN,il y a 9 mois,0,https://www.google.com/maps/contrib/106242972824403940170/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Banque Populaire,Not available,"24 Av. Ibn Sina, Berkane",Not available,Tariq RHOMARI,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/105621463716876389062/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Banque Populaire,Not available,"24 Av. Ibn Sina, Berkane",Not available,Hassan Aissaoui,4,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/109545936552145252156/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Banque Populaire,Not available,"24 Av. Ibn Sina, Berkane",Not available,Hassan,4,NAN,il y a 8 ans,0,https://www.google.com/maps/contrib/105176533198640188155/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Agence Banque Populaire,Not available,"WMJ7+488, Av. Allal El Fassi, Berkane",Not available,abderrahmane El Gharbi,5,"Bon accueil, service rapide",il y a 3 ans,1,https://www.google.com/maps/contrib/109329172435834725182/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Agence Banque Populaire,Not available,"WMJ7+488, Av. Allal El Fassi, Berkane",Not available,Amar Amrou,4,Excellent emplacement,il y a 6 ans,1,https://www.google.com/maps/contrib/114584891066980017843/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Banque AttijariWafa,Not available,"WMCG+8FJ, Bd Hassan II, Berkane",Not available,Mohammed Hadi,1,Mauvais service,il y a 3 mois,0,https://www.google.com/maps/contrib/105295044939860887945/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Banque AttijariWafa,Not available,"WMCG+8FJ, Bd Hassan II, Berkane",Not available,Mohammed Ramdani,1,Porte pas considération des étrangers marocain vive on Belgique,il y a 3 ans,1,https://www.google.com/maps/contrib/102794039675634261105/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Banque AttijariWafa,Not available,"WMCG+8FJ, Bd Hassan II, Berkane",Not available,Jamal Amara,1,Attention c'est des arnaqueurs,il y a 3 ans,0,https://www.google.com/maps/contrib/104778585481451201756/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Banque AttijariWafa,Not available,"WMCG+8FJ, Bd Hassan II, Berkane",Not available,chiwi berkani,3,😍😍😍😍😍 …,il y a 6 ans,0,https://www.google.com/maps/contrib/107070456283856928969/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Banque AttijariWafa,Not available,"WMCG+8FJ, Bd Hassan II, Berkane",Not available,Famille A,5,Bienvenue à Hamdoulilah,il y a un an,0,https://www.google.com/maps/contrib/105182008072479545496/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Banque AttijariWafa,Not available,"WMCG+8FJ, Bd Hassan II, Berkane",Not available,Youssef Ouezghari,1,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/108992648253398871612/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Banque AttijariWafa,Not available,"WMCG+8FJ, Bd Hassan II, Berkane",Not available,Doa chatti,5,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/105952419310994715766/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Banque AttijariWafa,Not available,"WMCG+8FJ, Bd Hassan II, Berkane",Not available,El Aid Kodad,1,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/117987750372931865186/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Banque AttijariWafa,Not available,"WMCG+8FJ, Bd Hassan II, Berkane",Not available,seifi mohammed,2,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/115615489545833914190/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Banque AttijariWafa,Not available,"WMCG+8FJ, Bd Hassan II, Berkane",Not available,hamza bachiri,3,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/109686396337063434885/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Agence Banque Populaire,Not available,"WMJ7+488, Av. Allal El Fassi, Berkane",Not available,abderrahmane El Gharbi,5,"Bon accueil, service rapide",il y a 3 ans,1,https://www.google.com/maps/contrib/109329172435834725182/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Agence Banque Populaire,Not available,"WMJ7+488, Av. Allal El Fassi, Berkane",Not available,Amar Amrou,4,Excellent emplacement,il y a 6 ans,1,https://www.google.com/maps/contrib/114584891066980017843/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Banque Populaire,Not available,"WMJF+PCF, P6011, Berkane",Not available,ALTA ALTA,5,La dame a l'accueil très professionnel et accueillante. Très satisfait de la banque.,il y a 9 mois,0,https://www.google.com/maps/contrib/117312806580998380625/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Banque Populaire,Not available,"WMJF+PCF, P6011, Berkane",Not available,Mohamed Ayadi,5,Services comptables,il y a un an,1,https://www.google.com/maps/contrib/105841480336477007557/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Banque Populaire,Not available,"WMJF+PCF, P6011, Berkane",Not available,Hassan,4,Des gens sympathiques et pas de longues files d'attente.,il y a 8 ans,1,https://www.google.com/maps/contrib/105176533198640188155/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Banque Populaire,Not available,"WMJF+PCF, P6011, Berkane",Not available,Fatima Eljaimi,5,Tout le monde est gentil,il y a 10 mois,0,https://www.google.com/maps/contrib/107858113792692631045/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Banque Populaire,Not available,"WMJF+PCF, P6011, Berkane",Not available,Rid Ait L,4,Banque,il y a 6 ans,0,https://www.google.com/maps/contrib/116096694719391111499/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Banque Populaire,Not available,"WMJF+PCF, P6011, Berkane",Not available,ahmed saltana,5,NAN,il y a un an,0,https://www.google.com/maps/contrib/102118306464479487876/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Banque Populaire,Not available,"WMJF+PCF, P6011, Berkane",Not available,Mouichnate Nehayla,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/102365418317988723154/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Société Générale Berkane,05224-24242,"26, Bd. Mohammed V, Berkane 63300",https://www.sgmaroc.com/,صهيب الزيدي,5,Très bel endroit,il y a un an,0,https://www.google.com/maps/contrib/113009998468133098404/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Bank Assafa - Agence Berkane,05366-12652,"WMG8+9R2, N2, Berkane 60300",https://www.bankassafa.com/,Hasnae Abdellaoui,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/111516260547560635989/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Bank Assafa - Agence Berkane,05366-12652,"WMG8+9R2, N2, Berkane 60300",https://www.bankassafa.com/,Hassan hafs,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/116827050862340076852/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Bank of Africa,05224-21542,"WMF8+X7Q, N2, Berkane",Not available,mohamed LATRACH,1,Je réside en France et ouvert un compte a la BMCE depuis 7 ans. Depuis 3 ans je demande à bénéficier du code d'accès pour gérer mon compte depuis ma plate forme. Je n'ai jamais eu de réponse. Au mois d'octobre 2023 pendant les vacances de …,il y a 2 mois,0,https://www.google.com/maps/contrib/103020690090779976312/reviews?hl=fr,NAN,NAN
Morocco,Berkane,Bank of Africa,05224-21542,"WMF8+X7Q, N2, Berkane",Not available,Mounira Elaidi,1,UNE ETOILE CAR JE NE PEUX PAS METTRE 0 . AGENCE A FUIR . JE PENSE QUE LES CONSEILLERS SONT DES FANTÔMES AUCUNES REPONSES A MES MAILS A MES DEMANDES DE RDV. ILS BLOQUENT MEME MA DEMANDE DE TRANSFERT D AGENCE.  VOUS PERDEZ UNE CLIENTE. VOUS AVEZ RÉUSSI A ME FAIRE PARTIR ALORS QUE CELA FAISAIT PLUSIEURS ANNEE.,il y a 5 mois,2,https://www.google.com/maps/contrib/102426637842677853322/reviews?hl=fr,NAN,NAN
