Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Uganda,Busia,KCB Busia,+254 20 2287000,"Rainbow House, Along Busia - Uganda Road, Busia, Kenya",Not available,Calvince Odira,5,"Je suis allé à la succursale de l'Ouganda en prétendant savoir pourquoi mon COMPTE avait un pnd mais n'a jamais été aidé. Être un Kenyan en Ouganda me donne le sentiment que KCB est le meilleur foyer, c'est mon doux foyer, la position de …",il y a 2 ans,0,https://www.google.com/maps/contrib/106748627213573374835/reviews?hl=fr,NAN,NAN
Uganda,Busia,KCB Busia,+254 20 2287000,"Rainbow House, Along Busia - Uganda Road, Busia, Kenya",Not available,AfyaCentreCrew Tv,5,Belle banque,il y a 7 ans,2,https://www.google.com/maps/contrib/102235026576095697638/reviews?hl=fr,NAN,NAN
Uganda,Busia,KCB Busia,+254 20 2287000,"Rainbow House, Along Busia - Uganda Road, Busia, Kenya",Not available,Erick Bahati,4,Une trésorerie fiable plus grande,il y a 7 ans,0,https://www.google.com/maps/contrib/114184685503114547442/reviews?hl=fr,NAN,NAN
Uganda,Busia,KCB Busia,+254 20 2287000,"Rainbow House, Along Busia - Uganda Road, Busia, Kenya",Not available,Naomi Sakwa,5,Génial...,il y a 3 ans,0,https://www.google.com/maps/contrib/110057848661424526788/reviews?hl=fr,NAN,NAN
Uganda,Busia,KCB Busia,+254 20 2287000,"Rainbow House, Along Busia - Uganda Road, Busia, Kenya",Not available,Bhavya Patel,1,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/112007377633335848697/reviews?hl=fr,NAN,NAN
Uganda,Busia,KCB Busia,+254 20 2287000,"Rainbow House, Along Busia - Uganda Road, Busia, Kenya",Not available,Sharks Eddy,5,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/108418983640272470955/reviews?hl=fr,NAN,NAN
Uganda,Busia,Stanbic Bank | Busia Branch,+256 31 2224910,"Plot 1 Tororo Road / 0000, Ouganda",https://www.stanbicbank.co.ug/,Wejuli Joseph Ogunyi,5,Service bancaire normal,il y a 2 mois,0,https://www.google.com/maps/contrib/106600356926039159512/reviews?hl=fr,NAN,NAN
Uganda,Busia,Stanbic Bank | Busia Branch,+256 31 2224910,"Plot 1 Tororo Road / 0000, Ouganda",https://www.stanbicbank.co.ug/,victor ogutu,3,"Prestation de service lente, temps d'attente important",il y a un an,0,https://www.google.com/maps/contrib/110327374457800493947/reviews?hl=fr,NAN,NAN
Uganda,Busia,Stanbic Bank | Busia Branch,+256 31 2224910,"Plot 1 Tororo Road / 0000, Ouganda",https://www.stanbicbank.co.ug/,TRENDING ON YOUTUBE,1,"le gérant de cet endroit est horrible, il a retenu mon argent pendant 20 jours, j'étais censé recevoir l'argent dans 2 à 3 jours, ce n'est absolument pas professionnel",il y a 3 ans,0,https://www.google.com/maps/contrib/113654112684887054715/reviews?hl=fr,NAN,NAN
Uganda,Busia,Stanbic Bank | Busia Branch,+256 31 2224910,"Plot 1 Tororo Road / 0000, Ouganda",https://www.stanbicbank.co.ug/,opio valentine,2,Ancienne structure. Bien situé au carrefour,il y a un an,0,https://www.google.com/maps/contrib/114799005224281494917/reviews?hl=fr,NAN,NAN
