Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Côte d'Ivoire,Divo,Banque Atlantique - Divo,+225 32762873,"RJQR+W5P, Quartier Commerce, Carrefour marché non loin de la CDCI gros, Divo, Côte d’Ivoire",http://www.banqueatlantique.net/,Kone Yous,3,Bon service,il y a 2 ans,0,https://www.google.com/maps/contrib/106203125493757231661/reviews?hl=fr,NAN,NAN
Côte d'Ivoire,Divo,Banque Atlantique - Divo,+225 32762873,"RJQR+W5P, Quartier Commerce, Carrefour marché non loin de la CDCI gros, Divo, Côte d’Ivoire",http://www.banqueatlantique.net/,Comara TV [ TUTO ],5,libanais,il y a 6 ans,1,https://www.google.com/maps/contrib/112345118860941531867/reviews?hl=fr,NAN,NAN
Côte d'Ivoire,Divo,Banque Atlantique - Divo,+225 32762873,"RJQR+W5P, Quartier Commerce, Carrefour marché non loin de la CDCI gros, Divo, Côte d’Ivoire",http://www.banqueatlantique.net/,Diallo Saidou,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/106373949559174258502/reviews?hl=fr,NAN,NAN
Côte d'Ivoire,Divo,Banque Atlantique - Divo,+225 32762873,"RJQR+W5P, Quartier Commerce, Carrefour marché non loin de la CDCI gros, Divo, Côte d’Ivoire",http://www.banqueatlantique.net/,Mor Talla Gaye,1,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/101828388833799267186/reviews?hl=fr,NAN,NAN
Côte d'Ivoire,Divo,Banque Atlantique - Divo,+225 32762873,"RJQR+W5P, Quartier Commerce, Carrefour marché non loin de la CDCI gros, Divo, Côte d’Ivoire",http://www.banqueatlantique.net/,El hadji Ouatara,5,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/113728633251944223524/reviews?hl=fr,NAN,NAN
Côte d'Ivoire,Divo,ADVANS DIVO,+225 32760558,"RJQQ+XH2, Divo Bandama Sur CI, Divo, Côte d’Ivoire",Not available,Modeste du ciel,1,Mon expérience  c'est  la cité céleste  shalom,il y a 2 ans,0,https://www.google.com/maps/contrib/106215272675610344699/reviews?hl=fr,NAN,NAN
Côte d'Ivoire,Divo,ADVANS DIVO,+225 32760558,"RJQQ+XH2, Divo Bandama Sur CI, Divo, Côte d’Ivoire",Not available,adama ouedraogo,5,NAN,il y a 5 mois,0,https://www.google.com/maps/contrib/103355388765215453597/reviews?hl=fr,NAN,NAN
Côte d'Ivoire,Divo,ADVANS DIVO,+225 32760558,"RJQQ+XH2, Divo Bandama Sur CI, Divo, Côte d’Ivoire",Not available,emile prophat tchako,5,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/114022070716313722843/reviews?hl=fr,NAN,NAN
Côte d'Ivoire,Divo,ADVANS DIVO,+225 32760558,"RJQQ+XH2, Divo Bandama Sur CI, Divo, Côte d’Ivoire",Not available,Djallo Souleymane,3,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/110445601304014203390/reviews?hl=fr,NAN,NAN
Côte d'Ivoire,Divo,CELPAID FINANCES SA DIVO,+225 85350125,"RJRR+G7X, Divo, Côte d’Ivoire",Not available,Yao Koffi,5,C'est notre voisin de service,il y a 6 ans,1,https://www.google.com/maps/contrib/110359487473131017258/reviews?hl=fr,NAN,NAN
