Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Morocco,Essaouira,Société Générale Essaouira Premium,05224-24242,"Angle Bd Okba Ibn Nafii et Rue Youssef El Fassi, Essaouira 44000",https://www.sgmaroc.com/,Andrey K S. (“AK”),5,"Contrairement à ce que disent les autres commentaires, je n’ai eu aucun problème à retirer de l’argent dans le distributeur ici.",il y a un mois,0,https://www.google.com/maps/contrib/104384456198895385609/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Société Générale Essaouira Premium,05224-24242,"Angle Bd Okba Ibn Nafii et Rue Youssef El Fassi, Essaouira 44000",https://www.sgmaroc.com/,pineau gabriel,1,"ATTENTION n’y allez surtout pas !!!!! Nous avons voulu retirer 1000 dirham soit 100 euros, le distributeur a affiché un message hors service et nous n’avons ni reçu de ticket ni les 1000 dirham, alors que les 100 euros ont été immédiatement …",il y a un an,0,https://www.google.com/maps/contrib/110557923930566869688/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Société Générale Essaouira Premium,05224-24242,"Angle Bd Okba Ibn Nafii et Rue Youssef El Fassi, Essaouira 44000",https://www.sgmaroc.com/,F F,1,portez une attention particulière aux coûts cachés de cette banque.  mauvais service client vous gardez des frais pour des services non reçus pour la troisième fois je découvre des frais exorbitants et injustement retenus et lorsque vous …,il y a 3 ans,5,https://www.google.com/maps/contrib/107122893393872106984/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Société Générale Essaouira Premium,05224-24242,"Angle Bd Okba Ibn Nafii et Rue Youssef El Fassi, Essaouira 44000",https://www.sgmaroc.com/,Fatima,1,"Très mauvaise agence , conseiller incompétent, qui préfère s’occuper ailleurs que de ces clients , ne surtout pas faire de prêt c’est à la tête du client et frais d’agence débiter de votre compte  pour rien de résolu",il y a un an,0,https://www.google.com/maps/contrib/117579824902368276461/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Société Générale Essaouira Premium,05224-24242,"Angle Bd Okba Ibn Nafii et Rue Youssef El Fassi, Essaouira 44000",https://www.sgmaroc.com/,Barbara Di carli,1,"Je confirme pleinement cet avis et ajoute qu'il y a un manque total de compétence de la part des employés du guichet, des consultants d'Elhassan, Mohamed darei, ibtissam lahrach évidemment si le directeur permet à ces employés d'exercer …",il y a 3 ans,3,https://www.google.com/maps/contrib/102771329537085098017/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Société Générale Essaouira Premium,05224-24242,"Angle Bd Okba Ibn Nafii et Rue Youssef El Fassi, Essaouira 44000",https://www.sgmaroc.com/,Association SarE,1,"Triste réalité  malheureusement.
Peu de professionnalisme.",il y a 5 mois,0,https://www.google.com/maps/contrib/105064066650437171543/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Société Générale Essaouira Premium,05224-24242,"Angle Bd Okba Ibn Nafii et Rue Youssef El Fassi, Essaouira 44000",https://www.sgmaroc.com/,Abdelali ait istir,1,"Personne résolue mon problème de ma carte bancaire m'y ecard  ça fait plus de 15 jours
Je peux pas faire mais achats en ligne  maintenant ils ont bloqué mes affaires .",il y a 3 ans,0,https://www.google.com/maps/contrib/118036254927863659556/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Société Générale Essaouira Premium,05224-24242,"Angle Bd Okba Ibn Nafii et Rue Youssef El Fassi, Essaouira 44000",https://www.sgmaroc.com/,Reda Man,1,0 / 0 attention ne retirer surtout pas de là-bas,il y a 10 mois,0,https://www.google.com/maps/contrib/114027097159947356862/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Société Générale Essaouira Premium,05224-24242,"Angle Bd Okba Ibn Nafii et Rue Youssef El Fassi, Essaouira 44000",https://www.sgmaroc.com/,Martine Leboulanger,1,"J’ai demandé 500 dirhams le vendredi 10 mai au distributeur, celui-ci ne m’en a donné que 320 !!!",il y a 5 ans,0,https://www.google.com/maps/contrib/116087476036772405031/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Société Générale Essaouira Premium,05224-24242,"Angle Bd Okba Ibn Nafii et Rue Youssef El Fassi, Essaouira 44000",https://www.sgmaroc.com/,Abdelkebir Daoud,5,Très bon accueil et très bon service,il y a 10 mois,1,https://www.google.com/maps/contrib/100135528080479617872/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Société Générale Essaouira Premium,05224-24242,"Angle Bd Okba Ibn Nafii et Rue Youssef El Fassi, Essaouira 44000",https://www.sgmaroc.com/,RED Blog,1,"Service 0
Arnaque attention",il y a un an,0,https://www.google.com/maps/contrib/101609663914911006983/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Société Générale Essaouira Premium,05224-24242,"Angle Bd Okba Ibn Nafii et Rue Youssef El Fassi, Essaouira 44000",https://www.sgmaroc.com/,Souad Elkaddani,1,"ARNAQUE... Aujourd'hui, j'ai utilisé un guichet automatique sur cette machine et il m'a montré le message indiquant que l'opération avait eu lieu... le guichet automatique est sorti mais pas l'argent. J'ai demandé des explications au …",il y a 6 mois,0,https://www.google.com/maps/contrib/108396333492706257054/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Société Générale Essaouira Premium,05224-24242,"Angle Bd Okba Ibn Nafii et Rue Youssef El Fassi, Essaouira 44000",https://www.sgmaroc.com/,Jaro Nemčok,1,"Lors de notre visite au Maroc, nous avons passé une journée dans la ville d'Essaouira. C'est très difficile de payer par carte, alors nous avons trouvé ce distributeur - oups, ça ne marche pas :-) …",il y a 4 ans,1,https://www.google.com/maps/contrib/111221612381786401601/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Société Générale Essaouira Premium,05224-24242,"Angle Bd Okba Ibn Nafii et Rue Youssef El Fassi, Essaouira 44000",https://www.sgmaroc.com/,David Vodicka,1,N'a pas fonctionné,il y a un an,0,https://www.google.com/maps/contrib/108515067789432234606/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Société Générale Essaouira Premium,05224-24242,"Angle Bd Okba Ibn Nafii et Rue Youssef El Fassi, Essaouira 44000",https://www.sgmaroc.com/,Simo Slayer,5,NAN,il y a 2 mois,0,https://www.google.com/maps/contrib/114986635580535913606/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Société Générale Essaouira Premium,05224-24242,"Angle Bd Okba Ibn Nafii et Rue Youssef El Fassi, Essaouira 44000",https://www.sgmaroc.com/,Ghizlane Bantour,5,NAN,il y a 11 mois,0,https://www.google.com/maps/contrib/100227915087050258400/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Société Générale Essaouira Premium,05224-24242,"Angle Bd Okba Ibn Nafii et Rue Youssef El Fassi, Essaouira 44000",https://www.sgmaroc.com/,Harods ben Larbi,5,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/113679899580830380718/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Société Générale Essaouira Premium,05224-24242,"Angle Bd Okba Ibn Nafii et Rue Youssef El Fassi, Essaouira 44000",https://www.sgmaroc.com/,Zakaria Diybi,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/113129890869112838814/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Société Générale Essaouira Premium,05224-24242,"Angle Bd Okba Ibn Nafii et Rue Youssef El Fassi, Essaouira 44000",https://www.sgmaroc.com/,William Philip Caraluzzi,4,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/112713597923512844007/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Société Générale Essaouira Premium,05224-24242,"Angle Bd Okba Ibn Nafii et Rue Youssef El Fassi, Essaouira 44000",https://www.sgmaroc.com/,Giovanni,1,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/105483920482859317369/reviews?hl=fr,"Bonjour,
Merci de prendre contact avec nous sur facebook pour nous donner plus de détails sur les raisons de votre insatisfaction : … Plus",il y a 4 ans
Morocco,Essaouira,Bank Of Africa (ex. BMCE),0673-688698,"G67H+4CG, Rue El Hajjali, Essaouira",Not available,TSSI AMAT-RH,2,"Incroyable! Entre autres mésaventures, le numéro de tel pour contacter cette agence est un 06 qui tombe sur une pauvre dame qu'on arrête pas de déranger. …",il y a un an,2,https://www.google.com/maps/contrib/107640181987081477888/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Bank Of Africa (ex. BMCE),0673-688698,"G67H+4CG, Rue El Hajjali, Essaouira",Not available,Pierre Jouanny,1,"Attention arnaque !!!
J’ai tenté d’effectuer un retrait dans cette banque, l’opération n’a pas aboutie (sans raison), aucun ticket reçu, et pourtant mon compte bancaire a été débité …",il y a un an,4,https://www.google.com/maps/contrib/102778991783170708229/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Bank Of Africa (ex. BMCE),0673-688698,"G67H+4CG, Rue El Hajjali, Essaouira",Not available,Adrien Romenstein,5,"Sûrement le meilleur taux de change affiché de la ville (septembre 2019).
Mais vous pourrez en obtenir de meilleurs en les négociant ailleurs.",il y a 4 ans,0,https://www.google.com/maps/contrib/105220856722150111943/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Bank Of Africa (ex. BMCE),0673-688698,"G67H+4CG, Rue El Hajjali, Essaouira",Not available,Alexandre Pierre CLÉMENT,1,2 agences difficilement trouvables dans toute la ville. Et quand vous en trouver une le guichet ne fonctionne pas.,il y a 6 ans,2,https://www.google.com/maps/contrib/107701980633291881155/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Bank Of Africa (ex. BMCE),0673-688698,"G67H+4CG, Rue El Hajjali, Essaouira",Not available,Floor Wolfhagen,1,"Le guichet automatique a débité mon compte, mais n’a débloqué aucune somme d’argent. Le personnel de la banque n'a pas été d'une grande aide et a déclaré que l'argent devrait être restitué bientôt, mais il n'a jamais été restitué. Service épouvantable !",il y a un an,1,https://www.google.com/maps/contrib/106286077798194273889/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Bank Of Africa (ex. BMCE),0673-688698,"G67H+4CG, Rue El Hajjali, Essaouira",Not available,Imy Douk,1,La pire banque avec laquelle vous pouvez traiter avec les pires agents et personnel 👎 Fatim Zahra nul service …,il y a un an,2,https://www.google.com/maps/contrib/100238734840420075584/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Bank Of Africa (ex. BMCE),0673-688698,"G67H+4CG, Rue El Hajjali, Essaouira",Not available,Imane,1,La pire banque avec laquelle vous puissiez traiter avec les pires agents et personnel 👎 …,il y a un an,3,https://www.google.com/maps/contrib/109687050151339598801/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Bank Of Africa (ex. BMCE),0673-688698,"G67H+4CG, Rue El Hajjali, Essaouira",Not available,Rob Robinson,4,Ouvrir un compte en tant que citoyen britannique à Essauiora n'a pas été difficile. Fatim était excellente et efficace,il y a 3 ans,0,https://www.google.com/maps/contrib/104777317559517880781/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Bank Of Africa (ex. BMCE),0673-688698,"G67H+4CG, Rue El Hajjali, Essaouira",Not available,Rainer Fickers,1,"Service zéro, communication zéro, incompétence partout",il y a un an,0,https://www.google.com/maps/contrib/114354835793409822312/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Bank Of Africa (ex. BMCE),0673-688698,"G67H+4CG, Rue El Hajjali, Essaouira",Not available,William Philip Caraluzzi,2,Temps d'attente très très long. Une seule personne par le caissier. Agent de sécurité sympathique.,il y a 4 ans,1,https://www.google.com/maps/contrib/112713597923512844007/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Bank Of Africa (ex. BMCE),0673-688698,"G67H+4CG, Rue El Hajjali, Essaouira",Not available,Iciar Zulueta Peciña,5,Le meilleur changement que nous ayons trouvé à Essaouira.,il y a 2 ans,2,https://www.google.com/maps/contrib/102665058785868706582/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Bank Of Africa (ex. BMCE),0673-688698,"G67H+4CG, Rue El Hajjali, Essaouira",Not available,Hamza,1,Ne fonctionne toujours pas,il y a 2 ans,1,https://www.google.com/maps/contrib/116624054157715208292/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Bank Of Africa (ex. BMCE),0673-688698,"G67H+4CG, Rue El Hajjali, Essaouira",Not available,Khadija Ezzagour,1,NAN,il y a un an,0,https://www.google.com/maps/contrib/107607067973142129356/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Bank Of Africa (ex. BMCE),0673-688698,"G67H+4CG, Rue El Hajjali, Essaouira",Not available,Hamid Hamidou,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/108343026937921026927/reviews?hl=fr,NAN,NAN
Morocco,Essaouira,Bank Of Africa (ex. BMCE),0673-688698,"G67H+4CG, Rue El Hajjali, Essaouira",Not available,Lolita Marjana,5,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/106241442357937999782/reviews?hl=fr,NAN,NAN
