Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Morocco,Guercif,Crédit du Maroc,05352-00731,Guercif 35100,Not available,Rachid Lazghan,2,Une banque comme les autres,il y a 6 ans,1,https://www.google.com/maps/contrib/101928258099124850299/reviews?hl=fr,NAN,NAN
Morocco,Guercif,Crédit du Maroc,05352-00731,Guercif 35100,Not available,The brotherwood,1,NAN,il y a un an,0,https://www.google.com/maps/contrib/117427554345653324276/reviews?hl=fr,NAN,NAN
Morocco,Guercif,Crédit du Maroc,05352-00731,Guercif 35100,Not available,rachid abdallaoui,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/110701389772308694559/reviews?hl=fr,NAN,NAN
Morocco,Guercif,Crédit du Maroc,05352-00731,Guercif 35100,Not available,Mohamaed Warda,1,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/109291714547778069218/reviews?hl=fr,NAN,NAN
Morocco,Guercif,Crédit du Maroc,05352-00731,Guercif 35100,Not available,Youssra farollete,1,NAN,il y a 8 ans,0,https://www.google.com/maps/contrib/104641369999876627221/reviews?hl=fr,NAN,NAN
Morocco,Guercif,Société Générale Guercif,05224-24242,"IMMEUBLE BEN TALEB, Bd Mohammed 5, Guercif 35100",https://www.sgmaroc.com/,Rachid Lazghan,2,Une banque bien organisé se trouve au centre de la ville,il y a 6 ans,0,https://www.google.com/maps/contrib/101928258099124850299/reviews?hl=fr,NAN,NAN
Morocco,Guercif,Société Générale Guercif,05224-24242,"IMMEUBLE BEN TALEB, Bd Mohammed 5, Guercif 35100",https://www.sgmaroc.com/,simo anouka,1,Mauvaise expérience,il y a 7 mois,0,https://www.google.com/maps/contrib/116771751252789136010/reviews?hl=fr,NAN,NAN
Morocco,Guercif,Société Générale Guercif,05224-24242,"IMMEUBLE BEN TALEB, Bd Mohammed 5, Guercif 35100",https://www.sgmaroc.com/,Mohamed Rachdi,1,Entreprise d'acide,il y a 8 mois,0,https://www.google.com/maps/contrib/107923633485227962378/reviews?hl=fr,NAN,NAN
Morocco,Guercif,Société Générale Guercif,05224-24242,"IMMEUBLE BEN TALEB, Bd Mohammed 5, Guercif 35100",https://www.sgmaroc.com/,Redone ridouan,3,d'accord,il y a 3 ans,0,https://www.google.com/maps/contrib/106863645255626315512/reviews?hl=fr,NAN,NAN
Morocco,Guercif,Société Générale Guercif,05224-24242,"IMMEUBLE BEN TALEB, Bd Mohammed 5, Guercif 35100",https://www.sgmaroc.com/,Driss LABYAD,5,La société publique,il y a 4 ans,3,https://www.google.com/maps/contrib/112877537594453260794/reviews?hl=fr,NAN,NAN
Morocco,Guercif,Société Générale Guercif,05224-24242,"IMMEUBLE BEN TALEB, Bd Mohammed 5, Guercif 35100",https://www.sgmaroc.com/,zaki cityzen,5,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/117536845039968661523/reviews?hl=fr,NAN,NAN
Morocco,Guercif,Société Générale Guercif,05224-24242,"IMMEUBLE BEN TALEB, Bd Mohammed 5, Guercif 35100",https://www.sgmaroc.com/,Lbaghdadi Hassan,1,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/110558950556119779533/reviews?hl=fr,NAN,NAN
