Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,Samuel Ssekizinvu,5,"La succursale Jinja de Centenary Bank est un endroit idéal pour effectuer vos opérations bancaires. Le personnel est sympathique et compétent, et il est toujours prêt à vous aider. Le hall bancaire est propre et bien organisé, et le …",il y a un an,2,https://www.google.com/maps/contrib/100969707168782831271/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,tom ayaa,2,"Il y a trop d'attente, les caissiers ne sont pas très sympathiques",il y a 4 mois,1,https://www.google.com/maps/contrib/113993192294199232202/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,Iculet Alice,1,"C'est le plus lent, le service client est épouvantable, je pense que je perds presque la tête. C'est pire avec les problèmes de réseau et dans la plupart des cas, ils n'ont toujours plus d'argent. Et la pire expérience, c'est de perdre mon …",il y a un an,0,https://www.google.com/maps/contrib/107189798747389500708/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,Nuwahereza Eunice,1,Les distributeurs automatiques sont si lents et la file d'attente est toujours trop longue,il y a 3 mois,0,https://www.google.com/maps/contrib/115394529764502136250/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,rose nangobi,5,"Centenary Bank est la seule banque avec peu de frais, mais ses services sont vraiment excellents. J'aime vraiment le soin supplémentaire et la manière unique dont ils font les choses, ils sont vraiment organisés et s'assurent toujours que …",il y a 5 ans,1,https://www.google.com/maps/contrib/110354476122902206169/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,mrk repairs,5,Je n'ai jamais vu un bon service dans un endroit comme la succursale de Jinja de la Centenary Bank. Que Dieu vous bénisse,il y a un an,0,https://www.google.com/maps/contrib/103789220684618412426/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,GEKLINE Xander Haniez,5,"La banque Centenary est située sur Nizam Rd en face du Uganda Telcom Center.
Il a un intérieur organisé avec des travailleurs sympathiques qui apprécient les clients ""un si bon service client"" qu'une sécurité est assurée à la banque …",il y a 2 ans,3,https://www.google.com/maps/contrib/116081752947664832170/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,Boat ride Uganda and safaris Ltd,4,Bon service mais les jetons sont rouges lents... lents. vous pourriez donc prendre 30 minutes d'attente pour appeler.,il y a 9 mois,1,https://www.google.com/maps/contrib/114026876461519826229/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,Safety and energy services limited,4,"Bon avec un personnel poli mais aucun organisme pour guider les gens sur ce qu'il faut faire, en utilisant une machine en libre-service",il y a un an,0,https://www.google.com/maps/contrib/100744842910050357664/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,Benard Otieno,4,"Le personnel est sympathique même si l'endroit est toujours rempli de clients. Les guichets automatiques doivent être mis à niveau, ils sont trop lents.",il y a un an,0,https://www.google.com/maps/contrib/102431928564651857924/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,Buule Henry (Bhens),1,Aucun service client du tout... Une dame qui travaille chez Western Union Services me fait attendre plus de 30 minutes et me fait recevoir deux fois un jeton. J'ai passé plus d'une heure à la banque,il y a 3 ans,2,https://www.google.com/maps/contrib/111362166298223752866/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,ngabiroch verowinnie,3,Bon service,il y a 4 jours,0,https://www.google.com/maps/contrib/101843323153820401448/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,Rahxssein K,1,Mauvais service client de la part des agents de sécurité et des agents à côté de la porte,il y a un an,0,https://www.google.com/maps/contrib/102747482404688577792/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,Bewayo Emmanuel,4,Le service était correct mais le retard et la pénurie de cartes Visa,il y a un an,1,https://www.google.com/maps/contrib/100834279921954711651/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,Amaniyo Michael,2,L'emplacement est bon sauf que l'allée est en mauvais état.,il y a un an,0,https://www.google.com/maps/contrib/107470892574640166741/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,KIMZ Foundation,4,C'est un lieu chaleureux et réceptif,il y a un an,0,https://www.google.com/maps/contrib/111823236373393844519/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,Latiisa Ronald,3,Ils ont toujours un caissier qui sauve quarante clients,il y a 3 ans,0,https://www.google.com/maps/contrib/105166390767142619488/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,Waiswa Nelson,5,Suit la commande,il y a 2 mois,0,https://www.google.com/maps/contrib/103559478762841631589/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,george okello,5,Meilleure banque autochtone avec un excellent service client,il y a 3 ans,1,https://www.google.com/maps/contrib/118124820361829764578/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,Mangheni Emerald Joel,3,Bon emplacement et bonne conduite du caissier,il y a 6 ans,1,https://www.google.com/maps/contrib/105227703545209294891/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,Bamwine Rhidah,4,Un endroit très fréquenté aux heures de pointe,il y a un an,1,https://www.google.com/maps/contrib/105300511801621916388/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,Bwanika Nasser,5,je peux,il y a 2 ans,1,https://www.google.com/maps/contrib/100132993792264877972/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,Musitwa Martin,4,Super,il y a 11 mois,0,https://www.google.com/maps/contrib/107349869437377518014/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,Michael Ariko,4,C'est bien conservé.,il y a 2 ans,0,https://www.google.com/maps/contrib/109515910302062950750/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,Samson Buwembo,4,C'est une banque pour tout le monde,il y a 6 ans,1,https://www.google.com/maps/contrib/114765911515052003551/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,Gibs Lulu,2,Équitable,il y a un an,0,https://www.google.com/maps/contrib/109053916911190714538/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,William Tolbert Kabbale,4,NAN,il y a 2 semaines,0,https://www.google.com/maps/contrib/102407232829818541760/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,Isaac Wiks,3,NAN,il y a un an,0,https://www.google.com/maps/contrib/111268234387065838570/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,Kayongo Vianne,5,NAN,il y a un an,0,https://www.google.com/maps/contrib/106056093380987290767/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,Mohammed Kateregga,3,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/108209069857615108846/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,KING POWERZ,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/109668118215747894796/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Centenary Bank | Jinja Branch,Not available,"C6M6+563, Nizam Rd, Jinja, Ouganda",Not available,ojambomoses Rockens,1,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/117844198419208987971/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Bank Of Africa | Jinja Branch,Not available,"1 Main St, Jinja, Ouganda",Not available,Jane,1,"Les caissiers sont très impolis, pas de service client, les tarifs sont horribles. Il vaut mieux aller dans une autre banque et il y en a beaucoup d'autres sur la rue principale.",il y a 3 mois,0,https://www.google.com/maps/contrib/106133291538806356305/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Bank Of Africa | Jinja Branch,Not available,"1 Main St, Jinja, Ouganda",Not available,OKUMU AMOS,1,"Le caissier a été très impoli avec moi et ils ne m'ont même pas permis d'utiliser mes empreintes digitales pour confirmer la propriété du compte, c'était tellement décevant",il y a 2 mois,0,https://www.google.com/maps/contrib/103147771373945747979/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Bank Of Africa | Jinja Branch,Not available,"1 Main St, Jinja, Ouganda",Not available,rose nangobi,5,"Bank of Africa est également l'une des banques avec peu de frais, mais ses services sont vraiment excellents. J'aime vraiment le soin supplémentaire et la façon unique dont ils font les choses, ils sont vraiment organisés et s'assurent …",il y a 5 ans,1,https://www.google.com/maps/contrib/110354476122902206169/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Bank Of Africa | Jinja Branch,Not available,"1 Main St, Jinja, Ouganda",Not available,Patrick Le Floch,5,Distributeur automatique sur place.,il y a 8 ans,1,https://www.google.com/maps/contrib/113545733384932195093/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Bank Of Africa | Jinja Branch,Not available,"1 Main St, Jinja, Ouganda",Not available,Feisal Wazir,5,Une banque avec une différence,il y a 7 ans,0,https://www.google.com/maps/contrib/106566699673992555815/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Bank Of Africa | Jinja Branch,Not available,"1 Main St, Jinja, Ouganda",Not available,Esau Musimba Nelson,5,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/103546034613125218076/reviews?hl=fr,NAN,NAN
Uganda,Jinja,KCB BANK | Jinja Branch,+256 43 4120281,"45 Main St, Jinja, Ouganda",Not available,Marcus,5,Banque bien accompagnée. J'ai rencontré certains des pilotes et navigateurs de rallye sponsorisés,il y a un an,0,https://www.google.com/maps/contrib/109163987007363984556/reviews?hl=fr,NAN,NAN
Uganda,Jinja,KCB BANK | Jinja Branch,+256 43 4120281,"45 Main St, Jinja, Ouganda",Not available,SSEGUJJA ABUBAKAR,3,"Ce n'est pas grave, mais le guichet automatique se bloque parfois, comme s'il apportait un message désolé en cours de maintenance.",il y a 2 ans,0,https://www.google.com/maps/contrib/116449715531857567893/reviews?hl=fr,NAN,NAN
Uganda,Jinja,KCB BANK | Jinja Branch,+256 43 4120281,"45 Main St, Jinja, Ouganda",Not available,Matende Henry,4,Bon service client,il y a 3 ans,4,https://www.google.com/maps/contrib/102363536171060170573/reviews?hl=fr,NAN,NAN
Uganda,Jinja,KCB BANK | Jinja Branch,+256 43 4120281,"45 Main St, Jinja, Ouganda",Not available,Qutaiba Tariq,4,NAN,il y a 10 mois,0,https://www.google.com/maps/contrib/101688208109374775932/reviews?hl=fr,NAN,NAN
Uganda,Jinja,KCB BANK | Jinja Branch,+256 43 4120281,"45 Main St, Jinja, Ouganda",Not available,namusuka charles,5,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/107978714616218186889/reviews?hl=fr,NAN,NAN
Uganda,Jinja,DTB | Jinja Branch,+256 43 4121627,"32 Main St, Jinja, Ouganda",Not available,Jeremy Whipp,4,"Pour les clients britanniques, DTB est la meilleure banque pour les retraits aux distributeurs automatiques car elle ne facture aucun frais et ses tarifs sont les meilleurs. Leurs guichets automatiques sont cependant un peu capricieux et …",il y a 2 ans,1,https://www.google.com/maps/contrib/106098935530539595652/reviews?hl=fr,NAN,NAN
Uganda,Jinja,DTB | Jinja Branch,+256 43 4121627,"32 Main St, Jinja, Ouganda",Not available,Salongo Malijani,3,Services lents. Les gens font la queue plus longtemps. J'adore les locaux et l'ambiance.,il y a 10 mois,0,https://www.google.com/maps/contrib/105767952812811660774/reviews?hl=fr,NAN,NAN
Uganda,Jinja,DTB | Jinja Branch,+256 43 4121627,"32 Main St, Jinja, Ouganda",Not available,Nomadic Backpacker,5,Retraits gratuits aux distributeurs automatiques.   Visa et Mastercard.,il y a un an,1,https://www.google.com/maps/contrib/110869128663133280113/reviews?hl=fr,NAN,NAN
Uganda,Jinja,DTB | Jinja Branch,+256 43 4121627,"32 Main St, Jinja, Ouganda",Not available,LUKENGE DANIEL,4,Employés très sympathiques et serviables,il y a 9 mois,0,https://www.google.com/maps/contrib/115786797856081750224/reviews?hl=fr,NAN,NAN
Uganda,Jinja,DTB | Jinja Branch,+256 43 4121627,"32 Main St, Jinja, Ouganda",Not available,Ivan Luyimbazi,3,"Excellent service ici, les gens ici aiment ce qu'ils font",il y a 8 ans,1,https://www.google.com/maps/contrib/111225441441209438694/reviews?hl=fr,NAN,NAN
Uganda,Jinja,DTB | Jinja Branch,+256 43 4121627,"32 Main St, Jinja, Ouganda",Not available,abdul jaffer,3,"Fonctionne normalement, pas de grandes files d'attente",il y a 2 ans,0,https://www.google.com/maps/contrib/115827176233585567114/reviews?hl=fr,NAN,NAN
Uganda,Jinja,DTB | Jinja Branch,+256 43 4121627,"32 Main St, Jinja, Ouganda",Not available,rose nangobi,5,Service rapide et bon service client,il y a 5 ans,1,https://www.google.com/maps/contrib/110354476122902206169/reviews?hl=fr,NAN,NAN
Uganda,Jinja,DTB | Jinja Branch,+256 43 4121627,"32 Main St, Jinja, Ouganda",Not available,Robb Pierce,1,"Chaque fois que je visite ici, le guichet automatique est en panne",il y a 5 ans,0,https://www.google.com/maps/contrib/113370102513928775248/reviews?hl=fr,NAN,NAN
Uganda,Jinja,DTB | Jinja Branch,+256 43 4121627,"32 Main St, Jinja, Ouganda",Not available,WAKUNGU DENIS,5,Bien,il y a 2 ans,0,https://www.google.com/maps/contrib/109513209090198074896/reviews?hl=fr,NAN,NAN
Uganda,Jinja,DTB | Jinja Branch,+256 43 4121627,"32 Main St, Jinja, Ouganda",Not available,Balasubramani,5,NAN,il y a 11 mois,0,https://www.google.com/maps/contrib/111431400224320911990/reviews?hl=fr,NAN,NAN
Uganda,Jinja,DTB | Jinja Branch,+256 43 4121627,"32 Main St, Jinja, Ouganda",Not available,Muwabe Shafic,5,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/112944723430989820627/reviews?hl=fr,NAN,NAN
Uganda,Jinja,DTB | Jinja Branch,+256 43 4121627,"32 Main St, Jinja, Ouganda",Not available,Samuel Ssekizinvu,5,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/100969707168782831271/reviews?hl=fr,NAN,NAN
Uganda,Jinja,DTB | Jinja Branch,+256 43 4121627,"32 Main St, Jinja, Ouganda",Not available,Sojan Km,1,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/115164677172864547163/reviews?hl=fr,NAN,NAN
Uganda,Jinja,DTB | Jinja Branch,+256 43 4121627,"32 Main St, Jinja, Ouganda",Not available,cathie kibs,5,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/100142949345781084457/reviews?hl=fr,NAN,NAN
Uganda,Jinja,DTB | Jinja Branch,+256 43 4121627,"32 Main St, Jinja, Ouganda",Not available,Nampa Patience,3,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/101941859627895425208/reviews?hl=fr,NAN,NAN
Uganda,Jinja,DTB | Jinja Branch,+256 43 4121627,"32 Main St, Jinja, Ouganda",Not available,Recheal Nankunda,5,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/109627441535385264284/reviews?hl=fr,NAN,NAN
Uganda,Jinja,DTB | Jinja Branch,+256 43 4121627,"32 Main St, Jinja, Ouganda",Not available,Nantabi Harriet,4,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/113064719618590165681/reviews?hl=fr,NAN,NAN
Uganda,Jinja,DTB | Jinja Branch,+256 43 4121627,"32 Main St, Jinja, Ouganda",Not available,Arun Madathil,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/115517901180843244469/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Tropical Bank | Jinja,+256 43 4120269,"17 Main St, Jinja, Ouganda",Not available,Matende Henry,4,"La banque est généralement bonne et rapide à mettre en service, l'endroit est stratégiquement situé dans le centre-ville et bien planifié même s'il est ancien. …",il y a 3 ans,3,https://www.google.com/maps/contrib/102363536171060170573/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Tropical Bank | Jinja,+256 43 4120269,"17 Main St, Jinja, Ouganda",Not available,SSALONGO RJ SSALI,5,Rue principale de la banque tropicale,il y a 4 ans,0,https://www.google.com/maps/contrib/101641935118458195529/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Tropical Bank | Jinja,+256 43 4120269,"17 Main St, Jinja, Ouganda",Not available,Gonahassa Leonard,4,Avoir un bon service client,il y a 10 mois,0,https://www.google.com/maps/contrib/115730395714840255396/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Tropical Bank | Jinja,+256 43 4120269,"17 Main St, Jinja, Ouganda",Not available,Kingston graham,2,Accueil et bon service client,il y a 10 mois,0,https://www.google.com/maps/contrib/116480901677869600153/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Tropical Bank | Jinja,+256 43 4120269,"17 Main St, Jinja, Ouganda",Not available,Ivan Waraba,5,Grande institution financière,il y a 7 mois,0,https://www.google.com/maps/contrib/114528599204324722892/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Tropical Bank | Jinja,+256 43 4120269,"17 Main St, Jinja, Ouganda",Not available,Waiswa Moses Lubogo,5,Tellement déterminé à servir.,il y a un an,0,https://www.google.com/maps/contrib/110508137253308753204/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Tropical Bank | Jinja,+256 43 4120269,"17 Main St, Jinja, Ouganda",Not available,rose nangobi,5,Bon service client,il y a 5 ans,1,https://www.google.com/maps/contrib/110354476122902206169/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Tropical Bank | Jinja,+256 43 4120269,"17 Main St, Jinja, Ouganda",Not available,Moses Adams,3,A rénover,il y a 8 ans,1,https://www.google.com/maps/contrib/108150844870949669311/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Tropical Bank | Jinja,+256 43 4120269,"17 Main St, Jinja, Ouganda",Not available,David Mugabi,5,NAN,il y a 8 ans,0,https://www.google.com/maps/contrib/101062223862556956496/reviews?hl=fr,NAN,NAN
Uganda,Jinja,Stanbic Bank | Jinja Branch,+256 800 250250,"Plot 2A Martin Rd, Jinja, Ouganda",https://www.stanbicbank.co.ug/,Angella Kanyana,5,Le personnel était très serviable.,il y a 5 mois,0,https://www.google.com/maps/contrib/106321514899114984142/reviews?hl=fr,NAN,NAN
