Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Uganda,Kampala,Centenary Bank | Kabalagala Branch,Not available,"149 Ggaba Road, Kampala, Ouganda",Not available,Mrs K,1,"Première fois dans cette succursale. Juste de l'extérieur, tout l'endroit sent l'urine (probablement des toilettes sales à proximité), il n'y a pas assez de climatisation à l'intérieur de la succursale, c'est trop étouffant. Les questions …",il y a 9 mois,0,https://www.google.com/maps/contrib/101739316208478609887/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Centenary Bank | Kabalagala Branch,Not available,"149 Ggaba Road, Kampala, Ouganda",Not available,TALEMWA MOSES,5,"Questions longues mais organisées avec un environnement très hospitalier
Même si la queue est longue, tout le monde est servi de la même manière
Il vous suffit d'être patient.",il y a 10 mois,1,https://www.google.com/maps/contrib/109517105859197122682/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Centenary Bank | Kabalagala Branch,Not available,"149 Ggaba Road, Kampala, Ouganda",Not available,Joshua Eyaru,5,Cette succursale est toujours bondée mais les caissiers sont toujours les premiers et précis dans leur service,il y a 7 ans,0,https://www.google.com/maps/contrib/100996606089034065747/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Centenary Bank | Kabalagala Branch,Not available,"149 Ggaba Road, Kampala, Ouganda",Not available,Oyo Rabwoni,3,"Il manque encore, notamment au niveau du service client numérique de la banque en général, mais il y a encore place à l'amélioration. Merci quand même",il y a 4 ans,1,https://www.google.com/maps/contrib/105339024968004512814/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Centenary Bank | Kabalagala Branch,Not available,"149 Ggaba Road, Kampala, Ouganda",Not available,Brightrix Bright,5,J'aime juste les services rendus aux clients (customer care),il y a 2 ans,1,https://www.google.com/maps/contrib/101239276667125164552/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Centenary Bank | Kabalagala Branch,Not available,"149 Ggaba Road, Kampala, Ouganda",Not available,Yosief Tesfu,3,"Le temps d'attente est tout simplement trop long, surtout pour payer les frais de scolarité la dernière semaine avant l'école.",il y a 6 ans,1,https://www.google.com/maps/contrib/110778831957243704973/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Centenary Bank | Kabalagala Branch,Not available,"149 Ggaba Road, Kampala, Ouganda",Not available,Patrick Mbusa Kabagambe (Patt),5,Cette succursale n'est plus Centenary Bank. C'est en fait la banque UBA en ce moment.,il y a 3 ans,1,https://www.google.com/maps/contrib/117775352150827193595/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Centenary Bank | Kabalagala Branch,Not available,"149 Ggaba Road, Kampala, Ouganda",Not available,Jonas Kibet,5,Bon service client et bon parking,il y a 7 ans,0,https://www.google.com/maps/contrib/117965280010915858427/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Centenary Bank | Kabalagala Branch,Not available,"149 Ggaba Road, Kampala, Ouganda",Not available,Innocent,3,Mais il y a tellement d'attente,il y a 7 ans,0,https://www.google.com/maps/contrib/109351385068289838360/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Centenary Bank | Kabalagala Branch,Not available,"149 Ggaba Road, Kampala, Ouganda",Not available,Hamba Emmanuel,5,Bonne observation des SOPS,il y a 2 ans,0,https://www.google.com/maps/contrib/105111824137971469596/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Centenary Bank | Kabalagala Branch,Not available,"149 Ggaba Road, Kampala, Ouganda",Not available,kikanya vincent,5,Je suis en train de vous rejoindre !,il y a 6 ans,0,https://www.google.com/maps/contrib/116651357023640355179/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Centenary Bank | Kabalagala Branch,Not available,"149 Ggaba Road, Kampala, Ouganda",Not available,Mukhtar Adamas,5,Parfait,il y a un an,0,https://www.google.com/maps/contrib/117160682021544302878/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Centenary Bank | Kabalagala Branch,Not available,"149 Ggaba Road, Kampala, Ouganda",Not available,Assumpta Nalubega,4,Bon service client,il y a 7 ans,0,https://www.google.com/maps/contrib/103403024337249713041/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Centenary Bank | Kabalagala Branch,Not available,"149 Ggaba Road, Kampala, Ouganda",Not available,Nabakka Angellah,5,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/100357634232935242711/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Centenary Bank | Kabalagala Branch,Not available,"149 Ggaba Road, Kampala, Ouganda",Not available,Christopher Ssebbaale,1,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/107734621376183220370/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Bank Of Baroda (U) Ltd - Head Office,+256 41 4233680,"7197, P.O. Box, Plot 18 Kampala Road, Kampala, Ouganda",http://www.bankofbaroda.ug/,Mark Trick,1,"J'ai passé près de deux heures à faire la queue, peu de caissiers et très lent, aucun service client. J'espère ne plus faire de banque avec eux.",il y a 5 ans,0,https://www.google.com/maps/contrib/111642725238079711414/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Bank Of Baroda (U) Ltd - Head Office,+256 41 4233680,"7197, P.O. Box, Plot 18 Kampala Road, Kampala, Ouganda",http://www.bankofbaroda.ug/,Allan Sseruuma,3,"Je ne peux pas dire que je n'ai pas aimé ça parce que j'ai compris ce qui m'a amené là-bas, mais ces dames doivent chérir la façon dont elles parlent aux clients ! 😕😕😕😕😏 …",il y a un an,0,https://www.google.com/maps/contrib/104593710051596144510/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Bank Of Baroda (U) Ltd - Head Office,+256 41 4233680,"7197, P.O. Box, Plot 18 Kampala Road, Kampala, Ouganda",http://www.bankofbaroda.ug/,Owampaire Gloria,1,"J'ai eu un problème, j'ai visité leur succursale à Mbarara, j'ai soumis mes documents et ils m'ont conseillé de trouver les papiers dans la succursale de Kampala où ils devaient les transmettre pour finaliser ma transaction. Il leur a fallu …",il y a 2 ans,0,https://www.google.com/maps/contrib/101196498670121236779/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Bank Of Baroda (U) Ltd - Head Office,+256 41 4233680,"7197, P.O. Box, Plot 18 Kampala Road, Kampala, Ouganda",http://www.bankofbaroda.ug/,Kedi Gilbert,3,"Pas très occupé si vous ne voulez pas faire la queue principalement pour payer des impôts, entrez à Baroda",il y a un an,0,https://www.google.com/maps/contrib/111816140410834980555/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Bank Of Baroda (U) Ltd - Head Office,+256 41 4233680,"7197, P.O. Box, Plot 18 Kampala Road, Kampala, Ouganda",http://www.bankofbaroda.ug/,Abid Alam,5,"Une banque très bien gérée et exploitée, un personnel très poli, courtois et compétent. Un super Babk",il y a un an,0,https://www.google.com/maps/contrib/114613969744440500980/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Bank Of Baroda (U) Ltd - Head Office,+256 41 4233680,"7197, P.O. Box, Plot 18 Kampala Road, Kampala, Ouganda",http://www.bankofbaroda.ug/,James S K Makumbi,4,"Il s'agit de la succursale principale, du siège social et des résidences officielles du personnel de la Bank of Baroda Uganda. Deux étages de bureaux avec la tour constituant des résidences de direction. Un fait peu connu est qu'il y a deux …",il y a 8 ans,1,https://www.google.com/maps/contrib/117233760343499658140/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Bank Of Baroda (U) Ltd - Head Office,+256 41 4233680,"7197, P.O. Box, Plot 18 Kampala Road, Kampala, Ouganda",http://www.bankofbaroda.ug/,Bunjo Stephen Hugh,1,"J'ai utilisé leur guichet automatique et il a fallu ma carte et l'argent. Quand je me suis plaint, on m'a donné la carte et le gars m'a dit d'attendre 90 jours pour recevoir l'argent. Il est maintenant plus de 90 et toujours aucune réponse.",il y a 3 ans,0,https://www.google.com/maps/contrib/110592406250379566979/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Bank Of Baroda (U) Ltd - Head Office,+256 41 4233680,"7197, P.O. Box, Plot 18 Kampala Road, Kampala, Ouganda",http://www.bankofbaroda.ug/,John Max,4,Absolument génial.. Très bon service client,il y a un an,1,https://www.google.com/maps/contrib/116825946293727893995/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Bank Of Baroda (U) Ltd - Head Office,+256 41 4233680,"7197, P.O. Box, Plot 18 Kampala Road, Kampala, Ouganda",http://www.bankofbaroda.ug/,Kato jim,3,C'est une belle place bancaire,il y a 4 ans,0,https://www.google.com/maps/contrib/114237601559592803187/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Bank Of Baroda (U) Ltd - Head Office,+256 41 4233680,"7197, P.O. Box, Plot 18 Kampala Road, Kampala, Ouganda",http://www.bankofbaroda.ug/,Pauline Kahuubire,3,"Très peu de guichetiers, on passe presque une heure dans la file d'attente, sauf si c'est un week-end.",il y a 5 ans,0,https://www.google.com/maps/contrib/106319764314569411911/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Bank Of Baroda (U) Ltd - Head Office,+256 41 4233680,"7197, P.O. Box, Plot 18 Kampala Road, Kampala, Ouganda",http://www.bankofbaroda.ug/,umar gafa,2,"La Banque de Baroda offre tous les services, un bon service",il y a un an,0,https://www.google.com/maps/contrib/105732788980456368519/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Bank Of Baroda (U) Ltd - Head Office,+256 41 4233680,"7197, P.O. Box, Plot 18 Kampala Road, Kampala, Ouganda",http://www.bankofbaroda.ug/,kemi Ruth,4,Des services sympas avec cool.people,il y a 7 ans,0,https://www.google.com/maps/contrib/114180466995719841911/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Bank Of Baroda (U) Ltd - Head Office,+256 41 4233680,"7197, P.O. Box, Plot 18 Kampala Road, Kampala, Ouganda",http://www.bankofbaroda.ug/,Sulaiman Kaboggoza,4,Ces gars-là ont le meilleur service client du secteur bancaire.,il y a 8 ans,1,https://www.google.com/maps/contrib/116674314657846351199/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Bank Of Baroda (U) Ltd - Head Office,+256 41 4233680,"7197, P.O. Box, Plot 18 Kampala Road, Kampala, Ouganda",http://www.bankofbaroda.ug/,keuber dentony,2,"J'ai passé presque deux heures à faire la queue, quelques caisses, c'est juste ennuyeux",il y a 5 ans,0,https://www.google.com/maps/contrib/118272724144112412379/reviews?hl=fr,NAN,NAN
Uganda,Kampala,Bank Of Baroda (U) Ltd - Head Office,+256 41 4233680,"7197, P.O. Box, Plot 18 Kampala Road, Kampala, Ouganda",http://www.bankofbaroda.ug/,Sachin Pawar,3,Le service client n'est pas à la hauteur.,il y a un an,0,https://www.google.com/maps/contrib/103540178566458170468/reviews?hl=fr,NAN,NAN
