Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Uganda,Kasese,Centenary Bank | Kasese Branch,Not available,"53GG+J8J, Portal Rd, Kasese, Ouganda",Not available,nakaana benon,5,"L'environnement est tellement charmant..
Les travailleurs sur place sont très accueillants.
L'institution financière comme Centenary prend en compte toute l'éthique de travail",il y a 10 mois,0,https://www.google.com/maps/contrib/116886964993416684818/reviews?hl=fr,NAN,NAN
Uganda,Kasese,Centenary Bank | Kasese Branch,Not available,"53GG+J8J, Portal Rd, Kasese, Ouganda",Not available,Samuel A Harley,5,"La nouvelle banque centaire kasesse Agence principale maintenant
Centenary Bank Ltd. Succursale de Kasese. Terrain 13/14, rue Portal.",il y a un an,0,https://www.google.com/maps/contrib/107743383023257119884/reviews?hl=fr,NAN,NAN
Uganda,Kasese,Centenary Bank | Kasese Branch,Not available,"53GG+J8J, Portal Rd, Kasese, Ouganda",Not available,Babughirana Augustine,4,Les caissiers ne sont pas toujours à leur stand,il y a 4 mois,0,https://www.google.com/maps/contrib/103949392531801242430/reviews?hl=fr,NAN,NAN
Uganda,Kasese,Centenary Bank | Kasese Branch,Not available,"53GG+J8J, Portal Rd, Kasese, Ouganda",Not available,SAMSON BYAKATONDA,4,"C'est un endroit où obtenir vos services financiers, avec un bon service client",il y a 3 ans,0,https://www.google.com/maps/contrib/115484217015790383293/reviews?hl=fr,NAN,NAN
Uganda,Kasese,Centenary Bank | Kasese Branch,Not available,"53GG+J8J, Portal Rd, Kasese, Ouganda",Not available,Muhindo Samuel,4,C'est une banque bonne et fiable,il y a 9 mois,0,https://www.google.com/maps/contrib/102887847068233729450/reviews?hl=fr,NAN,NAN
Uganda,Kasese,Centenary Bank | Kasese Branch,Not available,"53GG+J8J, Portal Rd, Kasese, Ouganda",Not available,Matson Black,4,Bon accueil et services.,il y a 2 ans,0,https://www.google.com/maps/contrib/113473641135520446526/reviews?hl=fr,NAN,NAN
Uganda,Kasese,Centenary Bank | Kasese Branch,Not available,"53GG+J8J, Portal Rd, Kasese, Ouganda",Not available,asa graham,5,Bien,il y a un an,0,https://www.google.com/maps/contrib/110426858695389550599/reviews?hl=fr,NAN,NAN
Uganda,Kasese,Centenary Bank | Kasese Branch,Not available,"53GG+J8J, Portal Rd, Kasese, Ouganda",Not available,Raymond Ekwamu,4,Banque centenaire Kasese,il y a 3 ans,0,https://www.google.com/maps/contrib/107360389665086454293/reviews?hl=fr,NAN,NAN
Uganda,Kasese,Centenary Bank | Kasese Branch,Not available,"53GG+J8J, Portal Rd, Kasese, Ouganda",Not available,TUMUBWEINE MEDARD,5,NAN,il y a un an,0,https://www.google.com/maps/contrib/105777897528500577639/reviews?hl=fr,NAN,NAN
Uganda,Kasese,Centenary Bank | Kasese Branch,Not available,"53GG+J8J, Portal Rd, Kasese, Ouganda",Not available,champ Derric1,4,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/114263071596586269269/reviews?hl=fr,NAN,NAN
Uganda,Kasese,Centenary Bank | Kasese Branch,Not available,"53GG+J8J, Portal Rd, Kasese, Ouganda",Not available,bogere serugi,1,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/105306862569800037150/reviews?hl=fr,NAN,NAN
Uganda,Kasese,PostBank | Kasese Branch,Not available,"53GJ+R3V, Kasese, Ouganda",Not available,KITHWA FINANCIAL SERVICES CO LTD,1,"La succursale de la banque postale de Kasese a de faux agents de prêts, Ntambiye Sheeba et un ami, qui demandent des frais de terrain illégaux (100 000) pour chaque visite visant à accéder au client du prêt et à défaut de paiement, le …",il y a 9 mois,0,https://www.google.com/maps/contrib/105614484241980669845/reviews?hl=fr,NAN,NAN
Uganda,Kasese,PostBank | Kasese Branch,Not available,"53GJ+R3V, Kasese, Ouganda",Not available,Kelly Lawrence,3,Services bancaires,il y a 2 ans,0,https://www.google.com/maps/contrib/106703468956893446931/reviews?hl=fr,NAN,NAN
Uganda,Kasese,PostBank | Kasese Branch,Not available,"53GJ+R3V, Kasese, Ouganda",Not available,Mase Ibrahim,4,NAN,il y a un an,0,https://www.google.com/maps/contrib/116331150708663176372/reviews?hl=fr,NAN,NAN
Uganda,Kasese,PostBank | Kasese Branch,Not available,"53GJ+R3V, Kasese, Ouganda",Not available,Assumpta Nalubega,3,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/103403024337249713041/reviews?hl=fr,NAN,NAN
Uganda,Kasese,Stanbic Bank | Kasese Branch,Not available,"Saad, Stanley St, Kasese, Ouganda",Not available,ECAKARA JAMES,5,Prestation de service rapide en matière de service client,il y a un mois,0,https://www.google.com/maps/contrib/107343993286640589117/reviews?hl=fr,NAN,NAN
Uganda,Kasese,Stanbic Bank | Kasese Branch,Not available,"Saad, Stanley St, Kasese, Ouganda",Not available,Bujuku Eco Tours & Travel Ltd,4,Bon service et guichet automatique,il y a un an,0,https://www.google.com/maps/contrib/106328265281772422010/reviews?hl=fr,NAN,NAN
Uganda,Kasese,Stanbic Bank | Kasese Branch,Not available,"Saad, Stanley St, Kasese, Ouganda",Not available,Fauza Kelvis,5,Belle institution financière,il y a un an,0,https://www.google.com/maps/contrib/105418934931317838545/reviews?hl=fr,NAN,NAN
Uganda,Kasese,Stanbic Bank | Kasese Branch,Not available,"Saad, Stanley St, Kasese, Ouganda",Not available,Tom Baluku,4,Cool,il y a 3 ans,0,https://www.google.com/maps/contrib/108674781117558468972/reviews?hl=fr,NAN,NAN
Uganda,Kasese,Stanbic Bank | Kasese Branch,+256 800 250250,"Plot 27, 31 Stanley St, Kasese, Ouganda",https://www.stanbicbank.co.ug/,MUSINGUZI ERIOT,5,"Fertilité bancaire de classe mondiale située le long de la rue Stanley Kasese, à côté de KOBS GUEST HOUSE KASESE.",il y a 3 ans,1,https://www.google.com/maps/contrib/104314763625664037528/reviews?hl=fr,NAN,NAN
Uganda,Kasese,Absa | Branch | Kasese,+256 41 7125721,"Margherita Road Kasese Plot 68 Folio 25 West, Kasese, Ouganda",https://www.absa.co.ug/,Creaven George,5,NAN,il y a 8 mois,0,https://www.google.com/maps/contrib/105423316660352818415/reviews?hl=fr,NAN,NAN
Uganda,Kasese,Hofokam Kasese Branch,+256 483 444853,"53GH+439, Margherita, Kasese, Ouganda",Not available,Neville Muthabali,3,"Des serviteurs bien disciplinés et accessibles qui écoutent le client et conseillent si nécessaire, gardant ainsi le temps.",il y a 2 ans,0,https://www.google.com/maps/contrib/105088064907952911198/reviews?hl=fr,NAN,NAN
Uganda,Kasese,Hofokam Kasese Branch,+256 483 444853,"53GH+439, Margherita, Kasese, Ouganda",Not available,Muhimbi kule Fred,4,"Bon prêt
les taux",il y a 6 ans,0,https://www.google.com/maps/contrib/111964263481359035304/reviews?hl=fr,NAN,NAN
Uganda,Kasese,Hofokam Kasese Branch,+256 483 444853,"53GH+439, Margherita, Kasese, Ouganda",Not available,Tom Samyn,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/102266555451142259750/reviews?hl=fr,NAN,NAN
Uganda,Kasese,Hofokam Kasese Branch,+256 483 444853,"53GH+439, Margherita, Kasese, Ouganda",Not available,Barigye Spencer,1,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/113130708043135466465/reviews?hl=fr,NAN,NAN
Uganda,Kasese,Stanbic Bank | ATM | Kasese,+256 41 4233214,"Stanley St, Kasese, Ouganda",Not available,MUSINGUZI ERIOT,4,"BANQUE STANBIC -KASESE
Fournit des services bancaires d'excellence aux résidents de la ville de Kasese. …",il y a 2 ans,1,https://www.google.com/maps/contrib/104314763625664037528/reviews?hl=fr,NAN,NAN
Uganda,Kasese,Stanbic Bank | ATM | Kasese,+256 41 4233214,"Stanley St, Kasese, Ouganda",Not available,Jophet Masereka,5,"La banque Stanbic est située en face du supermarché City Top, au centre de la ville de Kasese, alors que vous vous dirigez vers le club Mariana.",il y a 5 ans,3,https://www.google.com/maps/contrib/111501314250948801354/reviews?hl=fr,NAN,NAN
Uganda,Kasese,Stanbic Bank | ATM | Kasese,+256 41 4233214,"Stanley St, Kasese, Ouganda",Not available,Hamis0773329348 Nakendo,5,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/110612472667328182482/reviews?hl=fr,NAN,NAN
