Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Morocco,Khemisset,Banque Populaire,05375-59523,"RWFM+XRG, N6, Khemisset",http://www.gbp.ma/,Naïma Bouchaara,1,"Personnel désagréable et hautain qui manque de professionnalisme, de proactivité et de célérité!
A croire que lorsqu’on décide de faire un retrait, les fonds proviennent de leur …",il y a 11 mois,0,https://www.google.com/maps/contrib/100549698534798907422/reviews?hl=fr,NAN,NAN
Morocco,Khemisset,Banque Populaire,05375-59523,"RWFM+XRG, N6, Khemisset",http://www.gbp.ma/,Racha Maya,1,"Personne incompétente et surtout une personne qui s’appelle Nada, elle est désagréable mal dans sa peau et aucune connaissance. Il faut qu’elle fasse une formation et surtout en communication. C’est une banque à fuir !!!",il y a 2 ans,2,https://www.google.com/maps/contrib/105527565227051057934/reviews?hl=fr,NAN,NAN
Morocco,Khemisset,Banque Populaire,05375-59523,"RWFM+XRG, N6, Khemisset",http://www.gbp.ma/,colonel karim,1,Mauvaise banque je vous déconseille,il y a un an,0,https://www.google.com/maps/contrib/117253568147929401529/reviews?hl=fr,NAN,NAN
Morocco,Khemisset,Banque Populaire,05375-59523,"RWFM+XRG, N6, Khemisset",http://www.gbp.ma/,Nature Chanson,1,Né satisfait pas les clients mauvaises services et j'ajouterai aussi que le rendement est faible,il y a 2 ans,1,https://www.google.com/maps/contrib/115450593261180220926/reviews?hl=fr,NAN,NAN
Morocco,Khemisset,Banque Populaire,05375-59523,"RWFM+XRG, N6, Khemisset",http://www.gbp.ma/,Marwane Jalale,4,pas grave,il y a 5 ans,0,https://www.google.com/maps/contrib/111749132682513475478/reviews?hl=fr,NAN,NAN
Morocco,Khemisset,Banque Populaire,05375-59523,"RWFM+XRG, N6, Khemisset",http://www.gbp.ma/,Mohcin BAJJA,5,Banque,il y a 6 ans,0,https://www.google.com/maps/contrib/109773612728903353813/reviews?hl=fr,NAN,NAN
Morocco,Khemisset,Banque Populaire,05375-59523,"RWFM+XRG, N6, Khemisset",http://www.gbp.ma/,Alimi Jalal,1,NAN,il y a 4 mois,0,https://www.google.com/maps/contrib/105740531186362267978/reviews?hl=fr,NAN,NAN
Morocco,Khemisset,Banque Populaire,05375-59523,"RWFM+XRG, N6, Khemisset",http://www.gbp.ma/,Mohamed Mohamed,5,NAN,il y a 5 mois,0,https://www.google.com/maps/contrib/110212480037489315397/reviews?hl=fr,NAN,NAN
Morocco,Khemisset,Banque Populaire,05375-59523,"RWFM+XRG, N6, Khemisset",http://www.gbp.ma/,Yacou Bouzza,5,NAN,il y a 6 mois,0,https://www.google.com/maps/contrib/115710125135240323190/reviews?hl=fr,NAN,NAN
Morocco,Khemisset,Banque Populaire,05375-59523,"RWFM+XRG, N6, Khemisset",http://www.gbp.ma/,ميمونة افلاح,4,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/108280081266539645415/reviews?hl=fr,NAN,NAN
Morocco,Khemisset,Banque Populaire,05375-59523,"RWFM+XRG, N6, Khemisset",http://www.gbp.ma/,omar mahtat,4,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/114714750539759465404/reviews?hl=fr,NAN,NAN
Morocco,Khemisset,Banque Populaire,05375-59523,"RWFM+XRG, N6, Khemisset",http://www.gbp.ma/,Read & Learn,5,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/112802208648088730769/reviews?hl=fr,NAN,NAN
Morocco,Khemisset,Banque Populaire,05375-59523,"RWFM+XRG, N6, Khemisset",http://www.gbp.ma/,Toni Irit,5,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/101895142709609049844/reviews?hl=fr,NAN,NAN
Morocco,Khemisset,Banque Populaire,05375-59523,"RWFM+XRG, N6, Khemisset",http://www.gbp.ma/,عبد الحميد مزيان,4,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/100420564261558378049/reviews?hl=fr,NAN,NAN
Morocco,Khemisset,Banque Populaire,05375-59523,"RWFM+XRG, N6, Khemisset",http://www.gbp.ma/,Somaya Maziane,4,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/115696703068456806191/reviews?hl=fr,NAN,NAN
Morocco,Khemisset,Banque Populaire,05375-59523,"RWFM+XRG, N6, Khemisset",http://www.gbp.ma/,Josef Schach,1,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/105456905753750245209/reviews?hl=fr,NAN,NAN
Morocco,Khemisset,Banque Populaire,05375-59523,"RWFM+XRG, N6, Khemisset",http://www.gbp.ma/,Mustapha Seghir,1,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/103594614538268589625/reviews?hl=fr,NAN,NAN
Morocco,Khemisset,Banque Populaire,05375-59523,"RWFM+XRG, N6, Khemisset",http://www.gbp.ma/,Mustapha Drouich,1,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/104493962324189860391/reviews?hl=fr,NAN,NAN
Morocco,Khemisset,Banque Populaire,05375-59523,"RWFM+XRG, N6, Khemisset",http://www.gbp.ma/,Ben Rachid,3,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/116840885929353155648/reviews?hl=fr,NAN,NAN
Morocco,Khemisset,Banque Populaire,05375-59523,"RWFM+XRG, N6, Khemisset",http://www.gbp.ma/,Earth man,3,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/111189042233005424488/reviews?hl=fr,NAN,NAN
Morocco,Khemisset,Banque Populaire,05375-59523,"RWFM+XRG, N6, Khemisset",http://www.gbp.ma/,boussif imad,5,NAN,il y a 8 ans,0,https://www.google.com/maps/contrib/104114683063413885515/reviews?hl=fr,NAN,NAN
Morocco,Khemisset,Bank of Africa,0697-039077,"RWGH+FFH, Av. Mohamed V, Khémisset",Not available,hichame lachkar,1,"Le pire des agences que vous pouvez voir, l'agent de sécurité est impoli. C comme si lui le propriétaire de la banque",il y a un an,0,https://www.google.com/maps/contrib/112619594654592945056/reviews?hl=fr,NAN,NAN
Morocco,Khemisset,Bank of Africa,0697-039077,"RWGH+FFH, Av. Mohamed V, Khémisset",Not available,Idriss Benthami (JohKev),1,Une personne aveugle a plus de chances de revoir la lumière que ce que vous pourriez voir sur l'écran du guichet automatique.,il y a un an,0,https://www.google.com/maps/contrib/113867435847147542011/reviews?hl=fr,NAN,NAN
