Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Morocco,Ksar El Kebir,Banque Populaire,Not available,"X3WX+66X, Av. 20 Août, Ksar El-Kébir",Not available,Ksar El Kebir Vlog,5,NAN,il y a un an,0,https://www.google.com/maps/contrib/114387826171281803809/reviews?hl=fr,NAN,NAN
Morocco,Ksar El Kebir,Banque Populaire,Not available,"X3WX+66X, Av. 20 Août, Ksar El-Kébir",Not available,AHMED ELAMRI,3,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/110081711167685223049/reviews?hl=fr,NAN,NAN
Morocco,Ksar El Kebir,Banque Populaire,05399-07656,"2422+37H, Ksar El-Kébir",http://www.gbp.ma/,Osama Sayad,1,"Une agence bancaire avec deux visages pour ses employés, certains bons et certains mauvais",il y a 6 ans,0,https://www.google.com/maps/contrib/108058515326611011662/reviews?hl=fr,NAN,NAN
Morocco,Ksar El Kebir,Banque Populaire,05399-07656,"2422+37H, Ksar El-Kébir",http://www.gbp.ma/,Adil Toula,5,"La Banque Populaire est un groupe bancaire performant et exemplaire au Maroc, et nous sommes heureux de rejoindre cette société en ouvrant un ou plusieurs comptes bancaires auprès de cette société, mais bien sûr ce n'est pas sans défauts, …",il y a 6 ans,2,https://www.google.com/maps/contrib/117544172591108914266/reviews?hl=fr,NAN,NAN
Morocco,Ksar El Kebir,Banque Populaire,05399-07656,"2422+37H, Ksar El-Kébir",http://www.gbp.ma/,Khalid Abou aya,3,J'ai trouvé beaucoup de monde,il y a un an,0,https://www.google.com/maps/contrib/103181082154304162372/reviews?hl=fr,NAN,NAN
Morocco,Ksar El Kebir,Banque Populaire,05399-07656,"2422+37H, Ksar El-Kébir",http://www.gbp.ma/,نورالدين الداودي,2,normale,il y a 2 ans,1,https://www.google.com/maps/contrib/105936058585349418735/reviews?hl=fr,NAN,NAN
Morocco,Ksar El Kebir,Banque CIH,05399-02285,"4 Av. Mohamed V, Ksar El-Kébir 92150",http://www.cihbank.ma/,mehdi el kaddouri,1,Malheureusement service nul,il y a 3 mois,0,https://www.google.com/maps/contrib/112833656298194284706/reviews?hl=fr,NAN,NAN
Morocco,Ksar El Kebir,Banque CIH,05399-02285,"4 Av. Mohamed V, Ksar El-Kébir 92150",http://www.cihbank.ma/,jalal er-rabouz,1,"Service nul, agent est toujours en pause",il y a 2 ans,2,https://www.google.com/maps/contrib/105020804276609227569/reviews?hl=fr,NAN,NAN
Morocco,Ksar El Kebir,Banque CIH,05399-02285,"4 Av. Mohamed V, Ksar El-Kébir 92150",http://www.cihbank.ma/,abdelilah ZAIME,5,Bien positionné,il y a un an,0,https://www.google.com/maps/contrib/115803815721108214621/reviews?hl=fr,NAN,NAN
Morocco,Ksar El Kebir,Banque CIH,05399-02285,"4 Av. Mohamed V, Ksar El-Kébir 92150",http://www.cihbank.ma/,moad kandil,3,La seule agence dans la ville,il y a 3 ans,4,https://www.google.com/maps/contrib/115498479106549460439/reviews?hl=fr,NAN,NAN
Morocco,Ksar El Kebir,Banque CIH,05399-02285,"4 Av. Mohamed V, Ksar El-Kébir 92150",http://www.cihbank.ma/,hajar glali,1,"En tant qu'entreprise de services, les services sont bons, mais les gens ont des domestiques, donc dans cette branche, je ne sais pas sur quelle base ils les ont servis. La personne chargée d'ouvrir le compte pour moi pendant plus d'un an, …",il y a 5 mois,3,https://www.google.com/maps/contrib/106216520989552161827/reviews?hl=fr,NAN,NAN
