Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Kenya,Lamu,"Equity Bank, Lamu Branch",Not available,"PWJ2+WX8, Lamu, Kenya",Not available,ID_Mwarabu,4,"Contrairement à la plupart des succursales Equity, les services ici sont un peu rapides.",il y a 3 ans,1,https://www.google.com/maps/contrib/108536479075656094084/reviews?hl=fr,NAN,NAN
Kenya,Lamu,"Equity Bank, Lamu Branch",Not available,"PWJ2+WX8, Lamu, Kenya",Not available,Ignatius Mzaza,5,NAN,il y a 2 mois,0,https://www.google.com/maps/contrib/109562245103993256465/reviews?hl=fr,NAN,NAN
Kenya,Lamu,"Equity Bank, Lamu Branch",Not available,"PWJ2+WX8, Lamu, Kenya",Not available,hasango ruth,3,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/100067332983409096461/reviews?hl=fr,NAN,NAN
Kenya,Lamu,"Equity Bank, Lamu Branch",Not available,"PWJ2+WX8, Lamu, Kenya",Not available,DUDU VILLAS & COTTAGES,5,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/104315765074012717376/reviews?hl=fr,NAN,NAN
Kenya,Lamu,Gulf African Bank Lamu Branch,Not available,"PWH3+F8W, Lamu, Kenya",Not available,Lamu Islamic Trust Fund (Lamu Islamic Trust Fund),3,"La Gulf African Bank a profité à de nombreuses personnes à Lamu. Personnel très compréhensif, ils vous aident à répondre à vos attentes",il y a 5 ans,0,https://www.google.com/maps/contrib/102294376514109608861/reviews?hl=fr,NAN,NAN
Kenya,Lamu,Gulf African Bank Lamu Branch,Not available,"PWH3+F8W, Lamu, Kenya",Not available,Ali Mohamed,5,Excellents services clients,il y a 3 ans,0,https://www.google.com/maps/contrib/101380342105470836389/reviews?hl=fr,NAN,NAN
Kenya,Lamu,Kenya Commercial Bank,+254 20 4272200,"Lamu Sea Front, Lamu, Kenya",Not available,Duduzile Mathabela,1,La pire expérience bancaire de tous les temps. Le personnel a vraiment mangé horriblement et manque d'empathie. J'ai retiré 25 000 ks de leur guichet automatique et j'ai mis 2 secondes pour récupérer quelque chose et l'argent a été avalé …,il y a un an,0,https://www.google.com/maps/contrib/104086205907702502092/reviews?hl=fr,NAN,NAN
Kenya,Lamu,Kenya Commercial Bank,+254 20 4272200,"Lamu Sea Front, Lamu, Kenya",Not available,Ndinda Mukiti,5,Bon emplacement. Excellente banque.,il y a 5 ans,0,https://www.google.com/maps/contrib/106553755460916763926/reviews?hl=fr,NAN,NAN
Kenya,Lamu,Kenya Commercial Bank,+254 20 4272200,"Lamu Sea Front, Lamu, Kenya",Not available,Enock moriasi,5,Le meilleur de l'île,il y a 5 ans,0,https://www.google.com/maps/contrib/105985383800136181591/reviews?hl=fr,NAN,NAN
Kenya,Lamu,Kenya Commercial Bank,+254 20 4272200,"Lamu Sea Front, Lamu, Kenya",Not available,Ali Athman,3,mauvaises photos,il y a 5 ans,0,https://www.google.com/maps/contrib/116845338209570388954/reviews?hl=fr,NAN,NAN
Kenya,Lamu,Kenya Commercial Bank,+254 20 4272200,"Lamu Sea Front, Lamu, Kenya",Not available,Barlow Delvin,4,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/118165191474244128284/reviews?hl=fr,NAN,NAN
