Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Morocco,Larache,Banque Populaire,05399-11657,"1 Av. Omar Ben Abdelaziz, Larache",http://www.gbp.ma/,AMIDY Issam,1,Mauvais service la banque populaire ancrée dans les 90s,il y a 3 ans,2,https://www.google.com/maps/contrib/115586351251708251363/reviews?hl=fr,NAN,NAN
Morocco,Larache,Banque Populaire,05399-11657,"1 Av. Omar Ben Abdelaziz, Larache",http://www.gbp.ma/,Sanae Mounir,1,Service client très médiocre et épouvantable !!! On ne peut jamais leur faire confiance..,il y a 4 ans,0,https://www.google.com/maps/contrib/107528560651761317222/reviews?hl=fr,NAN,NAN
Morocco,Larache,Banque Populaire,05399-11657,"1 Av. Omar Ben Abdelaziz, Larache",http://www.gbp.ma/,Hichame Meknasi,1,Hicham,il y a 9 ans,0,https://www.google.com/maps/contrib/110436733290753040965/reviews?hl=fr,NAN,NAN
Morocco,Larache,Banque Populaire,05399-11657,"1 Av. Omar Ben Abdelaziz, Larache",http://www.gbp.ma/,Mohamed El fihry,5,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/107380813713319601730/reviews?hl=fr,NAN,NAN
Morocco,Larache,Banque Populaire,05399-11657,"1 Av. Omar Ben Abdelaziz, Larache",http://www.gbp.ma/,souad benaboud,1,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/105176323747428977722/reviews?hl=fr,NAN,NAN
Morocco,Larache,Banque Populaire,05399-11657,"1 Av. Omar Ben Abdelaziz, Larache",http://www.gbp.ma/,Mestafa Bensliman,3,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/112263705637292134883/reviews?hl=fr,NAN,NAN
Morocco,Larache,Banque Populaire,05399-11657,"1 Av. Omar Ben Abdelaziz, Larache",http://www.gbp.ma/,mohamed fellak,4,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/103983149742457110893/reviews?hl=fr,NAN,NAN
Morocco,Larache,Banque Populaire,05399-11657,"1 Av. Omar Ben Abdelaziz, Larache",http://www.gbp.ma/,Mohammed Baissa,1,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/116604325295648641293/reviews?hl=fr,NAN,NAN
Morocco,Larache,Banque Populaire,05399-11657,"1 Av. Omar Ben Abdelaziz, Larache",http://www.gbp.ma/,Brahim Khaladi,3,NAN,il y a 8 ans,0,https://www.google.com/maps/contrib/107707719872783036122/reviews?hl=fr,NAN,NAN
Morocco,Larache,Umnia Bank Larache,05226-46264,"Imm. B, 98 Av. Mohamed V, Larache",http://www.umniabank.ma/,Omar De,5,NAN,il y a 4 mois,0,https://www.google.com/maps/contrib/105393983307302376768/reviews?hl=fr,Nous vous remercions pour votre avis et au plaisir de vous accompagner,il y a 3 mois
Morocco,Larache,Umnia Bank Larache,05226-46264,"Imm. B, 98 Av. Mohamed V, Larache",http://www.umniabank.ma/,Omar De,5,NAN,il y a 4 mois,0,https://www.google.com/maps/contrib/105393983307302376768/reviews?hl=fr,Nous vous remercions pour votre avis et au plaisir de vous accompagner,il y a 3 mois
Morocco,Larache,Banque Populaire,05399-12142,"5RWX+3JX, Av. Mohamed V, Larache 92000",http://www.gbp.ma/,Mohamed El Bakkali,1,Ou 000000000 ne vaut rien,il y a 6 ans,1,https://www.google.com/maps/contrib/114467310181475304878/reviews?hl=fr,NAN,NAN
Morocco,Larache,Banque Populaire,05399-12142,"5RWX+3JX, Av. Mohamed V, Larache 92000",http://www.gbp.ma/,Osama Sayad,1,Et comment ça se passera,il y a 5 ans,1,https://www.google.com/maps/contrib/108058515326611011662/reviews?hl=fr,NAN,NAN
Morocco,Larache,Banque Populaire,05399-12142,"5RWX+3JX, Av. Mohamed V, Larache 92000",http://www.gbp.ma/,Kamel bsd,1,NAN,il y a 10 mois,0,https://www.google.com/maps/contrib/114305387975268905832/reviews?hl=fr,NAN,NAN
Morocco,Larache,Banque Populaire,05399-12142,"5RWX+3JX, Av. Mohamed V, Larache 92000",http://www.gbp.ma/,Hamza punish,1,NAN,il y a un an,0,https://www.google.com/maps/contrib/117958862402937055873/reviews?hl=fr,NAN,NAN
Morocco,Larache,Banque Populaire,05399-12142,"5RWX+3JX, Av. Mohamed V, Larache 92000",http://www.gbp.ma/,Abde Lara,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/103688296288594665431/reviews?hl=fr,NAN,NAN
Morocco,Larache,Banque Populaire,05399-12142,"5RWX+3JX, Av. Mohamed V, Larache 92000",http://www.gbp.ma/,Mr. DmX,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/101109110532352579347/reviews?hl=fr,NAN,NAN
Morocco,Larache,Banque Populaire,05399-12142,"5RWX+3JX, Av. Mohamed V, Larache 92000",http://www.gbp.ma/,Youssef Benadel,1,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/101538851033722368583/reviews?hl=fr,NAN,NAN
Morocco,Larache,Banque Populaire,05399-12142,"5RWX+3JX, Av. Mohamed V, Larache 92000",http://www.gbp.ma/,Raghade Sh,1,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/102354020172796329188/reviews?hl=fr,NAN,NAN
Morocco,Larache,Banque Populaire,05399-12142,"5RWX+3JX, Av. Mohamed V, Larache 92000",http://www.gbp.ma/,Gسكينة سكينة Ss,1,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/101896770027704553150/reviews?hl=fr,NAN,NAN
Morocco,Larache,Attijariwafa Bank,05395-21484,"5VQ2+PGV، Avenue Omar Ibn Abdelaziz, Place du 20 Août, Larache",Not available,MOHAMED BIROUKI,4,Bon service Vis à vis de sa clientèle...,il y a 7 mois,0,https://www.google.com/maps/contrib/117936263178232244785/reviews?hl=fr,NAN,NAN
Morocco,Larache,Attijariwafa Bank,05395-21484,"5VQ2+PGV، Avenue Omar Ibn Abdelaziz, Place du 20 Août, Larache",Not available,omar chabbi,1,Tres mauvais Service de la part du responsable de l'agence,il y a 4 ans,2,https://www.google.com/maps/contrib/114403344304285734920/reviews?hl=fr,NAN,NAN
Morocco,Larache,Attijariwafa Bank,05395-21484,"5VQ2+PGV، Avenue Omar Ibn Abdelaziz, Place du 20 Août, Larache",Not available,Amzouri 360,4,Bon coin bancaire,il y a 7 ans,0,https://www.google.com/maps/contrib/110350202976958549127/reviews?hl=fr,NAN,NAN
