Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Uganda,Lira,Bank Of Africa | Lira Branch,Not available,"6VVW+996, Bala Rd, Lira, Ouganda",Not available,Irreducible minimum,4,"Super banque, moins de monde, bon service client et attention.",il y a 3 ans,5,https://www.google.com/maps/contrib/100573639559078038443/reviews?hl=fr,NAN,NAN
Uganda,Lira,Bank Of Africa | Lira Branch,Not available,"6VVW+996, Bala Rd, Lira, Ouganda",Not available,JUSTIN ONEN,3,Avec de bons services de proximité rurale utilisant une banque mobile motorisée,il y a 5 ans,1,https://www.google.com/maps/contrib/104508477805696861921/reviews?hl=fr,NAN,NAN
Uganda,Lira,Bank Of Africa | Lira Branch,Not available,"6VVW+996, Bala Rd, Lira, Ouganda",Not available,abdu ongom,4,Possède d'excellents services bancaires mobiles,il y a 7 ans,0,https://www.google.com/maps/contrib/112623943685043488308/reviews?hl=fr,NAN,NAN
Uganda,Lira,Bank Of Africa | Lira Branch,Not available,"6VVW+996, Bala Rd, Lira, Ouganda",Not available,Emmanuel Kim,4,"Services rapides, y compris les services bancaires d'agent !",il y a 2 ans,2,https://www.google.com/maps/contrib/117413201196072511219/reviews?hl=fr,NAN,NAN
Uganda,Lira,Bank Of Africa | Lira Branch,Not available,"6VVW+996, Bala Rd, Lira, Ouganda",Not available,khelil ahmed,5,Calme et bon service client,il y a 2 ans,1,https://www.google.com/maps/contrib/106748399065361266751/reviews?hl=fr,NAN,NAN
Uganda,Lira,Bank Of Africa | Lira Branch,Not available,"6VVW+996, Bala Rd, Lira, Ouganda",Not available,adupa godwin,5,Gardez votre argent en sécurité,il y a 2 ans,1,https://www.google.com/maps/contrib/106904953184549796612/reviews?hl=fr,NAN,NAN
Uganda,Lira,Bank Of Africa | Lira Branch,Not available,"6VVW+996, Bala Rd, Lira, Ouganda",Not available,Benjamin Akaca,4,Bien,il y a 3 ans,0,https://www.google.com/maps/contrib/104761513299652194898/reviews?hl=fr,NAN,NAN
Uganda,Lira,Bank Of Africa | Lira Branch,Not available,"6VVW+996, Bala Rd, Lira, Ouganda",Not available,O Freddy (“SKY.UG”),4,NAN,il y a 4 mois,0,https://www.google.com/maps/contrib/109508636068607866354/reviews?hl=fr,NAN,NAN
Uganda,Lira,dfcu BANK | Lira Branch,Not available,"6VQV+WW3, Obote Avenue, Lira, Ouganda",Not available,abdu ongom,3,"ancien bâtiment de la Crane Bank. Je ne sais pas pour tout le monde, mais je trouve que cet endroit aurait besoin d'un peu de décoration intérieure ; c'est tellement ennuyeux à l'intérieur du hall des banques, depuis le carrelage jusqu'à la …",il y a 6 ans,0,https://www.google.com/maps/contrib/112623943685043488308/reviews?hl=fr,NAN,NAN
Uganda,Lira,dfcu BANK | Lira Branch,Not available,"6VQV+WW3, Obote Avenue, Lira, Ouganda",Not available,Irreducible minimum,3,Pas mal!,il y a 3 ans,7,https://www.google.com/maps/contrib/100573639559078038443/reviews?hl=fr,NAN,NAN
Uganda,Lira,dfcu BANK | Lira Branch,Not available,"6VQV+WW3, Obote Avenue, Lira, Ouganda",Not available,Echum Hashim Oguta,4,Facile à localiser avec un bon service,il y a un an,0,https://www.google.com/maps/contrib/114373786909708158163/reviews?hl=fr,NAN,NAN
Uganda,Lira,dfcu BANK | Lira Branch,Not available,"6VQV+WW3, Obote Avenue, Lira, Ouganda",Not available,Kulbir Singh,5,V bien,il y a 10 mois,0,https://www.google.com/maps/contrib/115420862270126248989/reviews?hl=fr,NAN,NAN
Uganda,Lira,dfcu BANK | Lira Branch,Not available,"6VQV+WW3, Obote Avenue, Lira, Ouganda",Not available,Wilson Alex Nabasa,4,Le hall des banques n'est pas encombré,il y a 7 ans,0,https://www.google.com/maps/contrib/105721945066002247772/reviews?hl=fr,NAN,NAN
Uganda,Lira,dfcu BANK | Lira Branch,Not available,"6VQV+WW3, Obote Avenue, Lira, Ouganda",Not available,OJOK ISAAC,5,Bien,il y a un an,0,https://www.google.com/maps/contrib/107331836173085135907/reviews?hl=fr,NAN,NAN
Uganda,Lira,dfcu BANK | Lira Branch,Not available,"6VQV+WW3, Obote Avenue, Lira, Ouganda",Not available,sammuel wotrom,5,Bon service,il y a un an,0,https://www.google.com/maps/contrib/105940526752923125881/reviews?hl=fr,NAN,NAN
Uganda,Lira,dfcu BANK | Lira Branch,Not available,"6VQV+WW3, Obote Avenue, Lira, Ouganda",Not available,Kabs M,4,D'accord.,il y a 4 ans,0,https://www.google.com/maps/contrib/111523271464794567179/reviews?hl=fr,NAN,NAN
Uganda,Lira,dfcu BANK | Lira Branch,Not available,"6VQV+WW3, Obote Avenue, Lira, Ouganda",Not available,Akugizibwe Junior Lameck,4,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/103198012284625529300/reviews?hl=fr,NAN,NAN
Uganda,Lira,dfcu BANK | Lira Branch,Not available,"6VQV+WW3, Obote Avenue, Lira, Ouganda",Not available,katumba ivan,5,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/109588787757404446561/reviews?hl=fr,NAN,NAN
