Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Senegal,Mbour,BANQUE ATLANTIQUE MBOUR,Not available,"C2CH+49P, M'bour, Sénégal",Not available,Bass Goumbala,2,L'heure d'ouverture est 08h15 mais on te fait attendre dehors pretextant qu'on a pas encore commencé. Fixez nous une heure juste. Il fait 08h40 et je suis toujours dehors.,il y a 2 ans,3,https://www.google.com/maps/contrib/100362025285038086191/reviews?hl=fr,NAN,NAN
Senegal,Mbour,BANQUE ATLANTIQUE MBOUR,Not available,"C2CH+49P, M'bour, Sénégal",Not available,Falldollar Fall,5,Très coll,il y a un an,0,https://www.google.com/maps/contrib/100782463180076770411/reviews?hl=fr,NAN,NAN
Senegal,Mbour,BOA Agence Mbour,+221 33 939 70 81,"C2PF+873, M'bour, Sénégal",http://www.boasenegal.com/,Amadou Mané,1,"Banque très mauvaise, nabou et tout leur service au client n’est vraiment pas proffesionnel. Preparez vous a attendre des heures juste pour parler au charger de clientèle et même lors de sa rencontre il ne vous aide meme pas",il y a 2 mois,0,https://www.google.com/maps/contrib/108918059082220530855/reviews?hl=fr,NAN,NAN
Senegal,Mbour,BOA Agence Mbour,+221 33 939 70 81,"C2PF+873, M'bour, Sénégal",http://www.boasenegal.com/,Tony Neves,1,"Une aberration. Jamais de fonds dans cette agence. On peux vous faire attendre des heures sans vous dire qu’il n’y a pas de fonds dispo. Et le pire c’est qu’on ne vous le dit pas, on vous le camoufle et vous laisse poiroter des heures. Mon avis, MÉDIOCRE.",il y a 4 ans,3,https://www.google.com/maps/contrib/108075201186962535528/reviews?hl=fr,NAN,NAN
Senegal,Mbour,BOA Agence Mbour,+221 33 939 70 81,"C2PF+873, M'bour, Sénégal",http://www.boasenegal.com/,Ndeye fatou Dieng,1,"BOA mbour très désordonné,  le service est très lent 1h de temps pour prendre un client.
Tu peux rester 5h de temps en attente.
Je ne le recommande pas",il y a un an,0,https://www.google.com/maps/contrib/107525733695764148199/reviews?hl=fr,NAN,NAN
Senegal,Mbour,BOA Agence Mbour,+221 33 939 70 81,"C2PF+873, M'bour, Sénégal",http://www.boasenegal.com/,Omar Bousso Kebe Bousso Kebe,5,"Un lieu très bien organisé, le personnel très disciplinés 👈 oui je valide ✊ …",il y a 4 ans,0,https://www.google.com/maps/contrib/105487697557501656223/reviews?hl=fr,NAN,NAN
Senegal,Mbour,BOA Agence Mbour,+221 33 939 70 81,"C2PF+873, M'bour, Sénégal",http://www.boasenegal.com/,MC SOXOR KADOU RAP,5,Bonjour 👋 …,il y a un an,0,https://www.google.com/maps/contrib/118041456646174124806/reviews?hl=fr,NAN,NAN
Senegal,Mbour,BOA Agence Mbour,+221 33 939 70 81,"C2PF+873, M'bour, Sénégal",http://www.boasenegal.com/,Papa Démba SENE,4,Une banque de qualité !,il y a un an,0,https://www.google.com/maps/contrib/106211032352404883886/reviews?hl=fr,NAN,NAN
Senegal,Mbour,BOA Agence Mbour,+221 33 939 70 81,"C2PF+873, M'bour, Sénégal",http://www.boasenegal.com/,dieng mobile,3,Chez Dieng Communication,il y a 5 ans,1,https://www.google.com/maps/contrib/109243595824048425901/reviews?hl=fr,NAN,NAN
Senegal,Mbour,BOA Agence Mbour,+221 33 939 70 81,"C2PF+873, M'bour, Sénégal",http://www.boasenegal.com/,Mamour Cissé,3,Bien,il y a 7 ans,1,https://www.google.com/maps/contrib/112778221345466523959/reviews?hl=fr,NAN,NAN
