Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Kenya,Nakuru,First Community Bank-Nakuru Branch,+254 20 2843000,"Kenyatta Avenue, Merika Building, Nakuru, Kenya",Not available,Questkv,3,"Grande banque. Mais l'espace de stationnement est leur perte, ils devraient avoir au moins 30 minutes de stationnement.",il y a 7 ans,0,https://www.google.com/maps/contrib/113485942011139480894/reviews?hl=fr,NAN,NAN
Kenya,Nakuru,First Community Bank-Nakuru Branch,+254 20 2843000,"Kenyatta Avenue, Merika Building, Nakuru, Kenya",Not available,bishop favour lawrence,5,Notre service a commencé,il y a 10 ans,0,https://www.google.com/maps/contrib/106273532921217663374/reviews?hl=fr,NAN,NAN
Kenya,Nakuru,First Community Bank-Nakuru Branch,+254 20 2843000,"Kenyatta Avenue, Merika Building, Nakuru, Kenya",Not available,langat lucas,4,Pas clair,il y a 10 ans,0,https://www.google.com/maps/contrib/112446752907863466412/reviews?hl=fr,NAN,NAN
Kenya,Nakuru,Standard Chartered Bank Nakuru,+254 20 3293900,"59 Kenyatta Ave, Nakuru, Kenya",http://www.standardchartered.com/ke,Nicholas Mwanza (Nicky-muindi),5,J'ai été parfaitement servi le 17 novembre 2020. Je suis reconnaissant aux deux caissiers qui ont résolu mes énigmes... Je ne me souviens plus des noms mais vous êtes tous de belles âmes. Oh et l'agent de sécurité qui m'a aidé avec un ticket,il y a 3 ans,1,https://www.google.com/maps/contrib/113847391413674095655/reviews?hl=fr,NAN,NAN
Kenya,Nakuru,Standard Chartered Bank Nakuru,+254 20 3293900,"59 Kenyatta Ave, Nakuru, Kenya",http://www.standardchartered.com/ke,Carol Maina,1,Les services de caisse sont pathétiques à la succursale de Nakuru. Il faut toujours être prêt à attendre au moins 30 minutes ou une heure avant d'être servi. Est-ce la ressource humaine ou votre système qui est lent ?,il y a 2 ans,0,https://www.google.com/maps/contrib/104188415094420605274/reviews?hl=fr,NAN,NAN
Kenya,Nakuru,Standard Chartered Bank Nakuru,+254 20 3293900,"59 Kenyatta Ave, Nakuru, Kenya",http://www.standardchartered.com/ke,Waweru Macharia,5,Service rapide et utile 10/10,il y a 5 mois,0,https://www.google.com/maps/contrib/110362492113621393448/reviews?hl=fr,NAN,NAN
Kenya,Nakuru,Standard Chartered Bank Nakuru,+254 20 3293900,"59 Kenyatta Ave, Nakuru, Kenya",http://www.standardchartered.com/ke,Questkv,4,"L'accessibilité est toujours ce que chaque client recherche et ici, elle est vraiment accessible depuis deux rues.",il y a 7 ans,0,https://www.google.com/maps/contrib/113485942011139480894/reviews?hl=fr,NAN,NAN
Kenya,Nakuru,Standard Chartered Bank Nakuru,+254 20 3293900,"59 Kenyatta Ave, Nakuru, Kenya",http://www.standardchartered.com/ke,Paul Onkangi,5,C'est une excellente banque car elle est bien réservée et permet aux gens de rechercher ses clients. Elle propose également des prêts du marché à l'avance à tous les citoyens.,il y a 10 ans,1,https://www.google.com/maps/contrib/105841110058724039027/reviews?hl=fr,NAN,NAN
Kenya,Nakuru,Standard Chartered Bank Nakuru,+254 20 3293900,"59 Kenyatta Ave, Nakuru, Kenya",http://www.standardchartered.com/ke,Rajinder Kapoor,3,Récemment rénové. Nouveau système de file d'attente avec ticket. Le service pourrait être meilleur,il y a 7 ans,0,https://www.google.com/maps/contrib/105486482075966385150/reviews?hl=fr,NAN,NAN
Kenya,Nakuru,Standard Chartered Bank Nakuru,+254 20 3293900,"59 Kenyatta Ave, Nakuru, Kenya",http://www.standardchartered.com/ke,Elvis,5,Bon service rapide,il y a 6 ans,0,https://www.google.com/maps/contrib/100729717524176960302/reviews?hl=fr,NAN,NAN
Kenya,Nakuru,Standard Chartered Bank Nakuru,+254 20 3293900,"59 Kenyatta Ave, Nakuru, Kenya",http://www.standardchartered.com/ke,Philip Apondo,5,J'aime tellement cette banque......,il y a 9 ans,0,https://www.google.com/maps/contrib/103519792710149940447/reviews?hl=fr,NAN,NAN
