Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Kenya,Nanyuki,Kenya Commercial Bank - Nanyuki Branch,Not available,"1004 Nanyuki-Rumuruti Rd, Nanyuki, Kenya",Not available,mercy nyokabi,1,"Le service le plus lent que j'ai jamais eu, en particulier dans une banque et dans un bureau de service client. Les préposés s'en moquent vraiment. La succursale me fait repenser à cette banque. Il m'a fallu un certain temps pour obtenir un …",il y a un an,1,https://www.google.com/maps/contrib/101801476885226691108/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Kenya Commercial Bank - Nanyuki Branch,Not available,"1004 Nanyuki-Rumuruti Rd, Nanyuki, Kenya",Not available,Francis Njuguna,1,La banque la plus lente de Nanyuki. Les caissiers quittent leur position assise et laissent les clients sans surveillance,il y a 2 ans,1,https://www.google.com/maps/contrib/116353321861597104742/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Kenya Commercial Bank - Nanyuki Branch,Not available,"1004 Nanyuki-Rumuruti Rd, Nanyuki, Kenya",Not available,David Thiongo,4,Super expérience,il y a un an,0,https://www.google.com/maps/contrib/105308444051930604001/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Kenya Commercial Bank - Nanyuki Branch,Not available,"1004 Nanyuki-Rumuruti Rd, Nanyuki, Kenya",Not available,Coach Roy Okonji,4,Service chaleureux,il y a 4 ans,0,https://www.google.com/maps/contrib/102646569018296531934/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Kenya Commercial Bank - Nanyuki Branch,Not available,"1004 Nanyuki-Rumuruti Rd, Nanyuki, Kenya",Not available,Ian Kibet Kemboi,5,Génial,il y a 2 ans,0,https://www.google.com/maps/contrib/114105216878425651381/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Kenya Commercial Bank - Nanyuki Branch,Not available,"1004 Nanyuki-Rumuruti Rd, Nanyuki, Kenya",Not available,Joseph Talam,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/116268688616076099172/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Kenya Commercial Bank - Nanyuki Branch,Not available,"1004 Nanyuki-Rumuruti Rd, Nanyuki, Kenya",Not available,Percy Kurgat,4,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/117056298479237065838/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Standard Chartered Bank - Nanyuki Branch,+254 62 2031173,"Laikipia East, Lumumba Rd, Nanyuki, Kenya",http://www.standardchartered.com/ke,Silas Wafula,4,"Parfait, protocoles Covid19 bien observés. Continuez comme ça!",il y a 4 ans,1,https://www.google.com/maps/contrib/114906344066040393098/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Standard Chartered Bank - Nanyuki Branch,+254 62 2031173,"Laikipia East, Lumumba Rd, Nanyuki, Kenya",http://www.standardchartered.com/ke,Shamim Allu,5,Excellent service client. Emplacement idéal.,il y a 2 ans,0,https://www.google.com/maps/contrib/106169057274558474066/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Standard Chartered Bank - Nanyuki Branch,+254 62 2031173,"Laikipia East, Lumumba Rd, Nanyuki, Kenya",http://www.standardchartered.com/ke,Ken Rogers,5,Meilleur,il y a 11 mois,2,https://www.google.com/maps/contrib/104651346481829257834/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Standard Chartered Bank - Nanyuki Branch,+254 62 2031173,"Laikipia East, Lumumba Rd, Nanyuki, Kenya",http://www.standardchartered.com/ke,Kioko Kilonzo,4,NAN,il y a un an,0,https://www.google.com/maps/contrib/107223492501338876837/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Standard Chartered Bank - Nanyuki Branch,+254 62 2031173,"Laikipia East, Lumumba Rd, Nanyuki, Kenya",http://www.standardchartered.com/ke,Kenneth Gitonga,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/104754367376721140039/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Standard Chartered Bank - Nanyuki Branch,+254 62 2031173,"Laikipia East, Lumumba Rd, Nanyuki, Kenya",http://www.standardchartered.com/ke,Annwhitney Wangui,2,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/113655501295511566466/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Standard Chartered Bank - Nanyuki Branch,+254 62 2031173,"Laikipia East, Lumumba Rd, Nanyuki, Kenya",http://www.standardchartered.com/ke,Tim Kim,4,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/108979375744537973120/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Bank Of Africa Nanyuki Branch,+254 20 3275000,"A2, Nanyuki, Kenya",Not available,charles muthee,5,Bien. Service. Gentilles personnes,il y a 10 ans,1,https://www.google.com/maps/contrib/113788910902234596145/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,Edward N. Muchiri,4,"Personnel très sympathique et toujours prêt à vous aider. Pas trop de monde et assez sûr pour les transactions en espèces, même la nuit, via le guichet automatique ou les distributeurs automatiques de dépôt d'espèces.",il y a 3 ans,0,https://www.google.com/maps/contrib/102257765418478335750/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,Kioko Munyao,5,Service client et expériences de premier ordre.,il y a 6 ans,1,https://www.google.com/maps/contrib/117593518915655344033/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,Andrew Lelei,5,excellent service client,il y a 4 ans,0,https://www.google.com/maps/contrib/113636395728814889319/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,Felix Ogembo,4,Joli look après le changement de marque.  Excellent service client de la part de l'équipe.,il y a 5 ans,0,https://www.google.com/maps/contrib/105270940021847575679/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,Stephen,5,Excellente expérience client,il y a 4 ans,0,https://www.google.com/maps/contrib/115595810121280498498/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,stephen wachira,5,Meilleur service client,il y a 4 ans,0,https://www.google.com/maps/contrib/104765697232428291036/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,Jairus Bahati,5,Expérience de service client haut de gamme,il y a 5 ans,0,https://www.google.com/maps/contrib/108136447683801200170/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,eric wachira,5,Excellents employés. Bravo à Martin.,il y a 4 ans,0,https://www.google.com/maps/contrib/116953882550278105586/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,Moses Kiama,5,Excellent service client !,il y a 4 ans,0,https://www.google.com/maps/contrib/104806272210198124068/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,David Murithi,5,Il y a un bon service,il y a 4 ans,0,https://www.google.com/maps/contrib/105761638800037205537/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,DJ euxanthe,4,Accès facile et service utile,il y a 3 ans,0,https://www.google.com/maps/contrib/114370522836153888468/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,Timothy Cheptileh,5,Personnel très sympathique,il y a 6 ans,0,https://www.google.com/maps/contrib/110926048217076073467/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,Alice Muthoni,5,Pour le change c'est le meilleur,il y a 4 ans,0,https://www.google.com/maps/contrib/108442764760890658732/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,Leonard Murere,3,Meilleur service,il y a 4 ans,0,https://www.google.com/maps/contrib/112876853175174447018/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,Judy Gachora,5,Bon service,il y a 3 ans,0,https://www.google.com/maps/contrib/109612505487919164086/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,Davies Kungu Gitonga,3,Très cool,il y a 4 ans,0,https://www.google.com/maps/contrib/113157995336297684765/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,Patrick Irungu,5,La meilleure banque de tous les temps,il y a 3 ans,0,https://www.google.com/maps/contrib/108783714325863954131/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,Onesmus Kibera,4,#bonserviceclient,il y a 5 ans,0,https://www.google.com/maps/contrib/113924846120079839176/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,Uday Shah,5,Super,il y a 4 ans,0,https://www.google.com/maps/contrib/116580143263082534364/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,George Wachira,4,Efficace,il y a 4 ans,0,https://www.google.com/maps/contrib/101728123250157144564/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,Boniface Chiuri,4,Bel endroit,il y a 6 ans,0,https://www.google.com/maps/contrib/108412080853729227277/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,peter waiti,5,Leader en technologie,il y a 5 ans,0,https://www.google.com/maps/contrib/116014647003260667779/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,SAMUEL MITHAMO,4,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/101172008242762575255/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,Christian van Wyk,4,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/115651392903836954906/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,Grantony Wanjau,1,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/108387864283477153148/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,Waterkloof Imports Ltd,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/106979758797249251206/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,regula wacker,1,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/116785899770374869703/reviews?hl=fr,NAN,NAN
Kenya,Nanyuki,Stanbic Bank-Nanyuki,+254 711 068000,"Nyeri - Nanyuki Rd, Nanyuki, Kenya",http://www.stanbicbank.co.ke/,Elijah Githarah,4,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/100725217744778513672/reviews?hl=fr,NAN,NAN
