Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Morocco,Oued Zem,Banque Populaire,05234-16224,"VC7J+766, P13, Oued Zem",Not available,Mouhssine Aatibi,3,Pas mal,il y a un an,1,https://www.google.com/maps/contrib/100559594382162299042/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Banque Populaire,05234-16224,"VC7J+766, P13, Oued Zem",Not available,Khalid Bechar,5,Bien organisé,il y a un an,0,https://www.google.com/maps/contrib/104650009705052867584/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Banque Populaire,05234-16224,"VC7J+766, P13, Oued Zem",Not available,branchio3 O,4,Banque populaire,il y a 5 mois,0,https://www.google.com/maps/contrib/103436423591989585596/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Banque Populaire,05234-16224,"VC7J+766, P13, Oued Zem",Not available,mohammed amine cherradi,4,NAN,il y a un an,0,https://www.google.com/maps/contrib/104937821457587892596/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Banque Populaire,05234-16224,"VC7J+766, P13, Oued Zem",Not available,hala malik,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/114195777018383300067/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Banque Populaire,05234-16224,"VC7J+766, P13, Oued Zem",Not available,Rachid MAFTOUH,4,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/116158821167631438949/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Banque Populaire,05234-16224,"VC7J+766, P13, Oued Zem",Not available,ait naceur ilias,5,NAN,il y a 8 ans,0,https://www.google.com/maps/contrib/114629603233314234907/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Crédit Agricole,Not available,"VC6M+V72, P13, Oued Zem",Not available,Bemid Benaiada,5,Artisanat de qualité ART HAMID BENAIADA,il y a 2 ans,1,https://www.google.com/maps/contrib/103332812014197716009/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Crédit Agricole,Not available,"VC6M+V72, P13, Oued Zem",Not available,ines hined,1,"Étoile ou étoile sur vous, en tant qu'employés arrogants et enfreignant les règles, sans respect ni traitement, notamment en matière juridique, en tant que clients, vous nous avez perdus et vous perdez encore des clients. …",il y a 2 ans,2,https://www.google.com/maps/contrib/112444376167465305009/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Crédit Agricole,Not available,"VC6M+V72, P13, Oued Zem",Not available,الحسين قاسمي,5,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/109423407546216696137/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Crédit Agricole,Not available,"VC6M+V72, P13, Oued Zem",Not available,Bemid Benaiada,5,Artisanat de qualité ART HAMID BENAIADA,il y a 2 ans,1,https://www.google.com/maps/contrib/103332812014197716009/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Crédit Agricole,Not available,"VC6M+V72, P13, Oued Zem",Not available,ines hined,1,"Étoile ou étoile sur vous, en tant qu'employés arrogants et enfreignant les règles, sans respect ni traitement, notamment en matière juridique, en tant que clients, vous nous avez perdus et vous perdez encore des clients. …",il y a 2 ans,2,https://www.google.com/maps/contrib/112444376167465305009/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Crédit Agricole,Not available,"VC6M+V72, P13, Oued Zem",Not available,الحسين قاسمي,5,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/109423407546216696137/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Credit Agricole,Not available,"VC7G+H77, R312, Oued Zem",Not available,Mustapha Tornado,5,Excellent emplacement,il y a 4 ans,1,https://www.google.com/maps/contrib/107626585056450305623/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Credit Agricole,Not available,"VC7G+H77, R312, Oued Zem",Not available,Yassine SLM,5,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/117398641917456399274/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Credit Agricole,Not available,"VC7G+H77, R312, Oued Zem",Not available,Elom Said,4,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/102745231672981395557/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Crédit du Maroc,05234-10545,"Angle Bd Mohammed V et rue Laayoune, Oued Zem 20000",Not available,Screenat INSTAGRAM,1,"Katji dok L9 Galsin kaychofo f wra9
dak filles de sécurité kaydir karo modir
le khedma la ta kharya",il y a 11 mois,0,https://www.google.com/maps/contrib/107302642882030014887/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Crédit du Maroc,05234-10545,"Angle Bd Mohammed V et rue Laayoune, Oued Zem 20000",Not available,Nhartnin Floos,1,NAN,il y a un an,0,https://www.google.com/maps/contrib/111728873128175233755/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Crédit du Maroc,05234-10545,"Angle Bd Mohammed V et rue Laayoune, Oued Zem 20000",Not available,Hassan larezaoui,5,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/118315477723509186617/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Crédit du Maroc,05234-10545,"Angle Bd Mohammed V et rue Laayoune, Oued Zem 20000",Not available,Hamid Hassnoui,1,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/109795927203663406742/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Crédit du Maroc,05234-10545,"Angle Bd Mohammed V et rue Laayoune, Oued Zem 20000",Not available,Ayoub El massaoudi,5,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/108210118245658050972/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Société Générale Bank,05224-24242,"ANGLE BD MOHAMED V ET RUE LALLA AMINA, Oued Zem 25350",https://www.sgmaroc.com/,El kari El kari,1,Rien à faire,il y a un an,0,https://www.google.com/maps/contrib/110507151351886960469/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Banque Populaire,Not available,"VC7G+P23, Oued Zem",http://www.gbp.ma/,Hamiti202 Hicham,3,Bien disponible,il y a 3 ans,0,https://www.google.com/maps/contrib/110445508513160204475/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Banque Populaire,Not available,"VC7G+P23, Oued Zem",http://www.gbp.ma/,abo jannat chahid jannat,5,Bonjour,il y a un an,0,https://www.google.com/maps/contrib/107777532387776641479/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Banque Populaire,Not available,"VC7G+P23, Oued Zem",http://www.gbp.ma/,Khalid Bechar,5,NAN,il y a un mois,0,https://www.google.com/maps/contrib/104650009705052867584/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Banque Populaire,Not available,"VC7G+P23, Oued Zem",http://www.gbp.ma/,Rachid MAFTOUH,4,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/116158821167631438949/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Banque Populaire,Not available,"VC7G+P23, Oued Zem",http://www.gbp.ma/,khouribga agadir,4,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/116946544130546729645/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Bank of Africa,Not available,"VC7J+698, P13, Oued Zem",Not available,Khalid Bechar,5,Très bien,il y a un an,0,https://www.google.com/maps/contrib/104650009705052867584/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Bank of Africa,Not available,"VC7J+698, P13, Oued Zem",Not available,عادل سقراط,5,Il a trouvé un hôtel,il y a 8 ans,0,https://www.google.com/maps/contrib/101874734655106109777/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Bank of Africa,Not available,"VC7J+698, P13, Oued Zem",Not available,maldini rachid milan,5,La forêt,il y a 4 ans,0,https://www.google.com/maps/contrib/101320324688350283764/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Bank of Africa,Not available,"VC7J+698, P13, Oued Zem",Not available,Hafida Raghibi,5,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/111027358444530652534/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,Bank of Africa,Not available,"VC7J+698, P13, Oued Zem",Not available,yassine nasri,3,NAN,il y a 11 ans,0,https://www.google.com/maps/contrib/104992746947974311059/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,CIH Bank,05235-22040,"Boulevard Mohammed V, Oued Zem 25350",http://www.cihbank.ma/,FZ - in my town Or-Fl,1,"Mauvaise expérience, le personnel n'est pas professionnel du tout.",il y a 3 ans,8,https://www.google.com/maps/contrib/108401743916828436336/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,CIH Bank,05235-22040,"Boulevard Mohammed V, Oued Zem 25350",http://www.cihbank.ma/,karim benk,1,"mauvaise expérience , personnels pas professionnel
je déconseille",il y a 3 ans,5,https://www.google.com/maps/contrib/109921990246576986647/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,CIH Bank,05235-22040,"Boulevard Mohammed V, Oued Zem 25350",http://www.cihbank.ma/,JAOUAD Chahid,1,Service très faible,il y a un an,1,https://www.google.com/maps/contrib/113244257477703347843/reviews?hl=fr,"Bonjour Jaouad,
Nous sommes navrés que nous n'ayons pas pu répondre à vos attentes. 
Nous vous invitons à nous contacter sur le 4747 ou sur reclamations-clients@cihbank.ma, nous ferons le nécessaire pour vous offrir un meilleur service.",il y a un an
Morocco,Oued Zem,CIH Bank,05235-22040,"Boulevard Mohammed V, Oued Zem 25350",http://www.cihbank.ma/,Kamal Bannour,1,"Mauvais employés, ne regardez pas le système, et je vous dirai de marcher jusqu'à demain. Un chéquier est sorti le 4 mars, imprimé à cette date, et je suis venu le 21 mars, et l'employé m'a dit de marcher pendant deux jours et je suis venu.",il y a 4 mois,0,https://www.google.com/maps/contrib/108103381969610254287/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,CIH Bank,05235-22040,"Boulevard Mohammed V, Oued Zem 25350",http://www.cihbank.ma/,steward simehamed (black luck),1,"Les plus gros hackers ont volé mon argent par manipulation et mensonges et les pires services que j'ai jamais vu par exemple le séquestre est très cher et même rapide de ma part ils m'ont tellement retardé, fils de pute",il y a un an,3,https://www.google.com/maps/contrib/114224135066184520358/reviews?hl=fr,NAN,NAN
Morocco,Oued Zem,CIH Bank,05235-22040,"Boulevard Mohammed V, Oued Zem 25350",http://www.cihbank.ma/,Vasco da gama,1,"les plus gros arnaqueurs m'ont volé mon argent par manipulation et par mensonges et
les pires services que je n'ai jamais vus …",il y a un an,2,https://www.google.com/maps/contrib/107683666157019739982/reviews?hl=fr,NAN,NAN
