Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Morocco,Oulad Teima,Crédit du Maroc,05285-26263,"Bd Mohammed V - Oulad Teima - Province de Taroudant, Oulad Teima 20000",Not available,mhd Ben,1,je voudrais aujourd'hui signaler  mal heureusement à  cette Banque que vos faites travailler des agents de sécurité incompétent parse que moi je suis un client MRE de crédit du Maroc agence de bourgogne Casablanca j etais de passage a oulad …,il y a 2 ans,2,https://www.google.com/maps/contrib/101453952151548469539/reviews?hl=fr,NAN,NAN
Morocco,Oulad Teima,Crédit du Maroc,05285-26263,"Bd Mohammed V - Oulad Teima - Province de Taroudant, Oulad Teima 20000",Not available,Omar jani,5,Magnifique,il y a 7 ans,0,https://www.google.com/maps/contrib/113373527456569740872/reviews?hl=fr,NAN,NAN
Morocco,Oulad Teima,Crédit du Maroc,05285-26263,"Bd Mohammed V - Oulad Teima - Province de Taroudant, Oulad Teima 20000",Not available,Hafa,1,"Une banque sans standard, ni dirigeant ni employé, Ahmed, très, très, très mauvais service",il y a 2 mois,0,https://www.google.com/maps/contrib/112457332428858773100/reviews?hl=fr,NAN,NAN
Morocco,Oulad Teima,Crédit du Maroc,05285-26263,"Bd Mohammed V - Oulad Teima - Province de Taroudant, Oulad Teima 20000",Not available,Yuossef Lahmidi,5,Employés effectuant le travail au niveau,il y a 3 ans,0,https://www.google.com/maps/contrib/118162404880446691777/reviews?hl=fr,NAN,NAN
Morocco,Oulad Teima,Crédit du Maroc,05285-26263,"Bd Mohammed V - Oulad Teima - Province de Taroudant, Oulad Teima 20000",Not available,MBARK PLAYS,4,✌️,il y a 2 ans,0,https://www.google.com/maps/contrib/104441010785443001600/reviews?hl=fr,NAN,NAN
Morocco,Oulad Teima,Crédit du Maroc,05285-26263,"Bd Mohammed V - Oulad Teima - Province de Taroudant, Oulad Teima 20000",Not available,bangoral daygl,4,Une banque qui n'est pas la meilleure,il y a 7 ans,0,https://www.google.com/maps/contrib/108530923877349137933/reviews?hl=fr,NAN,NAN
Morocco,Oulad Teima,Crédit du Maroc,05285-26263,"Bd Mohammed V - Oulad Teima - Province de Taroudant, Oulad Teima 20000",Not available,Nadia Ourrais,5,NAN,il y a 8 mois,0,https://www.google.com/maps/contrib/101522070096889356657/reviews?hl=fr,NAN,NAN
Morocco,Oulad Teima,Crédit du Maroc,05285-26263,"Bd Mohammed V - Oulad Teima - Province de Taroudant, Oulad Teima 20000",Not available,Kamal Oufares,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/100537429815745565372/reviews?hl=fr,NAN,NAN
Morocco,Oulad Teima,Crédit du Maroc,05285-26263,"Bd Mohammed V - Oulad Teima - Province de Taroudant, Oulad Teima 20000",Not available,test testo,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/101853119787682582326/reviews?hl=fr,NAN,NAN
Morocco,Oulad Teima,Crédit du Maroc,05285-26263,"Bd Mohammed V - Oulad Teima - Province de Taroudant, Oulad Teima 20000",Not available,Ainour Chadin,5,NAN,il y a 8 ans,0,https://www.google.com/maps/contrib/104284946738908108623/reviews?hl=fr,NAN,NAN
Morocco,Oulad Teima,Crédit du Maroc,05285-26263,"Bd Mohammed V - Oulad Teima - Province de Taroudant, Oulad Teima 20000",Not available,Hassan Jakani,5,NAN,il y a 8 ans,0,https://www.google.com/maps/contrib/108077859367098428291/reviews?hl=fr,NAN,NAN
Morocco,Oulad Teima,Banque Populaire,Not available,"9QRQ+R4P, Av. El-hourriya, Oulad Teima",Not available,Eloualidi Hassan,5,Le service est bon,il y a 3 ans,0,https://www.google.com/maps/contrib/114912119905521916844/reviews?hl=fr,NAN,NAN
Morocco,Oulad Teima,Banque Populaire,Not available,"9QRQ+R4P, Av. El-hourriya, Oulad Teima",Not available,hic yous,5,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/114616874068821254001/reviews?hl=fr,NAN,NAN
Morocco,Oulad Teima,Al Barid Bank,05285-26080,"prés de la gare des taxi, Oulad Teima 83350",Not available,CHIIBI FF,1,"Les relations de l'employé avec Kalyan ont été décevantes. Surtout pour les Philippines, peut-être en dehors de Boston",il y a 7 mois,1,https://www.google.com/maps/contrib/106112313921190849668/reviews?hl=fr,NAN,NAN
Morocco,Oulad Teima,Al Barid Bank,05285-26080,"prés de la gare des taxi, Oulad Teima 83350",Not available,naily stars,1,"Si c'était moins qu'une étoile, je lui aurais fait une mauvaise affaire. Ils ne savent pas comment traiter avec les clients ou avec qui que ce soit. Il y a un domestique au Pérou. En ce moment, il y a une personne dans les toilettes de …",il y a un an,0,https://www.google.com/maps/contrib/109101950328566240962/reviews?hl=fr,NAN,NAN
Morocco,Oulad Teima,Al Barid Bank,05285-26080,"prés de la gare des taxi, Oulad Teima 83350",Not available,You Ssef,1,"ACV traité
Ils traitent ceux qu’ils connaissent et sont en avance sur eux, ils traitent les adultes comme des animaux, ils les trouvent analphabètes.",il y a un an,0,https://www.google.com/maps/contrib/115361928373997059178/reviews?hl=fr, Pouvez-vous nous contacter ?,il y a un an
Morocco,Oulad Teima,Al Barid Bank,05285-26080,"prés de la gare des taxi, Oulad Teima 83350",Not available,Youssef Dayene,1,"Caissiers très mauvais et paresseux, tellement décevant.",il y a 6 mois,0,https://www.google.com/maps/contrib/111859789682401100800/reviews?hl=fr,NAN,NAN
