Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Senegal,Pikine,Banque Atlantique agence pikine,+221 33 879 00 80,"QJ32+37V, Tally Boumak, Pikine, Sénégal",https://www.banqueatlantique.net/,Hajjah Fatima (Sheeraa's),3,L'emplacement etait un peu décalé par rapport à l'itinéraire. Parking accessible pour les personnes à mobilité réduite aussi. loin du marché de pikine. Salle d'attente aéré mais leur personnel d'entretien doivent savoir quand nettoyer sans balayer les pieds des clients. Les opérations retrait de chèques sont un peu moins lentes.,il y a 6 ans,0,https://www.google.com/maps/contrib/114456759332392069388/reviews?hl=fr,NAN,NAN
Senegal,Pikine,Banque Atlantique agence pikine,+221 33 879 00 80,"QJ32+37V, Tally Boumak, Pikine, Sénégal",https://www.banqueatlantique.net/,Lala Sy,1,Je déplore le service. Je suis venu un samedi et g attendu dan l'agence 1 heure parce que la dame prenait son petit déjeuner et après passait un coup de fil San gènes …,il y a 3 ans,1,https://www.google.com/maps/contrib/109349280806633422200/reviews?hl=fr,NAN,NAN
Senegal,Pikine,Banque Atlantique agence pikine,+221 33 879 00 80,"QJ32+37V, Tally Boumak, Pikine, Sénégal",https://www.banqueatlantique.net/,bakary barro,4,Accueil trop favorable,il y a 3 ans,0,https://www.google.com/maps/contrib/111335933824962713290/reviews?hl=fr,NAN,NAN
Senegal,Pikine,Banque Atlantique agence pikine,+221 33 879 00 80,"QJ32+37V, Tally Boumak, Pikine, Sénégal",https://www.banqueatlantique.net/,Sy Boubacar,5,Son visibilité,il y a 4 ans,0,https://www.google.com/maps/contrib/106664894339557046117/reviews?hl=fr,NAN,NAN
Senegal,Pikine,Banque Atlantique agence pikine,+221 33 879 00 80,"QJ32+37V, Tally Boumak, Pikine, Sénégal",https://www.banqueatlantique.net/,Boubacar Ba,5,Heure,il y a 6 ans,1,https://www.google.com/maps/contrib/102877924482167298366/reviews?hl=fr,NAN,NAN
Senegal,Pikine,Banque Atlantique agence pikine,+221 33 879 00 80,"QJ32+37V, Tally Boumak, Pikine, Sénégal",https://www.banqueatlantique.net/,Mbaye Ndaw,5,NAN,il y a un an,0,https://www.google.com/maps/contrib/116283369556494173697/reviews?hl=fr,NAN,NAN
Senegal,Pikine,Banque Atlantique agence pikine,+221 33 879 00 80,"QJ32+37V, Tally Boumak, Pikine, Sénégal",https://www.banqueatlantique.net/,BOYLAYE MBAYE,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/104387871872327862626/reviews?hl=fr,NAN,NAN
Senegal,Pikine,Banque Atlantique agence pikine,+221 33 879 00 80,"QJ32+37V, Tally Boumak, Pikine, Sénégal",https://www.banqueatlantique.net/,Alioune Sow,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/103187646848568242870/reviews?hl=fr,NAN,NAN
Senegal,Pikine,Agence banque islamique Pikine,Not available,"QJ43+P8Q, Tally Boumak, Pikine, Sénégal",Not available,Fatou Bintou Diallo,1,"Le mot islamique a été usurpé à des fins marketing.
Rien d’islamique dans le comportement vis-à-vis d’autrui.
Quand on se targue de proposer des produits et services en conformité avec la …",il y a 3 semaines,1,https://www.google.com/maps/contrib/115911241355748844970/reviews?hl=fr,NAN,NAN
Senegal,Pikine,Agence banque islamique Pikine,Not available,"QJ43+P8Q, Tally Boumak, Pikine, Sénégal",Not available,Mor Daga Sylla,3,Lieux professionnel,il y a 2 ans,1,https://www.google.com/maps/contrib/104465875605836846890/reviews?hl=fr,NAN,NAN
Senegal,Pikine,Agence banque islamique Pikine,Not available,"QJ43+P8Q, Tally Boumak, Pikine, Sénégal",Not available,Ibrahima NDIAYE,5,NAN,il y a 2 mois,0,https://www.google.com/maps/contrib/116171893856284409668/reviews?hl=fr,NAN,NAN
Senegal,Pikine,Agence banque islamique Pikine,Not available,"QJ43+P8Q, Tally Boumak, Pikine, Sénégal",Not available,Adjioumy Ndiaye,2,NAN,il y a 7 mois,0,https://www.google.com/maps/contrib/108286184887888998379/reviews?hl=fr,NAN,NAN
Senegal,Pikine,Agence banque islamique Pikine,Not available,"QJ43+P8Q, Tally Boumak, Pikine, Sénégal",Not available,Kane Assane,5,NAN,il y a 9 mois,0,https://www.google.com/maps/contrib/105434818264556385584/reviews?hl=fr,NAN,NAN
Senegal,Pikine,Agence banque islamique Pikine,Not available,"QJ43+P8Q, Tally Boumak, Pikine, Sénégal",Not available,Fatou Bintou Diallo,1,"Le mot islamique a été usurpé à des fins marketing.
Rien d’islamique dans le comportement vis-à-vis d’autrui.
Quand on se targue de proposer des produits et services en conformité avec la …",il y a 3 semaines,1,https://www.google.com/maps/contrib/115911241355748844970/reviews?hl=fr,NAN,NAN
Senegal,Pikine,Agence banque islamique Pikine,Not available,"QJ43+P8Q, Tally Boumak, Pikine, Sénégal",Not available,Mor Daga Sylla,3,Lieux professionnel,il y a 2 ans,1,https://www.google.com/maps/contrib/104465875605836846890/reviews?hl=fr,NAN,NAN
Senegal,Pikine,Agence banque islamique Pikine,Not available,"QJ43+P8Q, Tally Boumak, Pikine, Sénégal",Not available,Ibrahima NDIAYE,5,NAN,il y a 2 mois,0,https://www.google.com/maps/contrib/116171893856284409668/reviews?hl=fr,NAN,NAN
