Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Senegal,Rufisque,Société génégarle de banques au sénégal,+221 77 635 21 67,"PP8H+6J8, Rufisque, Sénégal",Not available,Mugiwara no Shikamaru,5,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/102078115419910588890/reviews?hl=fr,NAN,NAN
Senegal,Rufisque,CBAO AGENCE RUFISQUE OUEST,Not available,"PPP6+CWJ, Rufisque, Sénégal",Not available,Mariama Françoise Diawara,1,"Agence mal organisée, désagréable, aucun sens du pragmatisme. Les clients attendent dehors pendant des heures.
Mettre une personne pour donner les bonnes informations aux clients est beaucoup …",il y a un an,6,https://www.google.com/maps/contrib/108017791434064529414/reviews?hl=fr,NAN,NAN
Senegal,Rufisque,CBAO AGENCE RUFISQUE OUEST,Not available,"PPP6+CWJ, Rufisque, Sénégal",Not available,sarr mouhamed,5,Manque de place pour la clientèle certains sont obligés de rester dehors,il y a 2 ans,5,https://www.google.com/maps/contrib/106788197033747546227/reviews?hl=fr,NAN,NAN
Senegal,Rufisque,CBAO AGENCE RUFISQUE OUEST,Not available,"PPP6+CWJ, Rufisque, Sénégal",Not available,Maniang DIALLO,1,"Qualité de service médiocre, nulle. Des gestionnaires de comptes injoignables. Qui ne répondent ni aux appels ni aux messages. Rien. Je regrette d'avoir ouvert ce compte chez vous.
Je suis dégouté.",il y a un an,2,https://www.google.com/maps/contrib/110197857940417591701/reviews?hl=fr,NAN,NAN
Senegal,Rufisque,CBAO AGENCE RUFISQUE OUEST,Not available,"PPP6+CWJ, Rufisque, Sénégal",Not available,Mouhamadou Moustapha Wade,1,"Premier remarque. Un vigile incorrect qui bloque les clients à l'entrée de la banque, il donne les tickets et demandes au clients d'attendre dehors en plein canicule. On dois respecter le client et pouvoir le recevoir dans un meilleur cadre. Merci",il y a 3 ans,7,https://www.google.com/maps/contrib/105251374704896831469/reviews?hl=fr,NAN,NAN
Senegal,Rufisque,CBAO AGENCE RUFISQUE OUEST,Not available,"PPP6+CWJ, Rufisque, Sénégal",Not available,Boubacar Cissé Fall,3,Accessible avec possibilités de parking. Mais GAB assez souvent hors services ou sans fonds suffisants,il y a un an,2,https://www.google.com/maps/contrib/106982195568862801806/reviews?hl=fr,NAN,NAN
Senegal,Rufisque,CBAO AGENCE RUFISQUE OUEST,Not available,"PPP6+CWJ, Rufisque, Sénégal",Not available,MAMADOU SY,4,"Agence visible, défaut de parking pour ceux qui sont véhiculés.",il y a 2 ans,0,https://www.google.com/maps/contrib/118435476730195987146/reviews?hl=fr,NAN,NAN
Senegal,Rufisque,CBAO AGENCE RUFISQUE OUEST,Not available,"PPP6+CWJ, Rufisque, Sénégal",Not available,Birane Ngom,3,"Cadre propre, service rapide
Gap disponible",il y a 3 ans,0,https://www.google.com/maps/contrib/107471907185598162545/reviews?hl=fr,NAN,NAN
Senegal,Rufisque,CBAO AGENCE RUFISQUE OUEST,Not available,"PPP6+CWJ, Rufisque, Sénégal",Not available,lammp Dakartv,5,Accessibles  et servies rapide,il y a 2 ans,0,https://www.google.com/maps/contrib/105534947553625649205/reviews?hl=fr,NAN,NAN
Senegal,Rufisque,CBAO AGENCE RUFISQUE OUEST,Not available,"PPP6+CWJ, Rufisque, Sénégal",Not available,MAMADOU BA,4,Très accessible 👍🏾 …,il y a 2 ans,0,https://www.google.com/maps/contrib/107029991677573250860/reviews?hl=fr,NAN,NAN
