Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Bénin,Sakété,ATM UBA Bénin Stade de l'amitié,+229 21 31 24 24,"JJWP+HHG, Sakété, Bénin",https://www.ubagroup.com/,Landry Agledjou,4,Accueil bien cordialement,il y a 4 ans,1,https://www.google.com/maps/contrib/108036879269299947555/reviews?hl=fr,NAN,NAN
Bénin,Sakété,ATM UBA Bénin Stade de l'amitié,+229 21 31 24 24,"JJWP+HHG, Sakété, Bénin",https://www.ubagroup.com/,Landry Agledjou,4,Accueil bien cordialement,il y a 4 ans,1,https://www.google.com/maps/contrib/108036879269299947555/reviews?hl=fr,NAN,NAN
Bénin,Sakété,BSIC BENIN SA,+229 51 20 96 69,"9C2H+W6H, Rue des Dako Donou, Cotonou, Bénin",Not available,Akindélé Sèm Tirâs NASSIFOU AMADOU,4,"Bon accueil ...
Décor impeccable... …",il y a 3 mois,0,https://www.google.com/maps/contrib/108629911686122637224/reviews?hl=fr,NAN,NAN
Bénin,Sakété,BSIC BENIN SA,+229 51 20 96 69,"9C2H+W6H, Rue des Dako Donou, Cotonou, Bénin",Not available,Zondode Norbert,1,Lenteur dans le traitement des  dossiers.J'ai demandé une attestation d'engagement depuis le mardi 30/01/2024 et jusqu'à l'heure où je suis entrain d'écrire ce message je ne l'ai pas encore eu alors que les petites institutions de …,il y a 6 mois,0,https://www.google.com/maps/contrib/107569367456690553159/reviews?hl=fr,NAN,NAN
Bénin,Sakété,BSIC BENIN SA,+229 51 20 96 69,"9C2H+W6H, Rue des Dako Donou, Cotonou, Bénin",Not available,Ulviado Officiel,1,J’ai conseillé un ami de faire l’ouverture de son compte chez vous . Je l’ai accompagné nous somme là depuis 10h il n’y a qu’une personne avant nous et la personne n’a pas encore fini sa création de compte actuellement il est 12h30 et la …,il y a 2 ans,3,https://www.google.com/maps/contrib/115296970359480059349/reviews?hl=fr,NAN,NAN
Bénin,Sakété,BSIC BENIN SA,+229 51 20 96 69,"9C2H+W6H, Rue des Dako Donou, Cotonou, Bénin",Not available,Jessica da SILVEIRA,2,"Une lenteur très énervante dans le traitement des demandes. Faire un an pour obtenir une carte bancaire qui finalement n'a pas été livrée car le ""registre a été actualisé "".... et faire attendre les gens inutilement..sans parler du désordre …",il y a 2 ans,3,https://www.google.com/maps/contrib/112849780499067469558/reviews?hl=fr,NAN,NAN
Bénin,Sakété,BSIC BENIN SA,+229 51 20 96 69,"9C2H+W6H, Rue des Dako Donou, Cotonou, Bénin",Not available,Abdou Wadoud Akanho LASSISSI,1,"BSIC apparemment une bonne banque mais l’agence de PortoNovo est vraiment nulle.
Il faut compter entre 3h et 5h pour retirer un chèque. Aucun accueil, c’est …",il y a un an,1,https://www.google.com/maps/contrib/117530232505706139154/reviews?hl=fr,NAN,NAN
Bénin,Sakété,BSIC BENIN SA,+229 51 20 96 69,"9C2H+W6H, Rue des Dako Donou, Cotonou, Bénin",Not available,Chéatiel AKOUETE,3,"Attente sacrément longue, juste deux caisses fonctionnant très lentement 🤦🏽‍♂️ A la longue exaspérant 💔 …",il y a un an,1,https://www.google.com/maps/contrib/102630042069801791167/reviews?hl=fr,NAN,NAN
Bénin,Sakété,BSIC BENIN SA,+229 51 20 96 69,"9C2H+W6H, Rue des Dako Donou, Cotonou, Bénin",Not available,Salomon Zinzindohoue,2,L'accueil est bien. Mais la tenue rapide des opérations malgré le manque d'affluence pose un réel problème.Cela reste à revoir.Il y a plein de caisse sans agents qui retarde par conséquent les opérations.,il y a 4 ans,0,https://www.google.com/maps/contrib/117838384405691535376/reviews?hl=fr,NAN,NAN
Bénin,Sakété,BSIC BENIN SA,+229 51 20 96 69,"9C2H+W6H, Rue des Dako Donou, Cotonou, Bénin",Not available,Jean Eudes Lanmadjekpogni,5,Je recommande cette banque pour la qualité de ces services. Le gros avantage reste le gain de temps.,il y a 4 ans,4,https://www.google.com/maps/contrib/114492965033156561651/reviews?hl=fr,NAN,NAN
