Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Morocco,Sidi Kacem,Agence Banque Populaire,Not available,"678Q+FMR, Sidi Kacem",Not available,Marie Marie,5,Août 2022 j'ai été reçu par deux  jeunes filles très aimables et très compétentes l'agent de sécurité était tout aussi bienveillant un très grand merci à ce personnel qui allie professionalisme et sympathie,il y a un an,1,https://www.google.com/maps/contrib/108280927201595073503/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Agence Banque Populaire,Not available,"678Q+FMR, Sidi Kacem",Not available,Mohamed Amine Benyezza Ettaghi,4,Personnel compétent,il y a 6 ans,0,https://www.google.com/maps/contrib/112470840389568688579/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Agence Banque Populaire,Not available,"678Q+FMR, Sidi Kacem",Not available,Hassan Almagribi,3,"Services modestes, manque de professionnalisme, gestion lente",il y a 4 ans,1,https://www.google.com/maps/contrib/114728074802050661547/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Agence Banque Populaire,Not available,"678Q+FMR, Sidi Kacem",Not available,Karim Alaoui,4,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/108465334768196792017/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Crédit Agricole,Not available,"679V+VGM, Av. Hassan II, Sidi Kacem",Not available,Hassan Almagribi,4,Très bonne service,il y a 4 ans,1,https://www.google.com/maps/contrib/114728074802050661547/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Crédit Agricole,Not available,"679V+VGM, Av. Hassan II, Sidi Kacem",Not available,Saladin,4,Cette banque a le meilleur taux de change au Maroc d’après mon expérience.,il y a 4 ans,0,https://www.google.com/maps/contrib/115536934294075299941/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Crédit Agricole,Not available,"679V+VGM, Av. Hassan II, Sidi Kacem",Not available,Boudhou Rabiae,5,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/118285560895599548719/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Crédit du Maroc,05375-90553,"N°1, Bd Mohammed V - Rés. AL Manar, Sidi Kacem 20000",Not available,Hassan Almagribi,3,Bon service client,il y a 4 ans,1,https://www.google.com/maps/contrib/114728074802050661547/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Crédit du Maroc,05375-90553,"N°1, Bd Mohammed V - Rés. AL Manar, Sidi Kacem 20000",Not available,Lahcen Amaziz,5,NAN,il y a 8 ans,0,https://www.google.com/maps/contrib/107263087893772430171/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Banque Populaire,Not available,"67MF+3PG, Sidi Kacem",Not available,Bensimon Chourafi,1,Une banque dont le numéro de téléphone n'est pas disponible n'est pas une banque,il y a 2 ans,1,https://www.google.com/maps/contrib/114111460422978082337/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Banque Populaire,Not available,"67MF+3PG, Sidi Kacem",Not available,darouich jalal,4,NAN,il y a un an,0,https://www.google.com/maps/contrib/116308393121228520744/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Banque Populaire,Not available,"67MF+3PG, Sidi Kacem",Not available,car tv,5,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/103561386892513054384/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Banque Populaire,Not available,"67MF+3PG, Sidi Kacem",Not available,Fatima Hassani,5,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/116167381134128086849/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Banque Populaire,Not available,"67MF+3PG, Sidi Kacem",Not available,Amin amin,1,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/106693590950188140480/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Agence Banque Populaire,Not available,"678Q+FMR, Sidi Kacem",Not available,Marie Marie,5,Août 2022 j'ai été reçu par deux  jeunes filles très aimables et très compétentes l'agent de sécurité était tout aussi bienveillant un très grand merci à ce personnel qui allie professionalisme et sympathie,il y a un an,1,https://www.google.com/maps/contrib/108280927201595073503/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Agence Banque Populaire,Not available,"678Q+FMR, Sidi Kacem",Not available,Mohamed Amine Benyezza Ettaghi,4,Personnel compétent,il y a 6 ans,0,https://www.google.com/maps/contrib/112470840389568688579/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Agence Banque Populaire,Not available,"678Q+FMR, Sidi Kacem",Not available,Hassan Almagribi,3,"Services modestes, manque de professionnalisme, gestion lente",il y a 4 ans,1,https://www.google.com/maps/contrib/114728074802050661547/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Agence Banque Populaire,Not available,"678Q+FMR, Sidi Kacem",Not available,Karim Alaoui,4,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/108465334768196792017/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Crédit Agricole,Not available,"679V+VGM, Av. Hassan II, Sidi Kacem",Not available,Hassan Almagribi,4,Très bonne service,il y a 4 ans,1,https://www.google.com/maps/contrib/114728074802050661547/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Crédit Agricole,Not available,"679V+VGM, Av. Hassan II, Sidi Kacem",Not available,Saladin,4,Cette banque a le meilleur taux de change au Maroc d’après mon expérience.,il y a 4 ans,0,https://www.google.com/maps/contrib/115536934294075299941/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Crédit Agricole,Not available,"679V+VGM, Av. Hassan II, Sidi Kacem",Not available,Boudhou Rabiae,5,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/118285560895599548719/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Banque Populaire,Not available,"67HR+XXQ, Sidi Kacem",Not available,Sufpesca Jb,1,"Incroyable est une banque qui n’échange pas d’argent pour vous car elle est censée ne pas avoir Internet. Mais il sert tous les autres clients. Avec le même ordinateur. Le personnel n'est pas qualifié pour ses fonctions, encore moins pour diriger une banque avec autant d'années au Maroc.",il y a un an,0,https://www.google.com/maps/contrib/112685416699681552544/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Banque Populaire,Not available,"67HR+XXQ, Sidi Kacem",Not available,Yanira Mancera,1,Pas besoin de s'inquiéter. Ils ne veulent pas travailler,il y a un an,0,https://www.google.com/maps/contrib/115484372193331242660/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Banque Populaire,Not available,"67HR+XXQ, Sidi Kacem",Not available,ati bro,5,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/114638426209494867922/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Banque Populaire,Not available,"67HR+XXQ, Sidi Kacem",Not available,adil boussati,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/106602058633081326907/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Bank of Africa,05375-97950,Sidi Kacem,http://bankofafrica.ma/,Mohammed BENABBOU,5,Très bon service,il y a un an,0,https://www.google.com/maps/contrib/102243814891593255345/reviews?hl=fr,"Bonjour 
Merci M.BENABBOU
 pour votre témoignage. … Plus",il y a un an
Morocco,Sidi Kacem,Bank of Africa,05375-97950,Sidi Kacem,http://bankofafrica.ma/,Ssird Lilj,1,Incompétence totale,il y a 10 mois,1,https://www.google.com/maps/contrib/105754000128303967076/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Bank of Africa,05375-97950,Sidi Kacem,http://bankofafrica.ma/,Hassan Almagribi,5,Service client bon et rapide. Nous vous recommandons de le visiter.,il y a 4 ans,2,https://www.google.com/maps/contrib/114728074802050661547/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Bank of Africa,05375-97950,Sidi Kacem,http://bankofafrica.ma/,Yassine Hrourou,4,Petite banque mais service rapide,il y a 5 ans,0,https://www.google.com/maps/contrib/106946692126890390359/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Bank of Africa,05375-97950,Sidi Kacem,http://bankofafrica.ma/,issa atonane,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/115991336175697109677/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Banque Populaire,Not available,"67CQ+9RM, Sidi Kacem",http://www.gbp.ma/,elatrach anis,1,"Service de mauvaise qualité dans l'agence municipale, fermeture avant l'heure indiquée sans raison convaincante, et traitement des clients inférieur au niveau requis, notamment de la part du responsable de la sécurité.",il y a 2 ans,0,https://www.google.com/maps/contrib/112204174620505008134/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Banque Populaire,Not available,"67CQ+9RM, Sidi Kacem",http://www.gbp.ma/,Otmanxcxcx Chafiy,5,Xxxxxx,il y a 7 ans,0,https://www.google.com/maps/contrib/102999387208109050398/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Banque Populaire,Not available,"67CQ+9RM, Sidi Kacem",http://www.gbp.ma/,Abdelghani Ben Kerroum,1,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/108648883289073323968/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Banque Populaire,Not available,"67CQ+9RM, Sidi Kacem",http://www.gbp.ma/,Michmich Hicham,1,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/104407735826276744528/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Banque Populaire,Not available,"67CQ+9RM, Sidi Kacem",http://www.gbp.ma/,SIMO X,1,NAN,il y a 8 ans,0,https://www.google.com/maps/contrib/116239021280058733328/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Attijariwafa Bank,Not available,"67CQ+8C4, Sidi Kacem",Not available,Taoufik Bahmad,5,La banque que j aime,il y a 2 ans,1,https://www.google.com/maps/contrib/103516135978330589049/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Attijariwafa Bank,Not available,"67CQ+8C4, Sidi Kacem",Not available,Boujayna Brahim,3,Bien,il y a 3 ans,0,https://www.google.com/maps/contrib/102070132786948038339/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Attijariwafa Bank,Not available,"67CQ+8C4, Sidi Kacem",Not available,Hassan Almagribi,4,Service client bon et rapide. Nous vous recommandons de le choisir et de l'essayer.,il y a 4 ans,1,https://www.google.com/maps/contrib/114728074802050661547/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Attijariwafa Bank,Not available,"67CQ+8C4, Sidi Kacem",Not available,Brahim Bentouimou ابراهيم بنطويمو,5,Bon accueil et excellentes prestations.,il y a 4 ans,0,https://www.google.com/maps/contrib/107161669404944852978/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Attijariwafa Bank,Not available,"67CQ+8C4, Sidi Kacem",Not available,امازيغان دوريجيين,1,On ne se souvient de rien,il y a un an,0,https://www.google.com/maps/contrib/114330915918085934592/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Attijariwafa Bank,Not available,"67CQ+8C4, Sidi Kacem",Not available,ديكورات في جميع مجالات,5,👍🏼 …,il y a un an,0,https://www.google.com/maps/contrib/109359930610738523397/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Attijariwafa Bank,Not available,"67CQ+8C4, Sidi Kacem",Not available,Youssef Kerdoud,5,NAN,il y a 3 semaines,0,https://www.google.com/maps/contrib/108071006726844901657/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Attijariwafa Bank,Not available,"67CQ+8C4, Sidi Kacem",Not available,Mohamed Riahi,5,NAN,il y a 7 mois,0,https://www.google.com/maps/contrib/105521468695633700607/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Attijariwafa Bank,Not available,"67CQ+8C4, Sidi Kacem",Not available,Mounir Amrane,2,NAN,il y a un an,0,https://www.google.com/maps/contrib/103654051212843738674/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Attijariwafa Bank,Not available,"67CQ+8C4, Sidi Kacem",Not available,Abou L'habib,5,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/114734897176653711822/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Société générale,05375-97940,"67GP+6VX, Sidi Kacem",https://www.sgmaroc.com/,Morocco 2030,5,La banque de demain !,il y a 6 ans,1,https://www.google.com/maps/contrib/108619632060810481988/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Société générale,05375-97940,"67GP+6VX, Sidi Kacem",https://www.sgmaroc.com/,Ammar Assa,1,Manque de respect envers les clients. Les employés disent des gros mots aux clients. Il n'est pas possible de retirer de l'argent après le changement d'agence de Marrakech à Sidi Kacem et une interdiction de retirer n'importe quel montant …,il y a 9 mois,0,https://www.google.com/maps/contrib/109653495542644320113/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Société générale,05375-97940,"67GP+6VX, Sidi Kacem",https://www.sgmaroc.com/,Hassan Almagribi,4,Divers services bancaires,il y a 4 mois,1,https://www.google.com/maps/contrib/114728074802050661547/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Société générale,05375-97940,"67GP+6VX, Sidi Kacem",https://www.sgmaroc.com/,Youssra Guellal,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/108587022406592672074/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,Société générale,05375-97940,"67GP+6VX, Sidi Kacem",https://www.sgmaroc.com/,Kabbour Aboulwafa,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/106590356436991875635/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,CIH,05375-97910,"Av. Bir Anzarane, Mohamed V 123, Sidi Kacem 16024",http://www.cihbank.ma/,anas akherraz,1,"Mauvais service, mauvais accueil, trop longue queue tous les jours de la semaine.
L'agent de sécurité est le gérant de l'agence, il a su me rendre service mieux …",il y a un an,3,https://www.google.com/maps/contrib/105555223911267065572/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,CIH,05375-97910,"Av. Bir Anzarane, Mohamed V 123, Sidi Kacem 16024",http://www.cihbank.ma/,Souky's Land (Souky's Land),1,"Un mauvais service, le caissier est un homme qui insulte tout le monde pour la deuxième fois en tant que cliente je suis insatisfaite de son service pas de professionnalisme, il se comporte comme dans un souk ce qui est malheureux dans une …",il y a 4 ans,14,https://www.google.com/maps/contrib/107191430282034533875/reviews?hl=fr,NAN,NAN
Morocco,Sidi Kacem,CIH,05375-97910,"Av. Bir Anzarane, Mohamed V 123, Sidi Kacem 16024",http://www.cihbank.ma/,Sami Benmiloud,5,"Heureusement que vous avez pensé à changer le chargé de clientèle, le petit nouveau est vachement plus compétant et accueillant.",il y a 4 ans,6,https://www.google.com/maps/contrib/107958175988850970700/reviews?hl=fr,NAN,NAN
