Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Morocco,Sidi Slimane,Banque Populaire,Not available,"735M+PCC, N4, Sidi Slimane 14200",http://www.gbp.ma/,Med El Khalil Bouzelmate,4,bon,il y a 5 mois,0,https://www.google.com/maps/contrib/100155872384870825057/reviews?hl=fr,NAN,NAN
Morocco,Sidi Slimane,Banque Populaire,Not available,"735M+PCC, N4, Sidi Slimane 14200",http://www.gbp.ma/,Larbi ZBEITOU,1,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/100724802937523241138/reviews?hl=fr,NAN,NAN
Morocco,Sidi Slimane,Banque Populaire,Not available,"735M+PCC, N4, Sidi Slimane 14200",http://www.gbp.ma/,Karim Az,3,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/100494813407527424170/reviews?hl=fr,NAN,NAN
Morocco,Sidi Slimane,Banque Populaire,05375-02271,"736C+FW4, Sidi Slimane",http://www.gbp.ma/,Nabil Kiri,1,La première fois que j’ai retiré l’argent au distributeur s’était mal passé,il y a un an,0,https://www.google.com/maps/contrib/110107752660501065234/reviews?hl=fr,NAN,NAN
Morocco,Sidi Slimane,Banque Populaire,05375-02271,"736C+FW4, Sidi Slimane",http://www.gbp.ma/,Sussy Imposter,1,Y as aucun respect du tour,il y a 5 ans,0,https://www.google.com/maps/contrib/108492083247225095888/reviews?hl=fr,NAN,NAN
Morocco,Sidi Slimane,Banque Populaire,05375-02271,"736C+FW4, Sidi Slimane",http://www.gbp.ma/,ZAKARIA NOUIRI,3,Banque,il y a 7 ans,0,https://www.google.com/maps/contrib/109578838840545274702/reviews?hl=fr,NAN,NAN
Morocco,Sidi Slimane,Banque Populaire,05375-02271,"736C+FW4, Sidi Slimane",http://www.gbp.ma/,brahim Riad,3,pas mal,il y a un an,0,https://www.google.com/maps/contrib/113676724928408003993/reviews?hl=fr,NAN,NAN
Morocco,Sidi Slimane,Banque Populaire,05375-02271,"736C+FW4, Sidi Slimane",http://www.gbp.ma/,jalil men,5,trois bons,il y a 11 ans,0,https://www.google.com/maps/contrib/105990629106367538833/reviews?hl=fr,NAN,NAN
Morocco,Sidi Slimane,Banque Populaire,05375-02271,"736C+FW4, Sidi Slimane",http://www.gbp.ma/,Abdo La,5,Bon,il y a 11 mois,0,https://www.google.com/maps/contrib/118210581471857582517/reviews?hl=fr,NAN,NAN
Morocco,Sidi Slimane,Banque Populaire,05375-02271,"736C+FW4, Sidi Slimane",http://www.gbp.ma/,abdo Xym,1,NAN,il y a un an,0,https://www.google.com/maps/contrib/100716023749314802661/reviews?hl=fr,NAN,NAN
