Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Ghana,Somanya,GCB Bank,+233 34 209 1421,"4X2M+JF9, R40, Somanya, Ghana",http://www.gcbbank.com.gh/,Mama Effe,2,Normalement très occupé à la fin du mois lorsque les salaires des fonctionnaires sont payés. C'est la seule succursale du district de Lower Manya Krobo. Personnel sympathique mais plus de marge d'amélioration en ce qui concerne le service client.,il y a 10 mois,1,https://www.google.com/maps/contrib/102835631286250029455/reviews?hl=fr,NAN,NAN
Ghana,Somanya,GCB Bank,+233 34 209 1421,"4X2M+JF9, R40, Somanya, Ghana",http://www.gcbbank.com.gh/,Maxwell Odonkor,5,C'est la première fois que je visite la succursale Somanya GCB. J'ai apprécié l'expérience du service client. Ils répondent rapidement avec le sourire aux lèvres.,il y a 3 ans,35,https://www.google.com/maps/contrib/113795439510812254346/reviews?hl=fr,Nous sommes honorés de servir. Merci d'avoir choisi GCB Bank PLC.,il y a un an
Ghana,Somanya,GCB Bank,+233 34 209 1421,"4X2M+JF9, R40, Somanya, Ghana",http://www.gcbbank.com.gh/,Douglas Effah-Manu,4,Bonne prestation de services et salles bancaires accommodantes. Ma seule déception est qu'ils bloquent simplement votre compte sans diligence raisonnable.,il y a 2 ans,0,https://www.google.com/maps/contrib/112639653517116319200/reviews?hl=fr,Merci pour votre évaluation. Nous nous excusons pour notre négligence et promettons que cela ne se reproduira plus. #votrebanquepourlavie,il y a un an
Ghana,Somanya,GCB Bank,+233 34 209 1421,"4X2M+JF9, R40, Somanya, Ghana",http://www.gcbbank.com.gh/,Enoch Tetteh,5,"Très bon service client.
Effectuez vos opérations bancaires avec GCB Bank pour un service sûr et fiable.",il y a 3 ans,0,https://www.google.com/maps/contrib/106819972793670702059/reviews?hl=fr,Nous apprécions vos commentaires et votre avis. Merci d'avoir choisi GCB Bank PLC.,il y a un an
Ghana,Somanya,GCB Bank,+233 34 209 1421,"4X2M+JF9, R40, Somanya, Ghana",http://www.gcbbank.com.gh/,David Addo,1,"Le téléphone ne fonctionne pas, donc impossible de communiquer avec la banque",il y a 2 ans,0,https://www.google.com/maps/contrib/114790369189952488192/reviews?hl=fr,"Bonjour David, merci pour votre avis. Nous nous excusons pour tout inconvénient que cela a pu vous causer. Veuillez indiquer lequel de nos départements ou succursales essayiez-vous de contacter. ? Nous sommes prêts à vous servir. Merci d'avoir choisi GCB Bank PLC.",il y a un an
Ghana,Somanya,GCB Bank,+233 34 209 1421,"4X2M+JF9, R40, Somanya, Ghana",http://www.gcbbank.com.gh/,Sammy OB,4,Excellent service bancaire,il y a 7 ans,1,https://www.google.com/maps/contrib/114058229612366465074/reviews?hl=fr,Nous apprécions votre avis. Merci d'avoir choisi GCB Bank PLC.,il y a un an
Ghana,Somanya,GCB Bank,+233 34 209 1421,"4X2M+JF9, R40, Somanya, Ghana",http://www.gcbbank.com.gh/,marvelous oyortey,4,Prestation de qualité,il y a 2 ans,0,https://www.google.com/maps/contrib/116998005429947831570/reviews?hl=fr,Merci d'avoir choisi GCB Bank PLC. Nous apprécions votre avis.,il y a un an
Ghana,Somanya,GCB Bank,+233 34 209 1421,"4X2M+JF9, R40, Somanya, Ghana",http://www.gcbbank.com.gh/,Kwame Asante,5,Ambiance sympa,il y a 4 ans,0,https://www.google.com/maps/contrib/109875088943610143635/reviews?hl=fr,Merci d'avoir choisi GCB Bank PLC.,il y a un an
Ghana,Somanya,GCB Bank,+233 34 209 1421,"4X2M+JF9, R40, Somanya, Ghana",http://www.gcbbank.com.gh/,Bismark T K.,5,Fantastique,il y a 4 ans,0,https://www.google.com/maps/contrib/104618333259146886123/reviews?hl=fr,Merci d'avoir choisi GCB Bank PLC.,il y a un an
Ghana,Somanya,GCB Bank,+233 34 209 1421,"4X2M+JF9, R40, Somanya, Ghana",http://www.gcbbank.com.gh/,Richard Nartey,4,NAN,il y a un an,0,https://www.google.com/maps/contrib/100833912086374553821/reviews?hl=fr,NAN,NAN
