Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Senegal,Tambacounda,Bicis,Not available,"Q8FF+XWJ, Tambacounda, Sénégal",Not available,SLD TV (S.L.D),4,Propre,il y a 3 ans,1,https://www.google.com/maps/contrib/115425927960975213531/reviews?hl=fr,NAN,NAN
Senegal,Tambacounda,Bicis,Not available,"Q8FF+XWJ, Tambacounda, Sénégal",Not available,Pape Momar MBAYE,3,Correct !,il y a 3 ans,1,https://www.google.com/maps/contrib/118404789155743553262/reviews?hl=fr,NAN,NAN
Senegal,Tambacounda,Bicis,Not available,"Q8FF+XWJ, Tambacounda, Sénégal",Not available,Ben Ousmane Souané,4,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/118190467469364022794/reviews?hl=fr,NAN,NAN
Senegal,Tambacounda,Bicis,Not available,"Q8FF+XWJ, Tambacounda, Sénégal",Not available,Cheikh Diop,4,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/112961546976187406087/reviews?hl=fr,NAN,NAN
Senegal,Tambacounda,Bicis,Not available,"Q8FF+XWJ, Tambacounda, Sénégal",Not available,Ameth Djigo,4,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/103669388827448432815/reviews?hl=fr,NAN,NAN
Senegal,Tambacounda,Bicis,Not available,"Q8FF+XWJ, Tambacounda, Sénégal",Not available,Omar Niang,3,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/113594694640717563541/reviews?hl=fr,NAN,NAN
Senegal,Tambacounda,CNCAS Agence de Tambacounda,Not available,"Q8GH+669, Tambacounda, Sénégal",Not available,Mr. Taf,1,"Pas bien organisé, le service  client laisse à désirer",il y a 3 ans,1,https://www.google.com/maps/contrib/102726924533738772450/reviews?hl=fr,NAN,NAN
Senegal,Tambacounda,CNCAS Agence de Tambacounda,Not available,"Q8GH+669, Tambacounda, Sénégal",Not available,Elhadji Djibril Seck,3,NAN,il y a 4 mois,0,https://www.google.com/maps/contrib/117946521989450063411/reviews?hl=fr,NAN,NAN
Senegal,Tambacounda,BOA Agence Tambacounda,+221 33 981 09 08,"Q8FR+FFG, Tambacounda, Sénégal",Not available,sidy seye,3,CETTE BANQUE SITUE À L' OUEST DU ROND POINT GARAGE KOTHIARY ACCESSIBLE À TOUT LE MONDE.,il y a 2 ans,0,https://www.google.com/maps/contrib/101454513318663092984/reviews?hl=fr,NAN,NAN
Senegal,Tambacounda,BOA Agence Tambacounda,+221 33 981 09 08,"Q8FR+FFG, Tambacounda, Sénégal",Not available,Amzo Dollar Sy,1,J'habite ah Tambacounda gourel hamath sow,il y a 6 ans,1,https://www.google.com/maps/contrib/104046166307278040704/reviews?hl=fr,NAN,NAN
Senegal,Tambacounda,BOA Agence Tambacounda,+221 33 981 09 08,"Q8FR+FFG, Tambacounda, Sénégal",Not available,Modou Gueye,5,C bon,il y a 6 ans,1,https://www.google.com/maps/contrib/106742582231128254378/reviews?hl=fr,NAN,NAN
