Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Morocco,Tan-Tan,BMCE,Not available,"CVQX+F5W, Bd Hassan II, Tan-Tan 82000",Not available,Thierry ElMaleh,1,"Mauvais service! Employés oisifs, sont servis le petit déjeuner pendant que la file d’attente compte plus de 25 personnes, nous avons du attendre 1h30 pour passer alors que nous étions parmi les premiers à arriver.
Aucun sens du professionnalisme ou de la responsabilité",il y a 3 ans,3,https://www.google.com/maps/contrib/114109423802518289029/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,BMCE,Not available,"CVQX+F5W, Bd Hassan II, Tan-Tan 82000",Not available,Aizza aizza,1,Service nul. a éviter,il y a 3 ans,1,https://www.google.com/maps/contrib/115602796162584917494/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,BMCE,Not available,"CVQX+F5W, Bd Hassan II, Tan-Tan 82000",Not available,ضرب كعقاب,4,"Une banque bien connue de la ville a...
Une seule fenêtre électronique, les employés interagissent bien.
Il est situé rue Hassan II en face de la maison des ouvriers de la ville de Tan-Tan.",il y a 2 ans,0,https://www.google.com/maps/contrib/110650567738909389424/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,BMCE,Not available,"CVQX+F5W, Bd Hassan II, Tan-Tan 82000",Not available,عبدالله المشتاق,1,Les employés de cette banque ne travaillent pas de manière efficace et sérieuse. Ils utilisent toujours la panne d'Internet comme excuse. Nous espérons les supprimer et les remplacer par d'autres.,il y a 3 ans,3,https://www.google.com/maps/contrib/117647863151193799005/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,BMCE,Not available,"CVQX+F5W, Bd Hassan II, Tan-Tan 82000",Not available,Othman Farrahi,1,"Leur traitement est très mauvais, je ne conseille donc à personne d'aller dans leur agence 😠😠😠 …",il y a 2 ans,0,https://www.google.com/maps/contrib/110028138881867610507/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,BMCE,Not available,"CVQX+F5W, Bd Hassan II, Tan-Tan 82000",Not available,elasri elasri,3,Le manque de ressources humaines actives provoque le mécontentement à l'égard des services de cette institution,il y a 4 ans,3,https://www.google.com/maps/contrib/115147643911447073198/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,BMCE,Not available,"CVQX+F5W, Bd Hassan II, Tan-Tan 82000",Not available,Faysal Jadoum,3,C'est bon,il y a 2 ans,0,https://www.google.com/maps/contrib/117779711235134784667/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,BMCE,Not available,"CVQX+F5W, Bd Hassan II, Tan-Tan 82000",Not available,Driss Lhamdouchi,5,la Banque,il y a 6 ans,0,https://www.google.com/maps/contrib/116059601142283820981/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,BMCE,Not available,"CVQX+F5W, Bd Hassan II, Tan-Tan 82000",Not available,Khadija Arabi,1,NAN,il y a un an,0,https://www.google.com/maps/contrib/108429650490268674161/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,BMCE,Not available,"CVQX+F5W, Bd Hassan II, Tan-Tan 82000",Not available,AM NR,3,NAN,il y a un an,0,https://www.google.com/maps/contrib/104566333648571415279/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,BMCE,Not available,"CVQX+F5W, Bd Hassan II, Tan-Tan 82000",Not available,khalid Khalid,1,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/116369151979749402008/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,BMCE,Not available,"CVQX+F5W, Bd Hassan II, Tan-Tan 82000",Not available,Nadir Ayouche,1,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/111873416825785306697/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,BMCE,Not available,"CVQX+F5W, Bd Hassan II, Tan-Tan 82000",Not available,Sam Diss,1,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/110001831950730318779/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,BMCE,Not available,"CVQX+F5W, Bd Hassan II, Tan-Tan 82000",Not available,fati & amouna,1,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/102906549972655187394/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,BMCE,Not available,"CVQX+F5W, Bd Hassan II, Tan-Tan 82000",Not available,Hanan Soufiane,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/111615883714583424130/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,BMCE,Not available,"CVQX+F5W, Bd Hassan II, Tan-Tan 82000",Not available,Amir Amir,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/108925339193757804959/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,BMCE,Not available,"CVQX+F5W, Bd Hassan II, Tan-Tan 82000",Not available,Hossine Baali,5,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/106923910230036192012/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,BMCE,Not available,"CVQX+F5W, Bd Hassan II, Tan-Tan 82000",Not available,Otmane Hadji,5,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/112998185773204363421/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,Attijariwafa Bank,Not available,"CWP2+X7J, Tan-Tan 82000",Not available,Mustapha GANGA,1,"Le personnel est serviable. Mais, il y a beaucoup d'attente au comptoir pour des opérations simples comme le versement espèce. En effet, j'ai dû patienter pendant plus d'une demi heure alors qu'il y avait peu de clients en agence. Ça manque de réactivité !",il y a un an,2,https://www.google.com/maps/contrib/102766106492388428513/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,Attijariwafa Bank,Not available,"CWP2+X7J, Tan-Tan 82000",Not available,Abdlob Yssine,3,NAN,il y a 4 mois,0,https://www.google.com/maps/contrib/113472747760306016421/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,Crédit Agricole du Maroc,Not available,"CVQX+6HJ, Bd Hassan II, Tan-Tan 82000",Not available,Jmila Ben,5,"Franchement, les personnes qui servent cette agence que Dieu vous bénisse, si Dieu le veut, les bonnes manières, que Dieu les récompense avec bonté.",il y a 4 mois,0,https://www.google.com/maps/contrib/110147644352197349229/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,Crédit Agricole du Maroc,Not available,"CVQX+6HJ, Bd Hassan II, Tan-Tan 82000",Not available,said jaafar,5,NAN,il y a un an,0,https://www.google.com/maps/contrib/105435493572662276994/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,Crédit Agricole du Maroc,Not available,"CVQX+6HJ, Bd Hassan II, Tan-Tan 82000",Not available,Mohamed Elboj,1,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/101303689482512544116/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,Chaabi Cash,0671-010242,"P 41, Tan-Tan 82000",Not available,Fayçal Eros,3,"Paiement des factures électricité , téléphone, Internet, eau et aussi MoneyGram, Western union,Proxicash,Ria Money Transfer",il y a 5 ans,0,https://www.google.com/maps/contrib/103192092336464596221/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,Chaabi Cash,0671-010242,"P 41, Tan-Tan 82000",Not available,Znad Ba,5,Bien,il y a 8 mois,0,https://www.google.com/maps/contrib/111020774581930356227/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,Chaabi Cash,0671-010242,"P 41, Tan-Tan 82000",Not available,Rodrigo Reis,3,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/117474831103979969422/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,Chaabi Cash,0671-010242,"P 41, Tan-Tan 82000",Not available,hamid hamid,5,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/100866215141326257730/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,Chaabi Cash,0671-010242,"P 41, Tan-Tan 82000",Not available,Bsm,4,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/111496878138416298149/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,Chaabi Cash,0671-010242,"P 41, Tan-Tan 82000",Not available,Hamid Ha,5,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/100210282108886254795/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,Crédit Agricole du Maroc,Not available,"CVQX+6HJ, Bd Hassan II, Tan-Tan 82000",Not available,Jmila Ben,5,"Franchement, les personnes qui servent cette agence que Dieu vous bénisse, si Dieu le veut, les bonnes manières, que Dieu les récompense avec bonté.",il y a 4 mois,0,https://www.google.com/maps/contrib/110147644352197349229/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,Crédit Agricole du Maroc,Not available,"CVQX+6HJ, Bd Hassan II, Tan-Tan 82000",Not available,said jaafar,5,NAN,il y a un an,0,https://www.google.com/maps/contrib/105435493572662276994/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,Crédit Agricole du Maroc,Not available,"CVQX+6HJ, Bd Hassan II, Tan-Tan 82000",Not available,Mohamed Elboj,1,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/101303689482512544116/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,Chaabi Cash,0671-010242,"P 41, Tan-Tan 82000",Not available,Fayçal Eros,3,"Paiement des factures électricité , téléphone, Internet, eau et aussi MoneyGram, Western union,Proxicash,Ria Money Transfer",il y a 5 ans,0,https://www.google.com/maps/contrib/103192092336464596221/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,Chaabi Cash,0671-010242,"P 41, Tan-Tan 82000",Not available,Znad Ba,5,Bien,il y a 8 mois,0,https://www.google.com/maps/contrib/111020774581930356227/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,Chaabi Cash,0671-010242,"P 41, Tan-Tan 82000",Not available,Rodrigo Reis,3,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/117474831103979969422/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,Chaabi Cash,0671-010242,"P 41, Tan-Tan 82000",Not available,hamid hamid,5,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/100866215141326257730/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,Chaabi Cash,0671-010242,"P 41, Tan-Tan 82000",Not available,Bsm,4,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/111496878138416298149/reviews?hl=fr,NAN,NAN
Morocco,Tan-Tan,Chaabi Cash,0671-010242,"P 41, Tan-Tan 82000",Not available,Hamid Ha,5,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/100210282108886254795/reviews?hl=fr,NAN,NAN
