Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Morocco,Taza,Crédit du Maroc,05356-73867,"Boulevard Allal Ben Abdellah, Taza 20000",Not available,Ashraf touzani,1,Service de merdee,il y a 6 ans,0,https://www.google.com/maps/contrib/114644636942797071206/reviews?hl=fr,NAN,NAN
Morocco,Taza,Crédit du Maroc,05356-73867,"Boulevard Allal Ben Abdellah, Taza 20000",Not available,KAMAL BOUDRA,2,Service médiocre,il y a 7 ans,0,https://www.google.com/maps/contrib/107678354844360953949/reviews?hl=fr,NAN,NAN
Morocco,Taza,Crédit du Maroc,05356-73867,"Boulevard Allal Ben Abdellah, Taza 20000",Not available,TAZA NET,1,"Il y a une pharmacie à cet endroit, et il n'y a pas de banque même à proximité",il y a 5 ans,0,https://www.google.com/maps/contrib/107800209242704705657/reviews?hl=fr,NAN,NAN
Morocco,Taza,Crédit du Maroc,05356-73867,"Boulevard Allal Ben Abdellah, Taza 20000",Not available,Hassane Essaidi,5,NAN,il y a un an,0,https://www.google.com/maps/contrib/101595558870757796051/reviews?hl=fr,NAN,NAN
Morocco,Taza,Crédit du Maroc,05356-73867,"Boulevard Allal Ben Abdellah, Taza 20000",Not available,Youssef Dadda,1,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/116228979478690488882/reviews?hl=fr,NAN,NAN
Morocco,Taza,Crédit du Maroc,05356-73867,"Boulevard Allal Ben Abdellah, Taza 20000",Not available,Hamza Rami,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/111285696579393404623/reviews?hl=fr,NAN,NAN
Morocco,Taza,Crédit du Maroc,05356-73867,"Boulevard Allal Ben Abdellah, Taza 20000",Not available,Jad Diouri,4,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/116161418133054145763/reviews?hl=fr,NAN,NAN
Morocco,Taza,Crédit du Maroc,05356-73867,"Boulevard Allal Ben Abdellah, Taza 20000",Not available,Aziz Merzouk,5,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/112637441197474686294/reviews?hl=fr,NAN,NAN
Morocco,Taza,Crédit du Maroc,05356-73867,"Boulevard Allal Ben Abdellah, Taza 20000",Not available,TAZA GSM,2,NAN,il y a 8 ans,0,https://www.google.com/maps/contrib/114326161733204051784/reviews?hl=fr,NAN,NAN
Morocco,Taza,Crédit du Maroc,05356-73867,"Boulevard Allal Ben Abdellah, Taza 20000",Not available,abdelilahe Non 4,1,NAN,il y a 8 ans,0,https://www.google.com/maps/contrib/114848925200709145319/reviews?hl=fr,NAN,NAN
Morocco,Taza,Crédit du Maroc,05356-73867,"Boulevard Allal Ben Abdellah, Taza 20000",Not available,yassine Lahyani,1,NAN,il y a 9 ans,0,https://www.google.com/maps/contrib/113712681685659457472/reviews?hl=fr,NAN,NAN
Morocco,Taza,Attijariwafabank,Not available,"6X5M+JHF, Taza",Not available,abdelaziz khabbaz,4,C'est une chaleureux banque,il y a 5 ans,0,https://www.google.com/maps/contrib/104023160640725024505/reviews?hl=fr,NAN,NAN
Morocco,Taza,Attijariwafabank,Not available,"6X5M+JHF, Taza",Not available,DIAMO Officiel (TV),5,"Le meilleur endroit au monde, votre argent vous attend, IBAN",il y a 4 ans,1,https://www.google.com/maps/contrib/104203878152786333923/reviews?hl=fr,NAN,NAN
Morocco,Taza,Umnia Bank Taza,05226-46264,"Ave Mohammed V, Taza 35000",https://www.umniabank.ma/,EL HADI Hassan,4,"Accueil et service de qualité, sauf qu'il faudra gérer le congé du personnel (car j'ai attendu pas mal de temps pour être servi)",il y a 3 ans,0,https://www.google.com/maps/contrib/109049737651717320433/reviews?hl=fr,Nous vous remercions pour votre avis et au plaisir de vous accompagner,il y a 5 mois
Morocco,Taza,Umnia Bank Taza,05226-46264,"Ave Mohammed V, Taza 35000",https://www.umniabank.ma/,Hamza iallatane,5,NAN,il y a un an,0,https://www.google.com/maps/contrib/101990319292526084011/reviews?hl=fr,Nous vous remercions pour votre avis et au plaisir de vous accompagner,il y a 5 mois
Morocco,Taza,Banque Al Maghrib,Not available,"Ave Mohammed V, Taza BP 72",Not available,Youssef Chouichou,4,Très bien,il y a 2 ans,1,https://www.google.com/maps/contrib/112604747294914256020/reviews?hl=fr,NAN,NAN
Morocco,Taza,Banque Al Maghrib,Not available,"Ave Mohammed V, Taza BP 72",Not available,KAMAL BOUDRA,4,Belle architecture,il y a 7 ans,0,https://www.google.com/maps/contrib/107678354844360953949/reviews?hl=fr,NAN,NAN
Morocco,Taza,Banque Al Maghrib,Not available,"Ave Mohammed V, Taza BP 72",Not available,TAZA GSM,5,Bien situé,il y a 8 ans,0,https://www.google.com/maps/contrib/114326161733204051784/reviews?hl=fr,NAN,NAN
Morocco,Taza,Banque Al Maghrib,Not available,"Ave Mohammed V, Taza BP 72",Not available,Erik B,3,"Comme toutes les agences de Bank Al Maghrib, c’est en quelque sorte une œuvre d’art. Le marbre, semble-t-il, n'était pas une priorité absolue et maintenant, il tombe. Cela a entraîné le blocage du trottoir à côté de la banque pendant qu'ils …",il y a 6 ans,1,https://www.google.com/maps/contrib/104090823338903116398/reviews?hl=fr,NAN,NAN
Morocco,Taza,Banque Al Maghrib,Not available,"Ave Mohammed V, Taza BP 72",Not available,Sabah Rahaf,5,NAN,il y a 8 mois,0,https://www.google.com/maps/contrib/103958266020866760431/reviews?hl=fr,NAN,NAN
Morocco,Taza,Banque Al Maghrib,Not available,"Ave Mohammed V, Taza BP 72",Not available,Oussama Alami,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/100816350973598650542/reviews?hl=fr,NAN,NAN
Morocco,Taza,Banque Al Maghrib,Not available,"Ave Mohammed V, Taza BP 72",Not available,Yassine Rahmani,5,NAN,il y a 9 ans,0,https://www.google.com/maps/contrib/101750707720576677123/reviews?hl=fr,NAN,NAN
Morocco,Taza,Umnia Bank Taza,05226-46264,"Ave Mohammed V, Taza 35000",https://www.umniabank.ma/,EL HADI Hassan,4,"Accueil et service de qualité, sauf qu'il faudra gérer le congé du personnel (car j'ai attendu pas mal de temps pour être servi)",il y a 3 ans,0,https://www.google.com/maps/contrib/109049737651717320433/reviews?hl=fr,Nous vous remercions pour votre avis et au plaisir de vous accompagner,il y a 5 mois
Morocco,Taza,Umnia Bank Taza,05226-46264,"Ave Mohammed V, Taza 35000",https://www.umniabank.ma/,Hamza iallatane,5,NAN,il y a un an,0,https://www.google.com/maps/contrib/101990319292526084011/reviews?hl=fr,Nous vous remercions pour votre avis et au plaisir de vous accompagner,il y a 5 mois
Morocco,Taza,Attijariwafa BANK : Agence Taza Hassan II,Not available,"6XFR+VMM, a, Taza",Not available,Munir SAHI (Elvis),1,"Service clientèle est très médiocre et minable surtout la dame qui est à l'accueil et qui s'en charge des cartes bancaires, vraiment je me suis déçu  de cette dame et la façon dont elle parle aux clients merci de prendre nos reviews en considération cette dame va gâcher tout l'agence.",il y a 9 mois,0,https://www.google.com/maps/contrib/110288111707916812115/reviews?hl=fr,NAN,NAN
Morocco,Taza,Attijariwafa BANK : Agence Taza Hassan II,Not available,"6XFR+VMM, a, Taza",Not available,abdeladim PH,1,"Communication avec les clients zéro, la discipline zéro, surtout la dame au réception, je veux changer la bank immédiatement",il y a un an,1,https://www.google.com/maps/contrib/112050506340589505297/reviews?hl=fr,NAN,NAN
Morocco,Taza,Attijariwafa BANK : Agence Taza Hassan II,Not available,"6XFR+VMM, a, Taza",Not available,Psyco Logue,1,"L'agence bancaire la plus laide et la plus chère est le cadran Upper Taza, sans transaction, sans service, et moi, en tant que client, je ne la recommande pas du tout. De plus, ils n'utilisent pas le guichet automatique tous les week-ends, …",il y a un an,1,https://www.google.com/maps/contrib/100088392665314330056/reviews?hl=fr,NAN,NAN
Morocco,Taza,Attijariwafa BANK : Agence Taza Hassan II,Not available,"6XFR+VMM, a, Taza",Not available,Yacine FC,5,Très beau,il y a 3 mois,1,https://www.google.com/maps/contrib/114862214730209558796/reviews?hl=fr,NAN,NAN
Morocco,Taza,Attijariwafa BANK : Agence Taza Hassan II,Not available,"6XFR+VMM, a, Taza",Not available,Hind Hyati,1,"Attijariwafa bank, située au quartier Warda, n'a ni traitement ni accueil",il y a 2 ans,2,https://www.google.com/maps/contrib/108968820133325720056/reviews?hl=fr,NAN,NAN
Morocco,Taza,Attijariwafa BANK : Agence Taza Hassan II,Not available,"6XFR+VMM, a, Taza",Not available,Abd Kader,1,Service nul,il y a 10 mois,0,https://www.google.com/maps/contrib/102209236803981105839/reviews?hl=fr,NAN,NAN
Morocco,Taza,Attijariwafa BANK : Agence Taza Hassan II,Not available,"6XFR+VMM, a, Taza",Not available,Imane Elbariki,1,NAN,il y a 7 mois,0,https://www.google.com/maps/contrib/116345137718948932800/reviews?hl=fr,NAN,NAN
Morocco,Taza,Attijariwafa BANK : Agence Taza Hassan II,Not available,"6XFR+VMM, a, Taza",Not available,Salah Artiste,1,NAN,il y a un an,0,https://www.google.com/maps/contrib/112467495949321811347/reviews?hl=fr,NAN,NAN
Morocco,Taza,Attijariwafa BANK : Agence Taza Hassan II,Not available,"6XFR+VMM, a, Taza",Not available,Az Naimi,1,NAN,il y a un an,0,https://www.google.com/maps/contrib/114069976355524999857/reviews?hl=fr,NAN,NAN
Morocco,Taza,Attijariwafa BANK : Agence Taza Hassan II,Not available,"6XFR+VMM, a, Taza",Not available,Nabil Zakri,5,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/106055594252464440874/reviews?hl=fr,NAN,NAN
Morocco,Taza,Attijariwafa BANK : Agence Taza Hassan II,Not available,"6XFR+VMM, a, Taza",Not available,MéstèR AhmeD,4,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/103914737832472281691/reviews?hl=fr,NAN,NAN
Morocco,Taza,Attijariwafa BANK : Agence Taza Hassan II,Not available,"6XFR+VMM, a, Taza",Not available,si sliman,1,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/113971015634018879754/reviews?hl=fr,NAN,NAN
Morocco,Taza,Attijariwafa BANK : Agence Taza Hassan II,Not available,"6XFR+VMM, a, Taza",Not available,youssef El Amraoui,4,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/110330852122157596559/reviews?hl=fr,NAN,NAN
