Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Ghana,Techiman,FBN Bank -Techiman Branch,+233 24 498 3994,"Techiman, Ghana",http://www.fbnbankghana.com/,Derrick Owusu Sarfo,5,Une ambiance très Sirène très bonne pour votre banque.,il y a 3 ans,0,https://www.google.com/maps/contrib/112017660656291788101/reviews?hl=fr,NAN,NAN
Ghana,Techiman,FBN Bank -Techiman Branch,+233 24 498 3994,"Techiman, Ghana",http://www.fbnbankghana.com/,The Honey Bee Ambassador,4,Belle structure,il y a 5 ans,0,https://www.google.com/maps/contrib/110910377864215066772/reviews?hl=fr,NAN,NAN
Ghana,Techiman,FBN Bank -Techiman Branch,+233 24 498 3994,"Techiman, Ghana",http://www.fbnbankghana.com/,dalyn ama ama,3,Bien,il y a 11 mois,0,https://www.google.com/maps/contrib/115434212179092429397/reviews?hl=fr,NAN,NAN
Ghana,Techiman,FBN Bank -Techiman Branch,+233 24 498 3994,"Techiman, Ghana",http://www.fbnbankghana.com/,mumuni musah,4,Excellent,il y a un an,0,https://www.google.com/maps/contrib/104570162964888408594/reviews?hl=fr,NAN,NAN
Ghana,Techiman,FBN Bank -Techiman Branch,+233 24 498 3994,"Techiman, Ghana",http://www.fbnbankghana.com/,Christian Tachie-Djan,5,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/109921335077346716681/reviews?hl=fr,NAN,NAN
Ghana,Techiman,FBN Bank -Techiman Branch,+233 24 498 3994,"Techiman, Ghana",http://www.fbnbankghana.com/,Beatrice Asare,5,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/110801476949768112726/reviews?hl=fr,NAN,NAN
Ghana,Techiman,"Unibank Ghana Limited, Techiman",+233 24 796 2962,"H3M7+W6X, Tamale Road, Techiman, Ghana",Not available,Zain-Abdeen Habeeb,3,"C'est un bon endroit pour en parler et j'espère que cela continuera à être un bon endroit.
C'est l'une des banques commerciales de la ville. …",il y a 5 ans,1,https://www.google.com/maps/contrib/109321500137037300814/reviews?hl=fr,NAN,NAN
Ghana,Techiman,"Unibank Ghana Limited, Techiman",+233 24 796 2962,"H3M7+W6X, Tamale Road, Techiman, Ghana",Not available,Fred Kwadwo Aazore,5,Situé au point central de Techiman en face de la station-service Total au marché central avec des services bancaires faciles.,il y a 6 ans,0,https://www.google.com/maps/contrib/104933710763265419358/reviews?hl=fr,NAN,NAN
Ghana,Techiman,"Unibank Ghana Limited, Techiman",+233 24 796 2962,"H3M7+W6X, Tamale Road, Techiman, Ghana",Not available,Emmanuel A. O.,4,Bon travail. Super environnement.,il y a 6 ans,0,https://www.google.com/maps/contrib/116426142052105448153/reviews?hl=fr,NAN,NAN
Ghana,Techiman,"Unibank Ghana Limited, Techiman",+233 24 796 2962,"H3M7+W6X, Tamale Road, Techiman, Ghana",Not available,Rashid Ameyaw,5,Excellent service bancaire,il y a 6 ans,0,https://www.google.com/maps/contrib/115275320306924041979/reviews?hl=fr,NAN,NAN
