Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Morocco,Tiznit,BMCI,05286-09400,"Boulevard du 20 Août, Tiznit 85000",https://www.bmci.ma/,Abdessamad Douhani,3,"BMCI a encore du chemin à faire côté qualité de service au client. Comme toutes banques marocaines, on se rend compte rapidement que le problème est global.
Néanmoins, Abdellatif, chargé de clientèle à été réactif et professionnel.",il y a 2 ans,3,https://www.google.com/maps/contrib/103358557636448415436/reviews?hl=fr,NAN,NAN
Morocco,Tiznit,BMCI,05286-09400,"Boulevard du 20 Août, Tiznit 85000",https://www.bmci.ma/,phil bleu,4,Comme tous les banques,il y a 7 ans,1,https://www.google.com/maps/contrib/115767534931238974867/reviews?hl=fr,NAN,NAN
Morocco,Tiznit,BMCI,05286-09400,"Boulevard du 20 Août, Tiznit 85000",https://www.bmci.ma/,Ali Bori,2,Les gens qui manquent d'expérience,il y a 3 mois,0,https://www.google.com/maps/contrib/112519738110070033813/reviews?hl=fr,NAN,NAN
Morocco,Tiznit,BMCI,05286-09400,"Boulevard du 20 Août, Tiznit 85000",https://www.bmci.ma/,Hamid Ben Ayad,5,NAN,il y a 3 mois,0,https://www.google.com/maps/contrib/101516542733732085347/reviews?hl=fr,NAN,NAN
Morocco,Tiznit,BMCI,05286-09400,"Boulevard du 20 Août, Tiznit 85000",https://www.bmci.ma/,abdellatif amzoug,1,NAN,il y a un an,0,https://www.google.com/maps/contrib/105493976418851103525/reviews?hl=fr,NAN,NAN
Morocco,Tiznit,BMCI,05286-09400,"Boulevard du 20 Août, Tiznit 85000",https://www.bmci.ma/,youness elaqqad,1,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/111810353819198356109/reviews?hl=fr,NAN,NAN
Morocco,Tiznit,BMCI,05286-09400,"Boulevard du 20 Août, Tiznit 85000",https://www.bmci.ma/,Mido Rofix,5,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/102923416128992461423/reviews?hl=fr,NAN,NAN
Morocco,Tiznit,BMCI,05286-09400,"Boulevard du 20 Août, Tiznit 85000",https://www.bmci.ma/,CHIN hassan,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/112531974729297249886/reviews?hl=fr,NAN,NAN
Morocco,Tiznit,BMCI,05286-09400,"Boulevard du 20 Août, Tiznit 85000",https://www.bmci.ma/,med Lolo,3,NAN,il y a 9 ans,0,https://www.google.com/maps/contrib/100297707690639850024/reviews?hl=fr,NAN,NAN
Morocco,Tiznit,CIH Bank,+212 5288-60943,"Bd Hassan II, Rue La Municipalite, Tiznit 85000",http://www.cihbank.ma/,Aimad Idbihi,1,Mauvaise service au téléphone c'est impossible d'avoir une réponse et même de décrocher le téléphone lahh isemh likom,il y a un an,1,https://www.google.com/maps/contrib/105457383507697915271/reviews?hl=fr,NAN,NAN
Morocco,Tiznit,CIH Bank,+212 5288-60943,"Bd Hassan II, Rue La Municipalite, Tiznit 85000",http://www.cihbank.ma/,smail errgragui,1,"J ai un crédit immobilier. J ai remboursé la totalité du crédit et pour l obtention de la main levée c est devenue un cauchemar.
Je sais pas si je dois payer des frais sous table pour débloquer ma situation.
NB ça fait plus que deux que J ai payé la totalité de mon crédit et toujours RIEN.",il y a 3 ans,0,https://www.google.com/maps/contrib/102086150062791415029/reviews?hl=fr,NAN,NAN
Morocco,Tiznit,CIH Bank,+212 5288-60943,"Bd Hassan II, Rue La Municipalite, Tiznit 85000",http://www.cihbank.ma/,Has Sel,1,"Mauvaise experience des le 1 er contact
Etant un ancien cadre bancaire absence totale de professionnalisme aucune qualité de service. POUR Recuperer UNE CARTE BANCAIRE CA DEMANDE Plus d 1 MOIS ????? …",il y a 2 ans,2,https://www.google.com/maps/contrib/114937131793264247675/reviews?hl=fr,NAN,NAN
Morocco,Tiznit,CIH Bank,+212 5288-60943,"Bd Hassan II, Rue La Municipalite, Tiznit 85000",http://www.cihbank.ma/,Rabab Akkanina,1,service nul,il y a une semaine,0,https://www.google.com/maps/contrib/107743391507639547273/reviews?hl=fr,NAN,NAN
