Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Senegal,Touba,Bhs Agence De Touba,Not available,"R4W8+PF2, N3, Touba, Sénégal",Not available,ABDOU AZIZ NDAW,2,Bon dans l'ensemble,il y a un an,0,https://www.google.com/maps/contrib/111296465657571399705/reviews?hl=fr,NAN,NAN
Senegal,Touba,Bhs Agence De Touba,Not available,"R4W8+PF2, N3, Touba, Sénégal",Not available,Mouhamed Dieng,2,Revoir le service d'accueil,il y a 2 ans,0,https://www.google.com/maps/contrib/114477957671616613343/reviews?hl=fr,NAN,NAN
Senegal,Touba,Bhs Agence De Touba,Not available,"R4W8+PF2, N3, Touba, Sénégal",Not available,saliougueye guedemultiservices,4,NAN,il y a 6 jours,0,https://www.google.com/maps/contrib/112274829320056788403/reviews?hl=fr,NAN,NAN
Senegal,Touba,Bhs Agence De Touba,Not available,"R4W8+PF2, N3, Touba, Sénégal",Not available,abdou aziz ndiaye,3,NAN,il y a 4 mois,0,https://www.google.com/maps/contrib/112917024831002119898/reviews?hl=fr,NAN,NAN
Senegal,Touba,Bhs Agence De Touba,Not available,"R4W8+PF2, N3, Touba, Sénégal",Not available,Mari E,1,NAN,il y a un an,0,https://www.google.com/maps/contrib/100551720237479608231/reviews?hl=fr,NAN,NAN
Senegal,Touba,Banque Islamique De Senegal,Not available,"R4V7+4MX, N3, Touba, Sénégal",Not available,Serigne Abdou Aziz Mbacke,5,Yan jour ngueni ligueye,il y a 11 mois,0,https://www.google.com/maps/contrib/112620616472496274104/reviews?hl=fr,NAN,NAN
Senegal,Touba,Banque Islamique De Senegal,Not available,"R4V7+4MX, N3, Touba, Sénégal",Not available,Cheikh Mbacke Faye,4,C'est bien,il y a un an,0,https://www.google.com/maps/contrib/103403552769821371226/reviews?hl=fr,NAN,NAN
Senegal,Touba,Banque Islamique De Senegal,Not available,"R4V7+4MX, N3, Touba, Sénégal",Not available,Khadim Dia,5,NAN,il y a un mois,0,https://www.google.com/maps/contrib/113945219571893858957/reviews?hl=fr,NAN,NAN
Senegal,Touba,Banque Islamique De Senegal,Not available,"R4V7+4MX, N3, Touba, Sénégal",Not available,Mourtalla Faye,5,NAN,il y a 7 mois,0,https://www.google.com/maps/contrib/111622676346672456429/reviews?hl=fr,NAN,NAN
Senegal,Touba,Banque Islamique De Senegal,Not available,"R4V7+4MX, N3, Touba, Sénégal",Not available,Serigne Modou Bousso,5,NAN,il y a un an,0,https://www.google.com/maps/contrib/105254618896169140254/reviews?hl=fr,NAN,NAN
Senegal,Touba,United Bank Of Africa,Not available,"V443+G3P, Touba, Sénégal",Not available,CHEIKH SAMB,1,"Insuffisance des caisses
Très longue attente
Non prise en charge de la clientèle 😠 …",il y a 10 mois,1,https://www.google.com/maps/contrib/102227802367835653184/reviews?hl=fr,NAN,NAN
Senegal,Touba,United Bank Of Africa,Not available,"V443+G3P, Touba, Sénégal",Not available,Mously Diakhate,5,j'ai passé dans la banque mais vraiment ils sont sympa,il y a 3 ans,2,https://www.google.com/maps/contrib/103161649804231550587/reviews?hl=fr,NAN,NAN
Senegal,Touba,United Bank Of Africa,Not available,"V443+G3P, Touba, Sénégal",Not available,Baye sall Fall,5,NAN,il y a 2 mois,0,https://www.google.com/maps/contrib/115347909370454331445/reviews?hl=fr,NAN,NAN
Senegal,Touba,United Bank Of Africa,Not available,"V443+G3P, Touba, Sénégal",Not available,Ndioba Gaye,5,NAN,il y a un an,0,https://www.google.com/maps/contrib/114960291973492053798/reviews?hl=fr,NAN,NAN
Senegal,Touba,United Bank Of Africa,Not available,"V443+G3P, Touba, Sénégal",Not available,Ndiassé Fall,5,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/110317708192636176942/reviews?hl=fr,NAN,NAN
Senegal,Touba,Banque Atlantique,Not available,"V45Q+258, Touba, Sénégal",Not available,Mobou Beye,5,Hôpital ndamatou corniche s modou bousso bijouterie Serigne massamba Diop sam 775183111 339781111,il y a un an,0,https://www.google.com/maps/contrib/113700711577812821384/reviews?hl=fr,NAN,NAN
Senegal,Touba,Banque Atlantique,Not available,"V45Q+258, Touba, Sénégal",Not available,Mohamadou ndiaye Ndiaye,1,A partir de orange monnaie je peux envoyer dans mon compte,il y a 4 ans,0,https://www.google.com/maps/contrib/107314506662320208366/reviews?hl=fr,NAN,NAN
Senegal,Touba,Banque Atlantique,Not available,"V45Q+258, Touba, Sénégal",Not available,ADAMA DIAKHATE (“TOUBA DARUL KARIME”),5,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/112837580756555522984/reviews?hl=fr,NAN,NAN
Senegal,Touba,Banque Atlantique,Not available,"V45Q+258, Touba, Sénégal",Not available,Mamadou Wane,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/112774466711583735533/reviews?hl=fr,NAN,NAN
Senegal,Touba,Banque Atlantique,Not available,"V45Q+258, Touba, Sénégal",Not available,Mobou Beye,5,Hôpital ndamatou corniche s modou bousso bijouterie Serigne massamba Diop sam 775183111 339781111,il y a un an,0,https://www.google.com/maps/contrib/113700711577812821384/reviews?hl=fr,NAN,NAN
Senegal,Touba,Banque Atlantique,Not available,"V45Q+258, Touba, Sénégal",Not available,Mohamadou ndiaye Ndiaye,1,A partir de orange monnaie je peux envoyer dans mon compte,il y a 4 ans,0,https://www.google.com/maps/contrib/107314506662320208366/reviews?hl=fr,NAN,NAN
Senegal,Touba,Banque Atlantique,Not available,"V45Q+258, Touba, Sénégal",Not available,ADAMA DIAKHATE (“TOUBA DARUL KARIME”),5,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/112837580756555522984/reviews?hl=fr,NAN,NAN
Senegal,Touba,Banque Atlantique,Not available,"V45Q+258, Touba, Sénégal",Not available,Mamadou Wane,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/112774466711583735533/reviews?hl=fr,NAN,NAN
Senegal,Touba,BICIS Touba,Not available,"N3, Touba, Sénégal",Not available,FADLA SERVICES,3,Service lent,il y a 3 ans,0,https://www.google.com/maps/contrib/117171916902694705612/reviews?hl=fr,NAN,NAN
Senegal,Touba,BICIS Touba,Not available,"N3, Touba, Sénégal",Not available,Moustapha,5,Bien,il y a 5 mois,0,https://www.google.com/maps/contrib/102534940586356625225/reviews?hl=fr,NAN,NAN
Senegal,Touba,BICIS Touba,Not available,"N3, Touba, Sénégal",Not available,khadim ndiaye,4,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/115518660437269094793/reviews?hl=fr,NAN,NAN
Senegal,Touba,BICIS Touba,Not available,"N3, Touba, Sénégal",Not available,Cheikh Kebe,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/106325363305097420022/reviews?hl=fr,NAN,NAN
Senegal,Touba,BICIS Touba,Not available,"N3, Touba, Sénégal",Not available,Stella La Rose,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/118091668295348300624/reviews?hl=fr,NAN,NAN
Senegal,Touba,BICIS Touba,Not available,"N3, Touba, Sénégal",Not available,Mamadou Ndione,3,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/108635314361274520053/reviews?hl=fr,NAN,NAN
Senegal,Touba,BICIS Touba,Not available,"N3, Touba, Sénégal",Not available,Kha,3,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/111561226127867828000/reviews?hl=fr,NAN,NAN
Senegal,Touba,BICIS Touba,Not available,"N3, Touba, Sénégal",Not available,Soum Abdou,5,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/100666113705039999464/reviews?hl=fr,NAN,NAN
Senegal,Touba,BICIS Touba,Not available,"N3, Touba, Sénégal",Not available,Abdou Diop,1,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/116072621446583290096/reviews?hl=fr,NAN,NAN
Senegal,Touba,BICIS Touba,Not available,"N3, Touba, Sénégal",Not available,Fallou Sy,1,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/111622793604607674735/reviews?hl=fr,NAN,NAN
Senegal,Touba,SGBS TOUBA,+221 33 976 91 95,"R4R7+HCJ, Touba, Sénégal",Not available,doc stamp,1,"Personal honteux, il ne respect pas les client,
L’agence sbgs la plus nul au Senegal .
A chaque fois que je doit aller la bas la nuit je ne dort pas. …",il y a 11 mois,0,https://www.google.com/maps/contrib/112513061582021645547/reviews?hl=fr,NAN,NAN
Senegal,Touba,SGBS TOUBA,+221 33 976 91 95,"R4R7+HCJ, Touba, Sénégal",Not available,top modou,3,Se trouve a côté de l'ancien garage de dakar,il y a 2 mois,0,https://www.google.com/maps/contrib/104663890784430516412/reviews?hl=fr,NAN,NAN
Senegal,Touba,SGBS TOUBA,+221 33 976 91 95,"R4R7+HCJ, Touba, Sénégal",Not available,Serignemourtada Mbacke,1,Manque de la professionnelim total 😡 …,il y a 2 mois,0,https://www.google.com/maps/contrib/104498324119633094754/reviews?hl=fr,NAN,NAN
Senegal,Touba,SGBS TOUBA,+221 33 976 91 95,"R4R7+HCJ, Touba, Sénégal",Not available,Elzo,1,Nul ne decrochent jamais le téléphone,il y a 4 ans,1,https://www.google.com/maps/contrib/109199006010150916912/reviews?hl=fr,NAN,NAN
Senegal,Touba,SGBS TOUBA,+221 33 976 91 95,"R4R7+HCJ, Touba, Sénégal",Not available,Oumar Diallo,2,Attente rapide parfois mais insuffisant.,il y a 2 ans,0,https://www.google.com/maps/contrib/111307773987602487438/reviews?hl=fr,NAN,NAN
Senegal,Touba,SGBS TOUBA,+221 33 976 91 95,"R4R7+HCJ, Touba, Sénégal",Not available,Amsa Gaye beau gosse PRO PES,5,Bon,il y a un an,0,https://www.google.com/maps/contrib/106859971677402447019/reviews?hl=fr,NAN,NAN
Senegal,Touba,SGBS TOUBA,+221 33 976 91 95,"R4R7+HCJ, Touba, Sénégal",Not available,FADLA SERVICES,3,Bien,il y a 3 ans,1,https://www.google.com/maps/contrib/117171916902694705612/reviews?hl=fr,NAN,NAN
Senegal,Touba,SGBS TOUBA,+221 33 976 91 95,"R4R7+HCJ, Touba, Sénégal",Not available,Mamane Cisse,5,Dieu merci,il y a un an,0,https://www.google.com/maps/contrib/115250732444331714317/reviews?hl=fr,NAN,NAN
Senegal,Touba,SGBS TOUBA,+221 33 976 91 95,"R4R7+HCJ, Touba, Sénégal",Not available,dame ndiaye,5,Touba Dianatoul Mahwa,il y a 3 ans,0,https://www.google.com/maps/contrib/111822489778512239393/reviews?hl=fr,NAN,NAN
Senegal,Touba,SGBS TOUBA,+221 33 976 91 95,"R4R7+HCJ, Touba, Sénégal",Not available,Niass Freres,5,Bon,il y a 6 ans,0,https://www.google.com/maps/contrib/113241121144042276390/reviews?hl=fr,NAN,NAN
Senegal,Touba,SGBS TOUBA,+221 33 976 91 95,"R4R7+HCJ, Touba, Sénégal",Not available,Nassirou Diagne,5,excellent,il y a 2 ans,0,https://www.google.com/maps/contrib/107467804450800201376/reviews?hl=fr,NAN,NAN
Senegal,Touba,SGBS TOUBA,+221 33 976 91 95,"R4R7+HCJ, Touba, Sénégal",Not available,diane cheikhou,1,Bravo,il y a 6 ans,1,https://www.google.com/maps/contrib/111551203894920255491/reviews?hl=fr,NAN,NAN
Senegal,Touba,SGBS TOUBA,+221 33 976 91 95,"R4R7+HCJ, Touba, Sénégal",Not available,Khadim Beye,2,NAN,il y a 4 mois,0,https://www.google.com/maps/contrib/106620328318573612887/reviews?hl=fr,NAN,NAN
Senegal,Touba,SGBS TOUBA,+221 33 976 91 95,"R4R7+HCJ, Touba, Sénégal",Not available,Modou Wade,5,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/101605980760655776096/reviews?hl=fr,NAN,NAN
Senegal,Touba,SGBS TOUBA,+221 33 976 91 95,"R4R7+HCJ, Touba, Sénégal",Not available,BAMBA GUEYE,5,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/114048386966447730546/reviews?hl=fr,NAN,NAN
Senegal,Touba,SGBS TOUBA,+221 33 976 91 95,"R4R7+HCJ, Touba, Sénégal",Not available,Momar Dioum,3,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/106992723821750751727/reviews?hl=fr,NAN,NAN
Senegal,Touba,SGBS TOUBA,+221 33 976 91 95,"R4R7+HCJ, Touba, Sénégal",Not available,Partner Service SARL,1,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/109200126944754316965/reviews?hl=fr,NAN,NAN
Senegal,Touba,SGBS TOUBA,+221 33 976 91 95,"R4R7+HCJ, Touba, Sénégal",Not available,Pape Sow,4,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/113530542625860941187/reviews?hl=fr,NAN,NAN
Senegal,Touba,SGBS TOUBA,+221 33 976 91 95,"R4R7+HCJ, Touba, Sénégal",Not available,Baye Modou Gaye,2,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/114205262830248121799/reviews?hl=fr,NAN,NAN
