Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Morocco,Nador,Banque Populaire,Not available,"5369+5JP, Bd de Taouima, Nador",Not available,JAMAL EI IDRISSI,5,"J'ai eu l'honneur d'être accueilli chaleureusement par le président  de la BP Nador Al Hociema et son proche collaborateur , au cours  de notre entretien,  j'ai découvert une personnalité très averti, dynamique, pragmatique, et …",il y a un an,1,https://www.google.com/maps/contrib/103386501025622509220/reviews?hl=fr,NAN,NAN
Morocco,Nador,Banque Populaire,Not available,"5369+5JP, Bd de Taouima, Nador",Not available,Abdelaziz Bousnina,5,Siège de la banque populaire  Nador Al hoceima.,il y a 6 ans,4,https://www.google.com/maps/contrib/117576323430006211311/reviews?hl=fr,NAN,NAN
Morocco,Nador,Banque Populaire,Not available,"5369+5JP, Bd de Taouima, Nador",Not available,Shaft Chaf,5,Bon accueil et professionnel,il y a un an,0,https://www.google.com/maps/contrib/109104395349543094441/reviews?hl=fr,NAN,NAN
Morocco,Nador,Banque Populaire,Not available,"5369+5JP, Bd de Taouima, Nador",Not available,selouane inou,5,Accueil chaleureux bon service,il y a 3 ans,0,https://www.google.com/maps/contrib/109755868595767795617/reviews?hl=fr,NAN,NAN
Morocco,Nador,Banque Populaire,Not available,"5369+5JP, Bd de Taouima, Nador",Not available,Maou Samo,1,"Certains employés de cette agence sont arrogants, notamment la dame en charge de l'assurance transport des morts (middle office). L'année prochaine, je déménagerai dans une meilleure banque, si Dieu le veut",il y a 3 ans,4,https://www.google.com/maps/contrib/118422503679896162103/reviews?hl=fr,NAN,NAN
Morocco,Nador,Banque Populaire,Not available,"5369+5JP, Bd de Taouima, Nador",Not available,M T,1,"Je ne suis jamais entré dans une banque aussi hostile.
Personnel comme dans la rue
Très déçu.",il y a 2 ans,4,https://www.google.com/maps/contrib/104465756348136907477/reviews?hl=fr,NAN,NAN
Morocco,Nador,Banque Populaire,Not available,"5369+5JP, Bd de Taouima, Nador",Not available,Hi Khan,4,Cool. 👍🔐 …,il y a 6 ans,2,https://www.google.com/maps/contrib/102261285040086370962/reviews?hl=fr,NAN,NAN
Morocco,Nador,Banque Populaire,Not available,"5369+5JP, Bd de Taouima, Nador",Not available,Teck professional,5,Meilleure banque,il y a 5 ans,2,https://www.google.com/maps/contrib/116964988482990180907/reviews?hl=fr,NAN,NAN
Morocco,Nador,Banque Populaire,Not available,"5369+5JP, Bd de Taouima, Nador",Not available,mohamed adghir,4,être,il y a 3 ans,0,https://www.google.com/maps/contrib/108627726101357746070/reviews?hl=fr,NAN,NAN
Morocco,Nador,Banque Populaire,Not available,"5369+5JP, Bd de Taouima, Nador",Not available,ahmed Badi,4,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/110619189882584298593/reviews?hl=fr,NAN,NAN
Morocco,Nador,Banque Populaire,Not available,"5369+5JP, Bd de Taouima, Nador",Not available,Elamrani El houssaine,5,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/103522688519608349168/reviews?hl=fr,NAN,NAN
Morocco,Nador,Banque Populaire,Not available,"5369+5JP, Bd de Taouima, Nador",Not available,Abdelkarim Ajarray,5,NAN,il y a 8 ans,0,https://www.google.com/maps/contrib/115869366782603734197/reviews?hl=fr,NAN,NAN
Morocco,Nador,Banque Centrale Populaire,05363-31622,"113 Boulevard El Massira, Nador",Not available,Tonton Solo,3,Banque et service normal.,il y a 5 ans,0,https://www.google.com/maps/contrib/105209628920223304591/reviews?hl=fr,NAN,NAN
